Prefix,Rank_code,Scientific_name,Number_of_fragments,Percentage
Bem_05,U,unclassified,24420009,95.66
Bem_05,R,root,1107124,4.34
Bem_05,R1,cellular organisms,1107123,4.34
Bem_05,D,Bacteria,1014474,3.97
Bem_05,P,Pseudomonadota,755886,2.96
Bem_05,P1,unclassified Pseudomonadota,5706,0.02
Bem_05,P1,environmental samples,529,0.00
Bem_05,D1,Terrabacteria group,61376,0.24
Bem_05,P,Actinomycetota,40807,0.16
Bem_05,P1,unclassified Actinomycetota,2561,0.01
Bem_05,P,Bacillota,9826,0.04
Bem_05,P1,unclassified Bacillota,1,0.00
Bem_05,P,Chloroflexota,4369,0.02
Bem_05,P1,unclassified Chloroflexota,672,0.00
Bem_05,D2,Cyanobacteriota/Melainabacteria group,2002,0.01
Bem_05,P,Cyanobacteriota,1884,0.01
Bem_05,P,Candidatus Melainabacteria,108,0.00
Bem_05,P1,unclassified Candidatus Melainabacteria,108,0.00
Bem_05,P,Deinococcota,1969,0.01
Bem_05,P,Armatimonadota,1064,0.00
Bem_05,P1,unclassified Armatimonadota,1064,0.00
Bem_05,P,Mycoplasmatota,107,0.00
Bem_05,P1,unclassified Mycoplasmatota,77,0.00
Bem_05,P,Nitrospirota,51635,0.20
Bem_05,P1,unclassified Nitrospirota,42423,0.17
Bem_05,D1,FCB group,29492,0.12
Bem_05,D2,Bacteroidota/Chlorobiota group,17440,0.07
Bem_05,P,Bacteroidota,15054,0.06
Bem_05,P1,unclassified Bacteroidota,663,0.00
Bem_05,P1,environmental samples,635,0.00
Bem_05,P,Rhodothermota,1212,0.00
Bem_05,P,Ignavibacteriota,472,0.00
Bem_05,P1,unclassified Ignavibacteriota,69,0.00
Bem_05,P,Balneolota,387,0.00
Bem_05,P,Chlorobiota,93,0.00
Bem_05,P1,unclassified Chlorobiota,74,0.00
Bem_05,P,Gemmatimonadota,8118,0.03
Bem_05,P1,unclassified Gemmatimonadota,6674,0.03
Bem_05,P1,environmental samples,118,0.00
Bem_05,P,Candidatus Latescibacterota,1520,0.01
Bem_05,P1,unclassified Candidatus Latescibacterota,1520,0.01
Bem_05,P,Candidatus Zixiibacteriota,1437,0.01
Bem_05,P,Candidatus Neomarinimicrobiota,510,0.00
Bem_05,P1,unclassified Candidatus Neomarinimicrobiota,500,0.00
Bem_05,P1,environmental samples,10,0.00
Bem_05,P,Candidatus Hydrogenedentota,168,0.00
Bem_05,P1,unclassified Candidatus Hydrogenedentota,167,0.00
Bem_05,P,Fibrobacterota,1,0.00
Bem_05,P1,environmental samples,1,0.00
Bem_05,D1,PVC group,25703,0.10
Bem_05,P,Planctomycetota,22925,0.09
Bem_05,P1,unclassified Planctomycetota,1943,0.01
Bem_05,P,Verrucomicrobiota,1835,0.01
Bem_05,P1,environmental samples,139,0.00
Bem_05,P1,unclassified Verrucomicrobiota,42,0.00
Bem_05,P,Lentisphaerota,479,0.00
Bem_05,P1,unclassified Lentisphaerota,96,0.00
Bem_05,P,Candidatus Omnitrophota,157,0.00
Bem_05,P1,unclassified Candidatus Omnitrophota,157,0.00
Bem_05,P,Kiritimatiellota,99,0.00
Bem_05,P1,unclassified Kiritimatiellota,5,0.00
Bem_05,P,Chlamydiota,48,0.00
Bem_05,P,Myxococcota,15141,0.06
Bem_05,P1,Polyangia,6533,0.03
Bem_05,P,Thermodesulfobacteriota,13655,0.05
Bem_05,P,Acidobacteriota,8044,0.03
Bem_05,P1,unclassified Acidobacteriota,3950,0.02
Bem_05,D1,Bacteria incertae sedis,2994,0.01
Bem_05,D2,Bacteria candidate phyla,2994,0.01
Bem_05,D3,Patescibacteria group,634,0.00
Bem_05,D4,Parcubacteria group,564,0.00
Bem_05,P,Candidatus Moraniibacteriota,191,0.00
Bem_05,P1,unclassified Candidatus Moraniibacteriota,191,0.00
Bem_05,P,Candidatus Nomurabacteria,162,0.00
Bem_05,P1,unclassified Candidatus Nomurabacteria,162,0.00
Bem_05,P,Candidatus Kaiserbacteria,48,0.00
Bem_05,P1,unclassified Candidatus Kaiserbacteria,48,0.00
Bem_05,P,Candidatus Falkowbacteria,39,0.00
Bem_05,P1,unclassified Candidatus Falkowbacteria,39,0.00
Bem_05,P,Candidatus Nealsonbacteria,38,0.00
Bem_05,P1,unclassified Candidatus Nealsonbacteria,2,0.00
Bem_05,P,Candidatus Uhrbacteria,34,0.00
Bem_05,P1,unclassified Candidatus Uhrbacteria,34,0.00
Bem_05,P,Candidatus Parcubacteria,23,0.00
Bem_05,P1,unclassified Candidatus Parcubacteria,23,0.00
Bem_05,P,Candidatus Campbellbacteria,8,0.00
Bem_05,P1,unclassified Candidatus Campbellbacteria,8,0.00
Bem_05,D4,Microgenomates group,53,0.00
Bem_05,P,Candidatus Woesebacteria,53,0.00
Bem_05,P1,unclassified Candidatus Woesebacteria,53,0.00
Bem_05,P,Candidatus Gracilibacteria,8,0.00
Bem_05,P1,unclassified Candidatus Gracilibacteria,8,0.00
Bem_05,D4,unclassified Patescibacteria group,4,0.00
Bem_05,P,candidate division WOR-3,563,0.00
Bem_05,P,Candidatus Aminicenantes,413,0.00
Bem_05,P1,unclassified Candidatus Aminicenantes,413,0.00
Bem_05,P,Candidatus Coatesbacteria,367,0.00
Bem_05,P1,unclassified Candidatus Coatesbacteria,367,0.00
Bem_05,P,Candidatus Peregrinibacteria,269,0.00
Bem_05,P1,unclassified Candidatus Peregrinibacteria,79,0.00
Bem_05,P,Candidatus Saccharibacteria,266,0.00
Bem_05,P1,unclassified Candidatus Saccharibacteria,266,0.00
Bem_05,P,Candidatus Eisenbacteria,219,0.00
Bem_05,P1,unclassified Candidatus Eisenbacteria,219,0.00
Bem_05,P,Candidatus Bipolaricaulota,177,0.00
Bem_05,P1,unclassified Candidatus Bipolaricaulota,177,0.00
Bem_05,D3,Candidatus Dojkabacteria,44,0.00
Bem_05,D1,unclassified Bacteria,1956,0.01
Bem_05,D1,delta/epsilon subdivisions,1678,0.01
Bem_05,D1,Nitrospinae/Tectomicrobia group,1420,0.01
Bem_05,P,Nitrospinota,1417,0.01
Bem_05,P,Candidatus Tectomicrobia,3,0.00
Bem_05,P,Elusimicrobiota,878,0.00
Bem_05,P1,unclassified Elusimicrobiota,878,0.00
Bem_05,P,Spirochaetota,529,0.00
Bem_05,P1,unclassified Spirochaetota,54,0.00
Bem_05,P,Campylobacterota,440,0.00
Bem_05,P,Synergistota,355,0.00
Bem_05,P1,unclassified Synergistota,355,0.00
Bem_05,P,Calditrichota,237,0.00
Bem_05,P,Bdellovibrionota,97,0.00
Bem_05,D1,environmental samples,67,0.00
Bem_05,P,Aquificota,65,0.00
Bem_05,P1,unclassified Aquificota,51,0.00
Bem_05,P,Thermotogota,18,0.00
Bem_05,P,Fusobacteriota,5,0.00
Bem_05,P,Atribacterota,1,0.00
Bem_05,P1,Atribacterota incertae sedis,1,0.00
Bem_05,D,Archaea,91638,0.36
Bem_05,D1,TACK group,90026,0.35
Bem_05,P,Nitrososphaerota,89622,0.35
Bem_05,P1,Nitrososphaerota incertae sedis,5105,0.02
Bem_05,P2,Marine Group I,4159,0.02
Bem_05,P3,environmental samples,194,0.00
Bem_05,P1,unclassified Nitrososphaerota,4,0.00
Bem_05,P,Candidatus Bathyarchaeota,356,0.00
Bem_05,P1,unclassified Candidatus Bathyarchaeota,355,0.00
Bem_05,P,Thermoproteota,16,0.00
Bem_05,P,Euryarchaeota,1282,0.01
Bem_05,P1,Stenosarchaea group,1179,0.00
Bem_05,P1,unclassified Euryarchaeota,52,0.00
Bem_05,P1,Methanomada group,4,0.00
Bem_05,P,Candidatus Thermoplasmatota,152,0.00
Bem_05,P1,DHVE2 group,10,0.00
Bem_05,D1,Asgard group,35,0.00
Bem_05,P,Candidatus Heimdallarchaeota,13,0.00
Bem_05,P1,unclassified Candidatus Heimdallarchaeota,13,0.00
Bem_05,P,Candidatus Thorarchaeota,12,0.00
Bem_05,P1,unclassified Candidatus Thorarchaeota,12,0.00
Bem_05,P,Candidatus Lokiarchaeota,10,0.00
Bem_05,P1,unclassified Candidatus Lokiarchaeota,10,0.00
Bem_05,D1,DPANN group,33,0.00
Bem_05,P,Candidatus Aenigmatarchaeota,22,0.00
Bem_05,P1,unclassified Candidatus Aenigmatarchaeota,22,0.00
Bem_05,P,Candidatus Diapherotrites,6,0.00
Bem_05,P1,unclassified Candidatus Diapherotrites,6,0.00
Bem_05,P,Candidatus Woesearchaeota,2,0.00
Bem_05,P1,unclassified Candidatus Woesearchaeota,2,0.00
Bem_05,P,Candidatus Micrarchaeota,2,0.00
Bem_05,P1,unclassified Candidatus Micrarchaeota,2,0.00
Bem_05,D2,Candidatus Pacearchaeota,1,0.00
Bem_05,D3,unclassified Candidatus Pacearchaeota,1,0.00
Bem_05,D1,unclassified Archaea,21,0.00
Bem_09,U,unclassified,24054040,95.29
Bem_09,R,root,1188484,4.71
Bem_09,R1,cellular organisms,1188484,4.71
Bem_09,D,Bacteria,1000962,3.97
Bem_09,P,Pseudomonadota,724644,2.87
Bem_09,P1,unclassified Pseudomonadota,5481,0.02
Bem_09,P1,environmental samples,670,0.00
Bem_09,D1,Terrabacteria group,60909,0.24
Bem_09,P,Actinomycetota,39688,0.16
Bem_09,P1,unclassified Actinomycetota,2294,0.01
Bem_09,P,Bacillota,10162,0.04
Bem_09,P,Chloroflexota,4780,0.02
Bem_09,P1,unclassified Chloroflexota,743,0.00
Bem_09,P1,environmental samples,4,0.00
Bem_09,P,Deinococcota,1937,0.01
Bem_09,D2,Cyanobacteriota/Melainabacteria group,1792,0.01
Bem_09,P,Cyanobacteriota,1699,0.01
Bem_09,P,Candidatus Melainabacteria,83,0.00
Bem_09,P1,unclassified Candidatus Melainabacteria,83,0.00
Bem_09,P,Armatimonadota,1130,0.00
Bem_09,P1,unclassified Armatimonadota,1130,0.00
Bem_09,P,Mycoplasmatota,123,0.00
Bem_09,P1,unclassified Mycoplasmatota,91,0.00
Bem_09,P,Nitrospirota,55936,0.22
Bem_09,P1,unclassified Nitrospirota,46858,0.19
Bem_09,D1,FCB group,33305,0.13
Bem_09,D2,Bacteroidota/Chlorobiota group,20688,0.08
Bem_09,P,Bacteroidota,18750,0.07
Bem_09,P1,unclassified Bacteroidota,573,0.00
Bem_09,P1,environmental samples,500,0.00
Bem_09,P,Rhodothermota,799,0.00
Bem_09,P,Ignavibacteriota,515,0.00
Bem_09,P1,unclassified Ignavibacteriota,83,0.00
Bem_09,P,Balneolota,357,0.00
Bem_09,P,Chlorobiota,73,0.00
Bem_09,P1,unclassified Chlorobiota,46,0.00
Bem_09,P,Gemmatimonadota,8698,0.03
Bem_09,P1,unclassified Gemmatimonadota,7314,0.03
Bem_09,P1,environmental samples,108,0.00
Bem_09,P,Candidatus Latescibacterota,1521,0.01
Bem_09,P1,unclassified Candidatus Latescibacterota,1521,0.01
Bem_09,P,Candidatus Zixiibacteriota,1411,0.01
Bem_09,P,Candidatus Neomarinimicrobiota,510,0.00
Bem_09,P1,unclassified Candidatus Neomarinimicrobiota,501,0.00
Bem_09,P1,environmental samples,9,0.00
Bem_09,P,Candidatus Hydrogenedentota,189,0.00
Bem_09,P1,unclassified Candidatus Hydrogenedentota,189,0.00
Bem_09,D1,PVC group,26143,0.10
Bem_09,P,Planctomycetota,23432,0.09
Bem_09,P1,unclassified Planctomycetota,1724,0.01
Bem_09,P,Verrucomicrobiota,1811,0.01
Bem_09,P1,environmental samples,190,0.00
Bem_09,P1,unclassified Verrucomicrobiota,49,0.00
Bem_09,P,Lentisphaerota,447,0.00
Bem_09,P1,unclassified Lentisphaerota,98,0.00
Bem_09,P,Candidatus Omnitrophota,159,0.00
