K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fis1     Fis2
2   7   1       0   1.0000 13:50:11 -1.64262277339E+05 -1.64262277339E+05  0.00306 -0.00002 -0.14471 -0.19006
2   7   1     100   1.0000 13:50:11 -1.63554074248E+05 -1.63554074248E+05 -0.00002  0.00306 -0.19006 -0.14471
2   7   1     200  32.5000 13:50:11 -1.63786384830E+05 -1.63026786071E+05 -0.00002  0.00306 -0.19006 -0.14471
2   7   1     400  40.2500 13:50:11 -1.62920752142E+05 -1.62622792671E+05  0.00306 -0.00002 -0.14471 -0.19006
2   7   1     800  42.8750 13:50:11 -1.64112248628E+05 -1.61236904581E+05 -0.00002  0.00306 -0.19006 -0.14471
2   7   1    1600  50.6875 13:50:11 -1.62546997020E+05 -1.61236904581E+05 -0.00429  0.00092 -0.16561 -0.16454
2   7   2    3200  51.4170 13:50:11 -1.63793459762E+05 -1.61236904581E+05 -0.00773  0.02794 -0.18889 -0.15471
2   7   4    6400   0.3175 14:50:11 -1.60401219486E+05 -1.59969693505E+05 -0.05751  0.24311 -0.15719 -0.75006
2   7  12   12800   0.0000 14:50:11 -1.59969693505E+05 -1.59969693505E+05 -0.05751  0.24311 -0.15719 -0.75006
2   7 200   22583   0.0000 14:50:11 -1.59969693505E+05 -1.59969693505E+05 -0.05751  0.24311 -0.15719 -0.75006
