Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2   QPop1   QPop2
   1  1.7871E-03    0.491314    0.015267  0.0003  0.0019  0.5193  0.4807
   2  1.2400E-02    0.438802    0.132814  0.0011  0.0184  0.5216  0.4784
   3  2.2818E-02    0.340608    0.178200  0.0016  0.0490  0.6198  0.3802
   4  9.9244E-03    0.249201    0.228238  0.0006  0.0752  0.6874  0.3126
   5  1.2144E-03    0.232754    0.220236  0.0026  0.1014  0.7120  0.2880
   6  1.2744E-03    0.214875    0.205642  0.0026  0.1215  0.7376  0.2624
   7  2.0100E-03    0.185765    0.181015  0.0032  0.1497  0.7705  0.2295
   8  2.1205E-03    0.150709    0.147441  0.0001  0.1766  0.8031  0.1969
   9  1.7143E-03    0.112509    0.111545 -0.0070  0.1836  0.8319  0.1681
  10  9.3886E-04    0.080141    0.083571 -0.0116  0.1828  0.8531  0.1469
  11  3.1735E-04    0.059850    0.067781 -0.0137  0.1805  0.8653  0.1347
  12  7.6086E-05    0.049311    0.060799 -0.0147  0.1792  0.8713  0.1287
  13  1.7883E-05    0.044291    0.057510 -0.0152  0.1784  0.8741  0.1259
  14  4.8452E-06    0.041824    0.055865 -0.0154  0.1781  0.8755  0.1245
  15  1.4290E-06    0.040569    0.055131 -0.0155  0.1779  0.8762  0.1238
  16  8.2519E-07    0.039713    0.054802 -0.0155  0.1777  0.8766  0.1234
  17  3.4579E-07    0.039191    0.054528 -0.0155  0.1776  0.8769  0.1231
  18  1.9650E-07    0.038838    0.054360 -0.0156  0.1775  0.8771  0.1229
  19  8.3471E-08    0.038656    0.054206 -0.0156  0.1774  0.8772  0.1228
  20  5.3616E-08    0.038493    0.054119 -0.0156  0.1773  0.8772  0.1228
  21  4.7514E-08    0.038387    0.054032 -0.0156  0.1772  0.8773  0.1227
  22  4.4715E-08    0.038265    0.053973 -0.0156  0.1772  0.8773  0.1227
  23  2.2841E-08    0.038229    0.053872 -0.0156  0.1771  0.8773  0.1227
