K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fis1     Fis2     Fis3
3   1   1       0   1.0000 19:50:11 -1.66553283924E+05 -1.66553283924E+05  0.00286 -0.00316 -0.00386 -0.15279 -0.15272 -0.18633
3   1   1     100   1.9802 19:50:11 -1.66094799628E+05 -1.66094799628E+05 -0.00316 -0.00386  0.00286 -0.15272 -0.18633 -0.15279
3   1   1     200  19.8068 19:50:11 -1.62468876298E+05 -1.61871109452E+05 -0.00386 -0.00316  0.00286 -0.18633 -0.15272 -0.15279
3   1   1     400  20.8738 19:50:11 -1.61562166514E+05 -1.59934403097E+05 -0.00386 -0.00316  0.00286 -0.18633 -0.15272 -0.15279
3   1   1     800  30.2956 19:50:11 -1.61678771181E+05 -1.59934403097E+05 -0.00316 -0.00386  0.00286 -0.15272 -0.18633 -0.15279
3   1   1    1600  35.9181 19:50:11 -1.62434157931E+05 -1.59934403097E+05 -0.00386 -0.00316  0.00286 -0.18633 -0.15272 -0.15279
3   1   2    3200  51.3109 19:50:11 -1.63145239783E+05 -1.59934403097E+05 -0.00260  0.10719  0.01558 -0.13689 -0.36999 -0.22362
3   1   3    6400  36.9055 19:50:11 -1.61949668302E+05 -1.59652668187E+05 -0.00100 -0.01572  0.20883 -0.14781 -0.17503 -0.59047
3   1   4   12800  32.7645 19:50:11 -1.60135839878E+05 -1.59652668187E+05 -0.00080 -0.00008  0.19879 -0.13505 -0.21863 -0.56362
3   1   6   25600  23.3769 20:50:11 -1.61107182501E+05 -1.59263026472E+05 -0.01713  0.00303  0.26999 -0.14613 -0.23073 -0.75006
3   1  11   40000   0.0000 21:50:11 -1.59600651461E+05 -1.58920194247E+05 -0.04365  0.30985  0.25198 -0.15202 -0.89373 -0.75006
3   1 200   42614   0.0000 21:50:11 -1.58920194247E+05 -1.58920194247E+05 -0.04365  0.30985  0.25198 -0.15202 -0.89373 -0.75006
