Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3   QPop1   QPop2   QPop3
   1  3.6839E-02    0.176860    0.135890  0.0219  0.1276  0.0248  0.4722  0.1451  0.3827
   2  1.1810E-03    0.152804    0.153370  0.0249  0.1607  0.0292  0.4829  0.1268  0.3903
   3  1.4147E-04    0.146697    0.159020  0.0258  0.1635  0.0310  0.4884  0.1217  0.3899
   4  6.0362E-05    0.138073    0.161605  0.0257  0.1628  0.0318  0.4941  0.1188  0.3871
   5  4.7392E-05    0.128923    0.161632  0.0254  0.1616  0.0321  0.4990  0.1164  0.3846
   6  2.6466E-05    0.122568    0.161157  0.0249  0.1607  0.0323  0.5028  0.1155  0.3818
   7  1.5917E-05    0.117842    0.160457  0.0246  0.1599  0.0324  0.5056  0.1149  0.3795
   8  1.1310E-05    0.114247    0.160634  0.0243  0.1595  0.0325  0.5076  0.1144  0.3779
   9  8.1710E-06    0.111974    0.160633  0.0241  0.1592  0.0326  0.5089  0.1144  0.3767
  10  2.3960E-06    0.110812    0.160345  0.0239  0.1590  0.0326  0.5098  0.1143  0.3759
  11  4.4630E-07    0.110426    0.160081  0.0238  0.1588  0.0327  0.5102  0.1143  0.3755
  12  4.2454E-07    0.109972    0.159979  0.0237  0.1587  0.0327  0.5105  0.1142  0.3752
  13  5.1225E-07    0.109544    0.159917  0.0236  0.1586  0.0327  0.5107  0.1142  0.3751
  14  1.7926E-07    0.109217    0.159873  0.0236  0.1585  0.0327  0.5109  0.1142  0.3750
  15  1.0636E-07    0.109016    0.159807  0.0235  0.1584  0.0327  0.5110  0.1142  0.3748
  16  7.9005E-08    0.108853    0.159752  0.0235  0.1584  0.0327  0.5111  0.1142  0.3747
  17  7.3404E-07    0.108509    0.159792  0.0235  0.1583  0.0327  0.5114  0.1142  0.3745
  18  1.4827E-07    0.108271    0.159810  0.0234  0.1583  0.0327  0.5115  0.1142  0.3743
  19  5.8068E-07    0.107905    0.159890  0.0234  0.1582  0.0327  0.5115  0.1141  0.3743
  20  1.1097E-07    0.107729    0.159884  0.0234  0.1582  0.0327  0.5116  0.1142  0.3743
  21  5.9334E-08    0.107606    0.159856  0.0234  0.1582  0.0327  0.5116  0.1141  0.3742
  22  5.0676E-08    0.107477    0.159842  0.0233  0.1581  0.0327  0.5117  0.1142  0.3741
  23  4.2003E-08    0.107386    0.159811  0.0233  0.1581  0.0327  0.5118  0.1142  0.3741
  24  2.9744E-07    0.107166    0.159789  0.0233  0.1581  0.0327  0.5119  0.1141  0.3739
  25  9.0514E-08    0.107020    0.159704  0.0233  0.1580  0.0327  0.5120  0.1141  0.3739
  26  4.6061E-08    0.106896    0.159704  0.0233  0.1580  0.0327  0.5121  0.1141  0.3738
  27  5.6728E-07    0.106631    0.159739  0.0232  0.1580  0.0327  0.5122  0.1141  0.3737
  28  1.3055E-07    0.106494    0.159738  0.0232  0.1580  0.0327  0.5123  0.1141  0.3736
  29  7.0215E-08    0.106363    0.159744  0.0232  0.1580  0.0327  0.5124  0.1141  0.3735
  30  3.8815E-08    0.106281    0.159727  0.0232  0.1579  0.0327  0.5124  0.1141  0.3735
  31  2.9101E-08    0.106256    0.159680  0.0232  0.1579  0.0327  0.5125  0.1141  0.3734
