Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4   QPop1   QPop2   QPop3   QPop4
   1  5.1939E-04    0.747389    0.004415 -0.0011  0.0053  0.0000  0.0017  0.2377  0.2578  0.2484  0.2561
   2  5.9034E-03    0.709033    0.092045  0.0001  0.0378  0.0073  0.0075  0.2141  0.2832  0.2436  0.2592
   3  1.1133E-02    0.606870    0.180376  0.0103  0.0918  0.0255  0.0139  0.2045  0.2521  0.2775  0.2658
   4  8.4044E-03    0.503369    0.207059  0.0320  0.1419  0.0374  0.0249  0.2717  0.2115  0.2703  0.2466
   5  5.2405E-03    0.409852    0.219607  0.0466  0.1766  0.0496  0.0608  0.3365  0.1776  0.2675  0.2185
   6  3.3624E-03    0.329104    0.217014  0.0523  0.1841  0.0584  0.1016  0.3950  0.1499  0.2796  0.1755
   7  1.6885E-03    0.267628    0.202366  0.0523  0.1828  0.0628  0.1341  0.4383  0.1333  0.2907  0.1377
   8  6.8129E-04    0.224956    0.192042  0.0500  0.1815  0.0640  0.1470  0.4641  0.1257  0.2970  0.1132
   9  2.8548E-04    0.193255    0.188264  0.0478  0.1804  0.0639  0.1457  0.4803  0.1213  0.3003  0.0981
  10  1.4386E-04    0.170197    0.188086  0.0462  0.1794  0.0633  0.1415  0.4913  0.1184  0.3009  0.0894
  11  6.4438E-05    0.156046    0.186707  0.0453  0.1787  0.0628  0.1379  0.4981  0.1166  0.3008  0.0845
  12  2.8016E-05    0.147246    0.185865  0.0447  0.1781  0.0624  0.1358  0.5023  0.1156  0.3000  0.0822
  13  6.7577E-06    0.143695    0.184698  0.0444  0.1778  0.0620  0.1348  0.5040  0.1152  0.2995  0.0812
  14  3.4215E-06    0.141650    0.183759  0.0441  0.1776  0.0618  0.1342  0.5052  0.1150  0.2991  0.0807
  15  1.0636E-06    0.140706    0.183009  0.0440  0.1774  0.0616  0.1338  0.5058  0.1150  0.2988  0.0805
  16  5.0248E-07    0.140117    0.182473  0.0439  0.1773  0.0615  0.1336  0.5061  0.1149  0.2987  0.0803
  17  2.7019E-07    0.139691    0.182137  0.0438  0.1772  0.0615  0.1334  0.5063  0.1149  0.2986  0.0802
  18  1.0431E-06    0.138807    0.182278  0.0437  0.1772  0.0614  0.1332  0.5067  0.1148  0.2985  0.0800
  19  1.0360E-06    0.138127    0.182391  0.0437  0.1771  0.0614  0.1331  0.5070  0.1148  0.2982  0.0800
  20  1.6563E-07    0.137816    0.182341  0.0436  0.1771  0.0614  0.1329  0.5072  0.1148  0.2981  0.0799
  21  4.4917E-07    0.137364    0.182389  0.0436  0.1770  0.0614  0.1328  0.5074  0.1148  0.2979  0.0798
  22  2.7100E-07    0.136981    0.182382  0.0436  0.1770  0.0613  0.1327  0.5076  0.1148  0.2978  0.0798
  23  6.5344E-08    0.136785    0.182350  0.0436  0.1769  0.0613  0.1326  0.5077  0.1148  0.2978  0.0797
  24  5.1794E-07    0.136424    0.182407  0.0435  0.1769  0.0613  0.1325  0.5079  0.1148  0.2976  0.0797
  25  2.2570E-07    0.136115    0.182454  0.0435  0.1769  0.0613  0.1324  0.5081  0.1147  0.2975  0.0796
  26  8.9852E-08    0.135894    0.182465  0.0435  0.1768  0.0613  0.1324  0.5082  0.1147  0.2975  0.0796
  27  5.7135E-08    0.135743    0.182445  0.0435  0.1768  0.0613  0.1323  0.5083  0.1147  0.2974  0.0796
  28  4.3860E-08    0.135648    0.182390  0.0435  0.1768  0.0613  0.1322  0.5084  0.1147  0.2974  0.0796
  29  4.2830E-08    0.135550    0.182355  0.0435  0.1768  0.0613  0.1322  0.5084  0.1147  0.2973  0.0796
  30  5.6060E-07    0.135107    0.182367  0.0434  0.1767  0.0613  0.1321  0.5086  0.1147  0.2972  0.0795
  31  9.7548E-08    0.134927    0.182311  0.0434  0.1767  0.0613  0.1321  0.5088  0.1147  0.2971  0.0795
  32  5.7327E-08    0.134825    0.182316  0.0434  0.1767  0.0613  0.1320  0.5088  0.1147  0.2971  0.0795
  33  1.3464E-07    0.134628    0.182327  0.0434  0.1767  0.0613  0.1320  0.5089  0.1147  0.2970  0.0794
  34  3.6967E-08    0.134575    0.182269  0.0434  0.1767  0.0613  0.1319  0.5090  0.1147  0.2970  0.0794
  35  3.8392E-08    0.134495    0.182239  0.0434  0.1767  0.0613  0.1319  0.5090  0.1147  0.2970  0.0794
  36  3.4564E-08    0.134446    0.182207  0.0434  0.1766  0.0612  0.1319  0.5090  0.1146  0.2969  0.0794
  37  2.9591E-07    0.134170    0.182221  0.0434  0.1766  0.0612  0.1318  0.5092  0.1146  0.2968  0.0793
  38  4.8271E-08    0.134094    0.182185  0.0434  0.1766  0.0612  0.1318  0.5093  0.1146  0.2968  0.0793
  39  9.0851E-08    0.133969    0.182159  0.0434  0.1766  0.0612  0.1317  0.5093  0.1146  0.2968  0.0793
  40  3.3597E-08    0.133935    0.182105  0.0433  0.1766  0.0612  0.1317  0.5093  0.1146  0.2968  0.0793
  41  2.9314E-08    0.133923    0.182046  0.0433  0.1766  0.0612  0.1317  0.5094  0.1146  0.2968  0.0793
