K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fis1     Fis2     Fis3     Fis4
4   9   1       0   1.0000 53:53:11 -1.68078039103E+05 -1.68078039103E+05  0.00653 -0.00969  0.01081 -0.01044 -0.15663 -0.16471 -0.12376 -0.21345
4   9   1     100   4.7619 53:53:11 -1.67183122638E+05 -1.67183122638E+05  0.00653 -0.00969 -0.01044  0.01081 -0.15663 -0.16471 -0.21345 -0.12376
4   9   1     200  33.6585 53:53:11 -1.63145640858E+05 -1.63145640858E+05 -0.00969  0.01081 -0.01044  0.00653 -0.16471 -0.12376 -0.21345 -0.15663
4   9   1     400  33.0864 53:53:11 -1.61124247328E+05 -1.60972981087E+05 -0.00969  0.01081 -0.01044  0.00653 -0.16471 -0.12376 -0.21345 -0.15663
4   9   1     800  37.0186 53:53:11 -1.64299745246E+05 -1.60868501241E+05 -0.00969  0.01081 -0.01044  0.00653 -0.16471 -0.12376 -0.21345 -0.15663
4   9   1    1600  43.3022 53:53:11 -1.62708369148E+05 -1.60868501241E+05  0.01081 -0.01044 -0.00969  0.00653 -0.12376 -0.21345 -0.16471 -0.15663
4   9   1    3200  46.7395 53:53:11 -1.63618955767E+05 -1.59565246426E+05 -0.00462 -0.00248  0.08567  0.04869 -0.15265 -0.17132 -0.33718 -0.18284
4   9   3    6400  51.8868 53:53:11 -1.62312107009E+05 -1.59565246426E+05 -0.00683  0.01522 -0.00625  0.27579 -0.17575 -0.06543 -0.18509 -0.75006
4   9   4   12800  37.2261 53:53:11 -1.62826359551E+05 -1.59565246426E+05  0.00408  0.01685  0.21215  0.05632 -0.21603 -0.12052 -0.58042 -0.27892
4   9   6   25600  34.1057 54:53:11 -1.62621499695E+05 -1.59350065224E+05  0.18005 -0.01053 -0.01368  0.27337 -0.50070 -0.13243 -0.16180 -0.75006
4   9   7   36000  23.0088 55:53:11 -1.61060472597E+05 -1.58812637489E+05 -0.00955 -0.00121  0.32680  0.27036 -0.19292 -0.13620 -0.89373 -0.75006
4   9   8   51200  16.4328 55:53:11 -1.59873229200E+05 -1.58718385687E+05 -0.00052 -0.00588  0.32709  0.27067 -0.12437 -0.22617 -0.89373 -0.75006
4   9  11   72000   5.8462 57:53:11 -1.58877190269E+05 -1.58718385687E+05 -0.00518  0.02208  0.32647  0.26999 -0.13178 -0.26374 -0.89373 -0.75006
4   9  14  102400   2.6517 58:53:11 -1.58806370677E+05 -1.58718385687E+05 -0.00518  0.02208  0.32647  0.26999 -0.13178 -0.26374 -0.89373 -0.75006
4   9  14  104000   2.6718 59:53:11 -1.58752789528E+05 -1.58718385687E+05 -0.00602  0.02534  0.32644  0.26997 -0.13384 -0.26756 -0.89373 -0.75006
4   9  15  106642   1.9000 59:53:11 -1.58790797033E+05 -1.58718385687E+05 -0.00602  0.02534  0.32644  0.26997 -0.13384 -0.26756 -0.89373 -0.75006
4   9  16  115282   2.3000 59:53:11 -1.58886564855E+05 -1.58718385687E+05 -0.00602  0.02534  0.32644  0.26997 -0.13384 -0.26756 -0.89373 -0.75006
4   9  17  123902   1.7000 00:54:11 -1.58746230254E+05 -1.58718385687E+05 -0.00289  0.01888  0.32676  0.27031 -0.13343 -0.25989 -0.89373 -0.75006
4   9  18  132578   1.0000 00:54:11 -1.58719703860E+05 -1.58718385687E+05 -0.00414  0.02026  0.32663  0.27017 -0.13500 -0.25695 -0.89373 -0.75006
4   9  19  140000   3.0612 01:54:11 -1.58790797033E+05 -1.58718385687E+05 -0.00343  0.01881  0.32663  0.27017 -0.13137 -0.26302 -0.89373 -0.75006
4   9  19  140744   1.4000 01:54:11 -1.58718385687E+05 -1.58718385687E+05 -0.00757  0.02797  0.32634  0.26985 -0.13533 -0.27006 -0.89373 -0.75006
4   9  20  149385   1.8000 01:54:11 -1.58806370677E+05 -1.58718385687E+05 -0.00684  0.02425  0.32637  0.26989 -0.13331 -0.26570 -0.89373 -0.75006
4   9  21  158092   1.6000 02:54:11 -1.58719703860E+05 -1.58718385687E+05 -0.00744  0.02860  0.32625  0.26976 -0.13377 -0.27500 -0.89373 -0.75006
4   9 200  165431   0.0000 02:54:11 -1.58718385687E+05 -1.58718385687E+05 -0.00518  0.02208  0.32647  0.26999 -0.13178 -0.26374 -0.89373 -0.75006
