Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5   QPop1   QPop2   QPop3   QPop4   QPop5
   1  7.7280E-04    0.792337    0.009465  0.0042  0.0109  0.0032  0.0014 -0.0002  0.1965  0.2048  0.2015  0.2011  0.1962
   2  1.2070E-02    0.690412    0.120331  0.0256  0.0793  0.0366  0.0227  0.0023  0.1822  0.1955  0.2286  0.2103  0.1833
   3  1.1704E-02    0.513606    0.204840  0.0432  0.1502  0.0493  0.0508  0.0017  0.2295  0.1654  0.2341  0.1807  0.1904
   4  3.8470E-03    0.397311    0.223051  0.0613  0.1846  0.0614  0.1120  0.0314  0.2606  0.1457  0.2429  0.1537  0.1971
   5  1.5289E-03    0.321127    0.218928  0.0678  0.1873  0.0664  0.1483  0.0454  0.2849  0.1316  0.2563  0.1280  0.1992
   6  5.1144E-04    0.273926    0.217683  0.0687  0.1866  0.0684  0.1600  0.0484  0.3023  0.1247  0.2657  0.1106  0.1966
   7  2.3172E-04    0.243028    0.216168  0.0679  0.1863  0.0691  0.1583  0.0480  0.3151  0.1208  0.2727  0.0993  0.1922
   8  1.2312E-04    0.220025    0.215017  0.0667  0.1859  0.0691  0.1528  0.0468  0.3249  0.1182  0.2780  0.0917  0.1873
   9  6.9662E-05    0.203545    0.213145  0.0657  0.1855  0.0689  0.1478  0.0456  0.3324  0.1165  0.2816  0.0867  0.1829
  10  5.1822E-05    0.189891    0.212107  0.0648  0.1852  0.0687  0.1441  0.0446  0.3393  0.1150  0.2838  0.0834  0.1786
  11  2.7957E-05    0.180257    0.210556  0.0641  0.1850  0.0685  0.1416  0.0438  0.3441  0.1140  0.2853  0.0812  0.1753
  12  2.8185E-05    0.172200    0.209089  0.0635  0.1848  0.0683  0.1399  0.0431  0.3487  0.1133  0.2864  0.0797  0.1719
  13  1.8190E-05    0.165762    0.207964  0.0630  0.1847  0.0682  0.1386  0.0426  0.3523  0.1128  0.2873  0.0786  0.1690
  14  1.3795E-05    0.160684    0.206239  0.0626  0.1846  0.0681  0.1377  0.0421  0.3555  0.1123  0.2878  0.0778  0.1665
  15  9.1145E-06    0.157332    0.204332  0.0622  0.1845  0.0680  0.1370  0.0417  0.3578  0.1121  0.2883  0.0774  0.1645
  16  6.6526E-06    0.154883    0.202478  0.0619  0.1844  0.0679  0.1366  0.0414  0.3597  0.1119  0.2886  0.0771  0.1627
  17  4.5129E-06    0.153281    0.200880  0.0616  0.1843  0.0678  0.1363  0.0411  0.3611  0.1119  0.2887  0.0769  0.1614
  18  3.4197E-06    0.152032    0.199455  0.0615  0.1843  0.0678  0.1360  0.0409  0.3622  0.1118  0.2889  0.0768  0.1603
  19  4.1243E-06    0.150964    0.198362  0.0613  0.1843  0.0678  0.1358  0.0407  0.3632  0.1118  0.2892  0.0767  0.1591
  20  5.4958E-06    0.150491    0.197852  0.0612  0.1842  0.0677  0.1356  0.0405  0.3639  0.1117  0.2897  0.0766  0.1581
  21  1.9630E-06    0.149645    0.197352  0.0611  0.1842  0.0677  0.1355  0.0403  0.3646  0.1117  0.2900  0.0765  0.1572
  22  9.2517E-07    0.149191    0.196942  0.0610  0.1842  0.0677  0.1353  0.0402  0.3652  0.1117  0.2901  0.0764  0.1567
  23  6.2854E-07    0.148760    0.196502  0.0610  0.1842  0.0677  0.1352  0.0402  0.3657  0.1117  0.2901  0.0764  0.1562
  24  2.2913E-07    0.148481    0.196474  0.0609  0.1841  0.0677  0.1351  0.0401  0.3660  0.1116  0.2901  0.0763  0.1560
  25  2.3967E-07    0.148265    0.196267  0.0609  0.1841  0.0677  0.1350  0.0401  0.3662  0.1116  0.2901  0.0763  0.1558
  26  8.5995E-08    0.148131    0.196183  0.0608  0.1841  0.0677  0.1350  0.0401  0.3664  0.1116  0.2901  0.0763  0.1557
  27  1.5650E-07    0.147776    0.196213  0.0608  0.1841  0.0676  0.1349  0.0401  0.3666  0.1116  0.2901  0.0762  0.1555
  28  2.0375E-07    0.147488    0.196079  0.0608  0.1841  0.0676  0.1349  0.0400  0.3668  0.1116  0.2901  0.0762  0.1553
  29  8.1670E-08    0.147365    0.195978  0.0607  0.1840  0.0676  0.1348  0.0400  0.3670  0.1116  0.2901  0.0762  0.1552
  30  1.6741E-07    0.147153    0.195923  0.0607  0.1840  0.0676  0.1347  0.0400  0.3671  0.1115  0.2901  0.0762  0.1551
  31  1.9803E-07    0.146927    0.195840  0.0607  0.1840  0.0676  0.1347  0.0400  0.3673  0.1115  0.2901  0.0761  0.1550
  32  1.7448E-07    0.146664    0.195751  0.0607  0.1840  0.0676  0.1347  0.0400  0.3674  0.1115  0.2901  0.0761  0.1548
  33  1.6917E-07    0.146572    0.195569  0.0606  0.1840  0.0676  0.1346  0.0399  0.3676  0.1115  0.2901  0.0761  0.1547
  34  8.1375E-08    0.146422    0.195556  0.0606  0.1840  0.0676  0.1346  0.0399  0.3677  0.1115  0.2901  0.0761  0.1547
  35  5.2589E-08    0.146378    0.195456  0.0606  0.1840  0.0676  0.1345  0.0399  0.3678  0.1115  0.2901  0.0760  0.1546
  36  1.5521E-07    0.146107    0.195394  0.0606  0.1839  0.0676  0.1345  0.0399  0.3679  0.1115  0.2901  0.0760  0.1545
  37  1.2614E-07    0.145962    0.195343  0.0605  0.1839  0.0676  0.1345  0.0399  0.3680  0.1115  0.2901  0.0760  0.1544
  38  4.8970E-08    0.145908    0.195266  0.0605  0.1839  0.0675  0.1344  0.0399  0.3681  0.1115  0.2901  0.0760  0.1544
  39  9.3984E-08    0.145776    0.195237  0.0605  0.1839  0.0675  0.1344  0.0398  0.3682  0.1114  0.2901  0.0760  0.1543
  40  5.1299E-08    0.145693    0.195200  0.0605  0.1839  0.0675  0.1344  0.0398  0.3682  0.1114  0.2901  0.0760  0.1542
  41  1.6056E-07    0.145488    0.195104  0.0605  0.1839  0.0675  0.1344  0.0398  0.3683  0.1114  0.2901  0.0760  0.1542
  42  5.3050E-08    0.145395    0.195098  0.0605  0.1839  0.0675  0.1343  0.0398  0.3683  0.1114  0.2902  0.0760  0.1542
  43  1.7123E-07    0.145171    0.194989  0.0605  0.1839  0.0675  0.1343  0.0398  0.3684  0.1114  0.2902  0.0759  0.1541
  44  2.3013E-07    0.144856    0.194946  0.0605  0.1839  0.0675  0.1343  0.0398  0.3685  0.1114  0.2902  0.0759  0.1540
  45  1.4036E-07    0.144658    0.194950  0.0604  0.1839  0.0675  0.1343  0.0398  0.3686  0.1113  0.2902  0.0759  0.1540
  46  2.5608E-07    0.144343    0.194820  0.0604  0.1839  0.0675  0.1342  0.0397  0.3687  0.1113  0.2903  0.0758  0.1539
  47  4.5282E-08    0.144354    0.194760  0.0604  0.1839  0.0675  0.1342  0.0397  0.3688  0.1113  0.2904  0.0758  0.1538
  48  4.3877E-08    0.144344    0.194722  0.0604  0.1839  0.0675  0.1342  0.0397  0.3688  0.1113  0.2904  0.0758  0.1538
  49  7.6213E-08    0.144235    0.194674  0.0604  0.1838  0.0675  0.1342  0.0397  0.3689  0.1113  0.2904  0.0758  0.1537
  50  8.9038E-08    0.144115    0.194612  0.0604  0.1838  0.0675  0.1342  0.0397  0.3689  0.1113  0.2904  0.0757  0.1537
  51  1.4987E-07    0.143938    0.194494  0.0604  0.1838  0.0675  0.1341  0.0397  0.3690  0.1113  0.2905  0.0757  0.1536
