K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fis1     Fis2     Fis3     Fis4     Fis5
5   8   1       0   1.0000 57:55:11 -1.69643744622E+05 -1.69643744622E+05 -0.00873 -0.01585  0.00966 -0.00266  0.01164 -0.14072 -0.16580 -0.13068 -0.20397 -0.18130
5   8   1     100   3.8835 57:55:11 -1.69309531510E+05 -1.69309531510E+05 -0.00873 -0.01585  0.00966 -0.00266  0.01164 -0.14072 -0.16580 -0.13068 -0.20397 -0.18130
5   8   1     200  30.5419 57:55:11 -1.67177703821E+05 -1.66722300687E+05 -0.01585  0.00966 -0.00266  0.01164 -0.00873 -0.16580 -0.13068 -0.20397 -0.18130 -0.14072
5   8   1     400  35.4839 57:55:11 -1.63595155088E+05 -1.63301376564E+05  0.00966 -0.01585  0.01164 -0.00873 -0.00266 -0.13068 -0.16580 -0.18130 -0.14072 -0.20397
5   8   1     800  36.6127 57:55:11 -1.63468892855E+05 -1.62029533450E+05 -0.00873  0.01164  0.00966 -0.01585 -0.00266 -0.14072 -0.18130 -0.13068 -0.16580 -0.20397
5   8   1    1600  43.1067 57:55:11 -1.63203636902E+05 -1.62029533450E+05 -0.00873  0.00966 -0.01585  0.01164 -0.00266 -0.14072 -0.13068 -0.16580 -0.18130 -0.20397
5   8   1    3200  45.9881 57:55:11 -1.64977067785E+05 -1.61776799389E+05  0.00966 -0.01585 -0.00266 -0.00873  0.01164 -0.13068 -0.16580 -0.20397 -0.14072 -0.18130
5   8   2    6400  40.8317 57:55:11 -1.64585132782E+05 -1.61126203126E+05 -0.01205  0.27519  0.33126  0.00087  0.00078 -0.14726 -0.75006 -0.89373 -0.17554 -0.15322
5   8   4   12800  47.2574 58:55:11 -1.62524749795E+05 -1.60667219868E+05 -0.00821  0.03942 -0.01773  0.01300  0.30892 -0.14234 -0.12091 -0.15600 -0.22537 -0.78062
5   8   5   25600  29.6450 58:55:11 -1.61636067971E+05 -1.59724333824E+05  0.00408 -0.01099  0.01521  0.33383  0.27797 -0.13762  0.01465 -0.24828 -0.89373 -0.75006
5   8   6   32000  25.6655 59:55:11 -1.61346246447E+05 -1.59724333824E+05 -0.00019 -0.00267 -0.00933  0.33152  0.27547 -0.21349 -0.13671 -0.03573 -0.89373 -0.75006
5   8   7   51200  18.8085 59:55:11 -1.60114720926E+05 -1.59558613371E+05  0.02325  0.01416  0.00917  0.33281  0.27687 -0.07401 -0.23687 -0.14226 -0.89373 -0.75006
5   8   8   72000  17.5865 01:56:11 -1.60893278090E+05 -1.59337686684E+05  0.00933  0.03327  0.03886  0.33310  0.27719 -0.16673 -0.26542 -0.07838 -0.89373 -0.75006
5   8  10  102400  11.1354 02:56:11 -1.59940586580E+05 -1.59145719728E+05  0.03319  0.02140  0.01822  0.33293  0.27700 -0.10104 -0.24168 -0.17409 -0.89373 -0.75006
5   8  11  106207   6.5000 02:56:11 -1.59178314825E+05 -1.59145719728E+05  0.00706  0.03339  0.03665  0.33372  0.27785 -0.15789 -0.27444 -0.09079 -0.89373 -0.75006
5   8  11  116000   5.1712 03:56:11 -1.59285420276E+05 -1.59145719728E+05  0.02062  0.02634  0.01787  0.33357  0.27769 -0.08751 -0.25707 -0.16036 -0.89373 -0.75006
5   8  12  120164   3.9000 03:56:11 -1.59385846018E+05 -1.59145719728E+05  0.03660  0.02509  0.01796  0.33369  0.27782 -0.09079 -0.25250 -0.16686 -0.89373 -0.75006
5   8  13  128662   3.4000 03:56:11 -1.59498870633E+05 -1.59145719728E+05  0.03866  0.02594  0.01823  0.33330  0.27739 -0.08166 -0.25707 -0.16931 -0.89373 -0.75006
5   8  14  142430   2.3000 04:56:11 -1.59277632194E+05 -1.59145719728E+05  0.03729  0.03212  0.01535  0.33339  0.27749 -0.08717 -0.26374 -0.17140 -0.89373 -0.75006
5   8  15  151184   1.7000 05:56:11 -1.59275024108E+05 -1.59145719728E+05  0.03735  0.02614  0.02024  0.33343  0.27754 -0.08717 -0.25707 -0.17335 -0.89373 -0.75006
5   8  15  152000   2.3030 05:56:11 -1.59145719728E+05 -1.59145719728E+05  0.03735  0.02614  0.02024  0.33343  0.27754 -0.08717 -0.25707 -0.17335 -0.89373 -0.75006
5   8  16  164980   1.3000 05:56:11 -1.59166399565E+05 -1.59145719728E+05  0.03493  0.03246  0.01455  0.33362  0.27775 -0.08635 -0.26374 -0.16538 -0.89373 -0.75006
5   8  17  174509   1.7000 06:56:11 -1.59264759605E+05 -1.59145719728E+05  0.02124  0.03647  0.01621  0.33413  0.27830 -0.08611 -0.26756 -0.16498 -0.89373 -0.75006
5   8  18  188000   1.3025 07:56:11 -1.59145719728E+05 -1.59145719728E+05  0.03729  0.03212  0.01535  0.33339  0.27749 -0.08717 -0.26374 -0.17140 -0.89373 -0.75006
5   8  18  188262   1.3000 07:56:11 -1.59178422283E+05 -1.59145719728E+05  0.03729  0.03212  0.01535  0.33339  0.27749 -0.08717 -0.26374 -0.17140 -0.89373 -0.75006
5   8  19  199047   0.9000 07:56:11 -1.59178422283E+05 -1.59145719728E+05  0.03855  0.03495  0.01107  0.33322  0.27731 -0.08166 -0.27046 -0.16550 -0.89373 -0.75006
5   8  20  212913   1.2000 08:56:11 -1.59145719728E+05 -1.59145719728E+05  0.03729  0.03212  0.01535  0.33339  0.27749 -0.08717 -0.26374 -0.17140 -0.89373 -0.75006
5   8  21  226123   0.8000 09:56:11 -1.59166399565E+05 -1.59145719728E+05  0.03735  0.02614  0.02024  0.33343  0.27754 -0.08717 -0.25707 -0.17335 -0.89373 -0.75006
5   8  21  228000   0.6510 09:56:11 -1.59145719728E+05 -1.59145719728E+05  0.03729  0.03212  0.01535  0.33339  0.27749 -0.08717 -0.26374 -0.17140 -0.89373 -0.75006
5   8  23  253861   0.8000 10:56:11 -1.59145719728E+05 -1.59145719728E+05  0.03735  0.02614  0.02024  0.33343  0.27754 -0.08717 -0.25707 -0.17335 -0.89373 -0.75006
5   8 200  261399   0.0000 11:56:11 -1.59145719728E+05 -1.59145719728E+05  0.02024  0.02614  0.03735  0.33343  0.27754 -0.17335 -0.25707 -0.08717 -0.89373 -0.75006
