K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6
6   5   1       0   1.0000 04:58:11 -1.70840241587E+05 -1.70840241587E+05  0.00378  0.01586 -0.00171  0.00314 -0.00628 -0.00755 -0.14595 -0.14374 -0.19626 -0.12595 -0.16889 -0.22043
6   5   1     100   4.7619 04:58:11 -1.70674550946E+05 -1.70674550946E+05  0.00378  0.01586  0.00314 -0.00171 -0.00628 -0.00755 -0.14595 -0.14374 -0.12595 -0.19626 -0.16889 -0.22043
6   5   1     200  30.2439 04:58:11 -1.67887395374E+05 -1.67887395374E+05 -0.00171 -0.00755  0.00314 -0.00628  0.01586  0.00378 -0.19626 -0.22043 -0.12595 -0.16889 -0.14374 -0.14595
6   5   1     400  35.8025 04:58:11 -1.65177656270E+05 -1.65177656270E+05  0.00378 -0.00628 -0.00755  0.01586 -0.00171  0.00314 -0.14595 -0.16889 -0.22043 -0.14374 -0.19626 -0.12595
6   5   1     800  41.6149 04:58:11 -1.64287405413E+05 -1.63709047532E+05 -0.00755  0.01586  0.00314 -0.00628 -0.00171  0.00378 -0.22043 -0.14374 -0.12595 -0.16889 -0.19626 -0.14595
6   5   1    1600  43.3645 04:58:11 -1.64662621227E+05 -1.62898974413E+05 -0.00755 -0.00628  0.01586  0.00378  0.00314 -0.00171 -0.22043 -0.16889 -0.14374 -0.14595 -0.12595 -0.19626
6   5   2    3200  33.3333 04:58:11 -1.63617099249E+05 -1.62898974413E+05  0.00314 -0.00755  0.01586 -0.00628 -0.00171  0.00378 -0.12595 -0.22043 -0.14374 -0.16889 -0.19626 -0.14595
6   5   2    6400  42.4260 04:58:11 -1.63129876474E+05 -1.62298661706E+05 -0.01345 -0.00297 -0.00177  0.33301  0.20356  0.06019 -0.15195 -0.12555 -0.18633 -0.89373 -0.53606 -0.15096
6   5   3   12800  34.5880 05:58:11 -1.65713851573E+05 -1.62298661706E+05  1.00000  1.00000 -0.00469  0.35082 -0.01270  1.00000  0.00000  0.00000 -0.19044 -0.81087 -0.18516  0.00000
6   5   4   25600  38.8717 05:58:11 -1.66083040898E+05 -1.61283525374E+05 -0.01122 -0.01522  1.00000  0.32552  1.00000  1.00000 -0.20601 -0.15293  0.00000 -0.89373  0.00000  0.00000
6   5   4   32000  36.6286 06:58:11 -1.63130432873E+05 -1.61283525374E+05 -0.01247  0.01073  0.32850 -0.01325  0.35405  1.00000 -0.19107 -0.17065 -0.89373 -0.14754 -0.81087  0.00000
6   5   6   51200  20.9684 07:58:11 -1.61674727434E+05 -1.61059596048E+05  1.00000 -0.00794 -0.00244  0.32658  0.27012  1.00000  0.00000 -0.12528 -0.22107 -0.89373 -0.75006  0.00000
6   5   7   72000  15.5232 08:58:11 -1.61442524533E+05 -1.61059596048E+05  1.00000  0.02486 -0.00485  0.32769  0.27132  0.35327  0.00000 -0.26569 -0.13514 -0.89373 -0.75006 -0.81087
6   5   9  102400   8.8332 09:58:11 -1.61371306158E+05 -1.59932687751E+05  0.00031  0.04412  0.01429  0.33310  0.27718  0.35847 -0.15256 -0.28199 -0.07289 -0.89373 -0.75006 -0.81087
6   5   9  112000   8.3896 10:58:11 -1.60539802523E+05 -1.59932687751E+05  0.00566  0.04638  0.03263  0.33355  0.27767  0.35891 -0.15386 -0.28474 -0.09654 -0.89373 -0.75006 -0.81087
6   5  10  117927  10.4000 10:58:11 -1.60991012562E+05 -1.59932687751E+05  0.03929  0.03413  0.01996  0.33477  0.27899  0.10289 -0.08717 -0.26374 -0.17684 -0.89373 -0.75006 -0.26873
6   5  12  146375   3.3000 11:58:11 -1.60479200355E+05 -1.59932687751E+05  0.03606  0.04038  0.05083  0.02298  0.33697  0.28138 -0.08531 -0.27046 -0.16884 -0.16966 -0.89373 -0.75006
6   5  12  152000   2.6227 12:58:11 -1.60630948547E+05 -1.59932687751E+05  0.05653  0.04310  0.01824  0.04989  0.33631  0.28067 -0.09251 -0.27500 -0.17262 -0.16884 -0.89373 -0.75006
6   5  13  165522   2.0000 12:58:11 -1.60479200355E+05 -1.59932687751E+05  0.05526  0.03834  0.14248  0.01692  0.33543  0.27970 -0.09251 -0.26756 -0.26293 -0.17262 -0.89373 -0.75006
6   5  14  175152   2.1000 13:58:11 -1.60470557041E+05 -1.59932687751E+05  0.03099  0.03332  0.01092  0.33354  0.27766  0.35890 -0.09634 -0.26900 -0.15611 -0.89373 -0.75006 -0.81087
6   5  14  188000   2.7729 14:58:11 -1.60112799415E+05 -1.59932687751E+05  0.03485  0.03601  0.04402  0.03053  0.33606  0.28040 -0.09337 -0.26374 -0.24091 -0.16866 -0.89373 -0.75006
6   5  15  194728   2.4000 14:58:11 -1.60242010169E+05 -1.59932687751E+05  0.04144  0.04251  0.06397  0.33626  0.28061 -0.00320 -0.08717 -0.27230 -0.15562 -0.89373 -0.75006 -0.22077
6   5  16  204710   2.3000 15:58:11 -1.60198333446E+05 -1.59932687751E+05  0.03678  0.02557  0.02172  0.33304  0.27712  0.35842 -0.08717 -0.25707 -0.17478 -0.89373 -0.75006 -0.81087
6   5  17  224000   1.4006 16:58:11 -1.59965282848E+05 -1.59932687751E+05  0.04125  0.03008  0.01080  0.06255  0.33613  0.28047 -0.08717 -0.25707 -0.23489 -0.15710 -0.89373 -0.75006
6   5  17  224542   2.0000 16:58:11 -1.60038304387E+05 -1.59932687751E+05  0.04125  0.03008  0.01080  0.06255  0.33613  0.28047 -0.08717 -0.25707 -0.23489 -0.15710 -0.89373 -0.75006
6   5  19  256299   1.2000 17:58:11 -1.59969372552E+05 -1.59932687751E+05  0.04119  0.03003  0.01180  0.06373  0.33609  0.28042 -0.08717 -0.25707 -0.23986 -0.15562 -0.89373 -0.75006
6   5  19  264000   0.7918 18:58:11 -1.59932687751E+05 -1.59932687751E+05  0.03498  0.03013  0.01366  0.06383  0.33616  0.28050 -0.09337 -0.25707 -0.24759 -0.15562 -0.89373 -0.75006
6   5 200  270896   0.0000 18:58:11 -1.59932687751E+05 -1.59932687751E+05  0.04119  0.03003  0.01180  0.06373  0.33609  0.28042 -0.08717 -0.25707 -0.23986 -0.15562 -0.89373 -0.75006
