Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7
   1  3.1089E-04    0.853828    0.005647 -0.0001  0.0127  0.0014  0.0014  0.0004  0.0002  0.0011  0.1368  0.1481  0.1416  0.1445  0.1417  0.1420  0.1452
   2  4.0046E-03    0.807130    0.085659  0.0033  0.0941  0.0316  0.0153  0.0001  0.0006  0.0041  0.1234  0.1582  0.1587  0.1488  0.1337  0.1330  0.1441
   3  5.9119E-03    0.689649    0.218967  0.0333  0.1850  0.0749  0.0698  0.0047  0.0071  0.0033  0.1278  0.1608  0.1924  0.1472  0.1223  0.1210  0.1286
   4  2.9902E-03    0.591086    0.289730  0.0663  0.2263  0.0935  0.1482  0.0184  0.0200  0.0015  0.1440  0.1513  0.2139  0.1342  0.1211  0.1209  0.1146
   5  2.0074E-03    0.519653    0.296647  0.0979  0.2368  0.1005  0.2005  0.0434  0.0336  0.0061  0.1587  0.1405  0.2318  0.1140  0.1232  0.1212  0.1105
   6  2.4871E-03    0.438218    0.274577  0.1124  0.2333  0.1021  0.2132  0.0710  0.0566  0.0018  0.1760  0.1297  0.2438  0.1002  0.1196  0.1281  0.1025
   7  1.5837E-03    0.360438    0.259247  0.1111  0.2234  0.0997  0.2016  0.0785  0.0640  0.0068  0.1898  0.1239  0.2506  0.0917  0.1145  0.1332  0.0963
   8  7.2697E-04    0.303608    0.251784  0.1110  0.2232  0.1009  0.1998  0.0826  0.0694  0.0329  0.1994  0.1200  0.2559  0.0866  0.1114  0.1357  0.0910
   9  2.7582E-04    0.263987    0.248355  0.0997  0.2045  0.0929  0.1680  0.0596  0.0527  0.0064  0.2064  0.1175  0.2615  0.0835  0.1105  0.1384  0.0822
  10  1.3393E-04    0.235439    0.242959  0.1003  0.2051  0.0934  0.1667  0.0591  0.0527  0.0065  0.2118  0.1158  0.2663  0.0813  0.1113  0.1403  0.0733
  11  9.2285E-05    0.213462    0.238512  0.1006  0.2055  0.0933  0.1657  0.0586  0.0521  0.0010  0.2164  0.1145  0.2703  0.0796  0.1124  0.1418  0.0650
  12  5.9965E-05    0.196048    0.235553  0.1117  0.2251  0.1014  0.1967  0.0807  0.0688  0.0498  0.2199  0.1135  0.2734  0.0784  0.1139  0.1423  0.0586
  13  4.3409E-05    0.184600    0.232981  0.1119  0.2254  0.1009  0.1963  0.0805  0.0683  0.0451  0.2222  0.1130  0.2758  0.0777  0.1150  0.1428  0.0535
  14  3.1382E-05    0.174741    0.231187  0.1120  0.2255  0.1004  0.1961  0.0804  0.0680  0.0405  0.2233  0.1127  0.2775  0.0771  0.1161  0.1436  0.0498
  15  2.1430E-05    0.167102    0.229568  0.1120  0.2257  0.1001  0.1958  0.0804  0.0678  0.0364  0.2241  0.1123  0.2789  0.0766  0.1169  0.1442  0.0470
  16  7.0407E-06    0.163713    0.227892  0.1120  0.2257  0.0997  0.1955  0.0805  0.0675  0.0338  0.2247  0.1121  0.2801  0.0763  0.1171  0.1442  0.0455
  17  4.5701E-06    0.161782    0.226321  0.1121  0.2257  0.0995  0.1952  0.0807  0.0673  0.0318  0.2250  0.1120  0.2810  0.0761  0.1176  0.1441  0.0442
