K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7
7   3   1       0   1.0000 58:00:12 -1.72585225692E+05 -1.72585225692E+05 -0.00249  0.00188  0.01250  0.01289 -0.02155 -0.00038 -0.00563 -0.17121 -0.10516 -0.18470 -0.17695 -0.20765 -0.15197 -0.15779
7   3   1     100   3.8835 58:00:12 -1.72515312065E+05 -1.72407133899E+05 -0.00249  0.00188  0.01250  0.01289 -0.02155 -0.00038 -0.00563 -0.17121 -0.10516 -0.18470 -0.17695 -0.20765 -0.15197 -0.15779
7   3   1     200  27.4510 58:00:12 -1.69891061606E+05 -1.69860052908E+05 -0.02155  0.01250 -0.00563  0.01289 -0.00038  0.00188 -0.00249 -0.20765 -0.18470 -0.15779 -0.17695 -0.15197 -0.10516 -0.17121
7   3   1     400  31.4356 58:00:12 -1.65672234326E+05 -1.65209348286E+05  0.00188 -0.02155 -0.00249 -0.00038  0.01289  0.01250 -0.00563 -0.10516 -0.20765 -0.17121 -0.15197 -0.17695 -0.18470 -0.15779
7   3   1     800  34.2040 58:00:12 -1.64874573448E+05 -1.64180283591E+05 -0.02155 -0.00249  0.00188  0.01289  0.01250 -0.00563 -0.00038 -0.20765 -0.17121 -0.10516 -0.17695 -0.18470 -0.15779 -0.15197
7   3   1    1600  41.8329 58:00:12 -1.66109510771E+05 -1.64149597597E+05  0.01289 -0.00249  0.00188 -0.00038 -0.02155  0.01250 -0.00563 -0.17695 -0.17121 -0.10516 -0.15197 -0.20765 -0.18470 -0.15779
7   3   1    3200  46.0674 58:00:12 -1.67732876099E+05 -1.64055215351E+05  0.00188  0.01289 -0.02155 -0.00249  0.01250 -0.00038 -0.00563 -0.10516 -0.17695 -0.20765 -0.17121 -0.18470 -0.15197 -0.15779
7   3   3    6400  38.0952 58:00:12 -1.65018575194E+05 -1.63861165479E+05 -0.02155  0.01289  0.00188 -0.00563  0.01250 -0.00038 -0.00249 -0.20765 -0.17695 -0.10516 -0.15779 -0.18470 -0.15197 -0.17121
7   3   4   12800  31.4689 58:00:12 -1.63864519599E+05 -1.63566373349E+05 -0.00930  1.00000  1.00000  0.20431  0.27329  0.00118  1.00000 -0.18908  0.00000  0.00000 -0.58801 -0.75006 -0.14740  0.00000
7   3   4   25600  35.0559 59:00:12 -1.65882276439E+05 -1.63318080018E+05  1.00000 -0.01951  0.32592  0.26940  0.01581  1.00000  1.00000  0.00000 -0.20069 -0.89373 -0.75006 -0.11922  0.00000  0.00000
7   3   5   40000  24.3134 00:01:12 -1.63594467317E+05 -1.62851459366E+05  0.01573  0.00494  0.06166  1.00000  0.33318  0.27727  1.00000 -0.14427 -0.21206 -0.10267  0.00000 -0.89373 -0.75006  0.00000
7   3   5   51200  26.0482 00:01:12 -1.64938598321E+05 -1.62687885177E+05  0.01002 -0.00164  0.33026  0.27410 -0.01202  0.35574  1.00000 -0.13209 -0.22209 -0.89373 -0.75006 -0.03022 -0.81087  0.00000
7   3   6   80000  19.0949 02:01:12 -1.62419062165E+05 -1.61665686508E+05  0.00666  0.00775  1.00000  0.13923  0.33290  0.27697  0.35829 -0.14872 -0.19894  0.00000 -0.26293 -0.89373 -0.75006 -0.81087
