K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fst8     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7     Fis8
8   1   1       0   1.0000 30:04:12 -1.73988820900E+05 -1.73988820900E+05  0.00259  0.01659  0.00397  0.00868 -0.00364 -0.01270 -0.01804  0.00892 -0.17967 -0.08718 -0.16389 -0.17733 -0.16309 -0.17250 -0.20841 -0.17620
8   1   1     100   1.9802 30:04:12 -1.73963059055E+05 -1.73956609088E+05  0.00259  0.01659  0.00397  0.00868 -0.00364 -0.01270 -0.01804  0.00892 -0.17967 -0.08718 -0.16389 -0.17733 -0.16309 -0.17250 -0.20841 -0.17620
8   1   1     200  27.7228 30:04:12 -1.69872827523E+05 -1.69872827523E+05  0.00892  0.00259 -0.01270 -0.00364  0.00397  0.00868  0.01659 -0.01804 -0.17620 -0.17967 -0.17250 -0.16309 -0.16389 -0.17733 -0.08718 -0.20841
8   1   1     400  34.5771 30:04:12 -1.67415490553E+05 -1.67178355956E+05  0.00868 -0.00364  0.00892  0.00259 -0.01270  0.01659  0.00397 -0.01804 -0.17733 -0.16309 -0.17620 -0.17967 -0.17250 -0.08718 -0.16389 -0.20841
8   1   1     800  40.6484 30:04:12 -1.69661284241E+05 -1.67178355956E+05 -0.01270  0.00868 -0.01804  0.00397  0.00259  0.01659  0.00892 -0.00364 -0.17250 -0.17733 -0.20841 -0.16389 -0.17967 -0.08718 -0.17620 -0.16309
8   1   1    1600  44.8814 30:04:12 -1.66544444612E+05 -1.66435076494E+05  0.00892 -0.01804 -0.00364  0.00397  0.00259  0.01659 -0.01270  0.00868 -0.17620 -0.20841 -0.16309 -0.16389 -0.17967 -0.08718 -0.17250 -0.17733
8   1   1    3200  47.3766 30:04:12 -1.67840027032E+05 -1.65546952433E+05 -0.00364 -0.01804 -0.01270  0.00259  0.01659  0.00892  0.00868  0.00397 -0.16309 -0.20841 -0.17250 -0.17967 -0.08718 -0.17620 -0.17733 -0.16389
8   1   2    6400  43.3685 30:04:12 -1.67122764094E+05 -1.64523221400E+05 -0.01804 -0.01270  0.00868  0.00892 -0.00364  0.00259  0.01659  0.00397 -0.20841 -0.17250 -0.17733 -0.17620 -0.16309 -0.17967 -0.08718 -0.16389
8   1   3   12800  36.3218 30:04:12 -1.67101435392E+05 -1.64396526226E+05  1.00000  0.00311  0.01192  0.33134  0.27528  0.35679 -0.00204  1.00000  0.00000 -0.20029 -0.21934 -0.89373 -0.75006 -0.81087 -0.13234  0.00000
8   1   4   24000  37.6942 31:04:12 -1.67412498578E+05 -1.64396526226E+05 -0.00157  1.00000 -0.02136  1.00000  0.32489  0.26828  1.00000  1.00000 -0.15939  0.00000 -0.14902  0.00000 -0.89373 -0.75006  0.00000  0.00000
