Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8
   1  2.6985E-04    0.871760    0.005658 -0.0008  0.0154  0.0016  0.0013 -0.0002  0.0005  0.0015  0.0012  0.1188  0.1300  0.1238  0.1261  0.1233  0.1251  0.1262  0.1267
   2  2.9819E-03    0.831106    0.070226  0.0058  0.1077  0.0378  0.0198  0.0006  0.0018  0.0053  0.0055  0.1063  0.1355  0.1438  0.1319  0.1157  0.1174  0.1239  0.1255
   3  5.2098E-03    0.715379    0.218482  0.0423  0.2017  0.0837  0.0854  0.0060  0.0050  0.0020  0.0021  0.1137  0.1497  0.1773  0.1324  0.1056  0.1047  0.1075  0.1092
   4  2.6646E-03    0.613908    0.296005  0.0834  0.2390  0.1044  0.1698  0.0245  0.0157  0.0042  0.0007  0.1311  0.1446  0.2039  0.1244  0.1034  0.1004  0.0966  0.0956
   5  1.8301E-03    0.537255    0.305482  0.1164  0.2475  0.1131  0.2197  0.0597  0.0203  0.0144 -0.0010  0.1497  0.1337  0.2270  0.1102  0.1033  0.0957  0.0923  0.0881
   6  1.6783E-03    0.460929    0.295839  0.1319  0.2520  0.1186  0.2399  0.0998  0.0254  0.0469 -0.0069  0.1712  0.1276  0.2431  0.1006  0.1073  0.0864  0.0859  0.0779
   7  1.6785E-03    0.383358    0.286774  0.1321  0.2478  0.1191  0.2360  0.1145  0.0425  0.0924  0.0081  0.1849  0.1232  0.2537  0.0924  0.1119  0.0786  0.0794  0.0758
   8  9.7166E-04    0.319951    0.283007  0.1229  0.2335  0.1129  0.2153  0.1036  0.0479  0.1061  0.0208  0.1945  0.1190  0.2596  0.0879  0.1119  0.0771  0.0716  0.0784
   9  3.8401E-04    0.276936    0.283584  0.1105  0.2143  0.1037  0.1846  0.0814  0.0316  0.0906  0.0125  0.2014  0.1164  0.2644  0.0851  0.1115  0.0757  0.0659  0.0795
  10  1.1768E-04    0.249688    0.282489  0.1096  0.2139  0.1027  0.1821  0.0800  0.0412  0.1040  0.0285  0.2067  0.1147  0.2684  0.0831  0.1125  0.0748  0.0624  0.0773
  11  8.2008E-05    0.229599    0.280539  0.1095  0.2136  0.1021  0.1797  0.0784  0.0451  0.1062  0.0376  0.2125  0.1135  0.2720  0.0814  0.1137  0.0736  0.0591  0.0741
  12  6.4163E-05    0.214636    0.276802  0.1096  0.2132  0.1017  0.1775  0.0765  0.0483  0.1087  0.0378  0.2166  0.1121  0.2751  0.0798  0.1154  0.0738  0.0574  0.0698
  13  4.2385E-05    0.204178    0.273157  0.1100  0.2134  0.1016  0.1764  0.0753  0.0498  0.1078  0.0358  0.2195  0.1115  0.2785  0.0789  0.1167  0.0737  0.0557  0.0656
  14  2.8313E-05    0.196651    0.270544  0.1103  0.2136  0.1013  0.1756  0.0742  0.0510  0.1078  0.0329  0.2219  0.1110  0.2805  0.0783  0.1178  0.0736  0.0547  0.0620
  15  3.4556E-05    0.187726    0.268724  0.1103  0.2136  0.1010  0.1747  0.0732  0.0522  0.1077  0.0291  0.2238  0.1105  0.2824  0.0776  0.1194  0.0739  0.0539  0.0585
  16  1.9015E-05    0.182314    0.267424  0.1103  0.2137  0.1006  0.1740  0.0724  0.0533  0.1077  0.0260  0.2250  0.1102  0.2838  0.0772  0.1206  0.0740  0.0535  0.0557
  17  1.2307E-05    0.178970    0.265892  0.1102  0.2137  0.1003  0.1733  0.0719  0.0542  0.1075  0.0229  0.2259  0.1101  0.2849  0.0769  0.1215  0.0739  0.0533  0.0535
  18  7.5442E-06    0.176557    0.265097  0.1102  0.2136  0.1000  0.1726  0.0716  0.0550  0.1072  0.0206  0.2268  0.1099  0.2857  0.0766  0.1221  0.0738  0.0532  0.0519
  19  4.1959E-06    0.174902    0.264599  0.1101  0.2135  0.0997  0.1721  0.0716  0.0557  0.1069  0.0188  0.2276  0.1098  0.2861  0.0764  0.1225  0.0737  0.0532  0.0508
  20  1.8915E-06    0.174479    0.263813  0.1101  0.2134  0.0995  0.1716  0.0716  0.0564  0.1067  0.0173  0.2281  0.1098  0.2863  0.0762  0.1225  0.0737  0.0532  0.0501
  21  1.5095E-06    0.173862    0.263213  0.1100  0.2133  0.0994  0.1712  0.0716  0.0571  0.1065  0.0159  0.2286  0.1097  0.2864  0.0760  0.1226  0.0738  0.0532  0.0496
  22  1.5032E-06    0.173154    0.262443  0.1099  0.2132  0.0993  0.1708  0.0716  0.0578  0.1062  0.0139  0.2288  0.1097  0.2865  0.0759  0.1227  0.0741  0.0532  0.0490
  23  1.0378E-06    0.172268    0.261851  0.1099  0.2131  0.0992  0.1704  0.0716  0.0584  0.1060  0.0125  0.2291  0.1095  0.2866  0.0757  0.1230  0.0742  0.0532  0.0486
  24  9.3589E-07    0.171628    0.261209  0.1098  0.2130  0.0992  0.1700  0.0716  0.0590  0.1058  0.0111  0.2293  0.1094  0.2868  0.0755  0.1229  0.0745  0.0533  0.0482
  25  9.9144E-07    0.170816    0.260449  0.1097  0.2130  0.0991  0.1696  0.0716  0.0594  0.1057  0.0099  0.2293  0.1093  0.2870  0.0754  0.1230  0.0747  0.0533  0.0480
  26  6.7039E-07    0.170445    0.259693  0.1096  0.2128  0.0990  0.1693  0.0715  0.0599  0.1056  0.0090  0.2293  0.1092  0.2871  0.0752  0.1229  0.0751  0.0534  0.0478
  27  1.0927E-06    0.169771    0.259177  0.1095  0.2127  0.0989  0.1690  0.0714  0.0603  0.1055  0.0080  0.2293  0.1091  0.2872  0.0751  0.1228  0.0755  0.0534  0.0476
  28  1.2905E-06    0.169347    0.258417  0.1095  0.2126  0.0989  0.1688  0.0713  0.0605  0.1054  0.0072  0.2294  0.1090  0.2872  0.0750  0.1227  0.0758  0.0534  0.0475
  29  1.1419E-06    0.168735    0.257716  0.1094  0.2125  0.0988  0.1685  0.0712  0.0607  0.1053  0.0062  0.2294  0.1089  0.2872  0.0748  0.1226  0.0763  0.0535  0.0473
  30  1.1585E-06    0.168246    0.256800  0.1093  0.2124  0.0988  0.1682  0.0710  0.0607  0.1053  0.0054  0.2294  0.1088  0.2871  0.0748  0.1225  0.0767  0.0535  0.0472
  31  1.5916E-06    0.167397    0.255970  0.1092  0.2124  0.0988  0.1680  0.0709  0.0607  0.1052  0.0044  0.2292  0.1087  0.2873  0.0746  0.1225  0.0772  0.0535  0.0470
  32  2.1098E-06    0.166670    0.254937  0.1092  0.2123  0.0987  0.1677  0.0708  0.0606  0.1053  0.0033  0.2292  0.1086  0.2872  0.0745  0.1222  0.0777  0.0536  0.0469
  33  7.2467E-06    0.166078    0.253758  0.1199  0.2319  0.1070  0.2006  0.0921  0.0913  0.1495  0.0605  0.2296  0.1085  0.2872  0.0746  0.1219  0.0783  0.0536  0.0463
  34  3.4715E-06    0.165671    0.252886  0.1200  0.2319  0.1071  0.2005  0.0921  0.0908  0.1493  0.0589  0.2298  0.1084  0.2873  0.0745  0.1216  0.0788  0.0535  0.0460
  35  2.9810E-06    0.165038    0.252052  0.1200  0.2319  0.1072  0.2004  0.0920  0.0902  0.1491  0.0576  0.2298  0.1083  0.2875  0.0744  0.1214  0.0793  0.0534  0.0458
  36  2.3922E-06    0.164728    0.250845  0.1201  0.2319  0.1072  0.2003  0.0920  0.0896  0.1489  0.0564  0.2299  0.1082  0.2876  0.0743  0.1212  0.0798  0.0533  0.0455
  37  2.7078E-06    0.163781    0.249847  0.1202  0.2319  0.1073  0.2001  0.0920  0.0891  0.1490  0.0549  0.2300  0.1081  0.2878  0.0742  0.1210  0.0803  0.0532  0.0453
  38  2.0668E-05    0.163250    0.248205  0.1205  0.2320  0.1077  0.1995  0.0925  0.0892  0.1494  0.0468  0.2309  0.1078  0.2886  0.0739  0.1209  0.0808  0.0532  0.0440
  39  1.7967E-05    0.161553    0.246208  0.1208  0.2323  0.1080  0.1994  0.0927  0.0899  0.1492  0.0390  0.2316  0.1077  0.2892  0.0736  0.1208  0.0816  0.0533  0.0423
  40  3.6529E-06    0.161182    0.244979  0.1209  0.2324  0.1082  0.1995  0.0927  0.0904  0.1483  0.0368  0.2318  0.1076  0.2894  0.0735  0.1207  0.0822  0.0532  0.0417
  41  1.9296E-06    0.160610    0.244225  0.1210  0.2324  0.1082  0.1994  0.0928  0.0906  0.1473  0.0362  0.2320  0.1075  0.2894  0.0735  0.1206  0.0827  0.0530  0.0413
  42  1.3765E-06    0.160313    0.243583  0.1210  0.2324  0.1083  0.1994  0.0929  0.0907  0.1462  0.0360  0.2321  0.1074  0.2895  0.0734  0.1205  0.0831  0.0528  0.0412
  43  1.3903E-06    0.159882    0.242934  0.1211  0.2325  0.1084  0.1994  0.0930  0.0908  0.1453  0.0358  0.2323  0.1073  0.2896  0.0733  0.1205  0.0835  0.0525  0.0411
  44  1.1495E-06    0.159408    0.242468  0.1211  0.2325  0.1085  0.1994  0.0930  0.0910  0.1443  0.0357  0.2324  0.1073  0.2896  0.0733  0.1203  0.0838  0.0522  0.0410
  45  9.8370E-07    0.159030    0.241827  0.1212  0.2326  0.1086  0.1993  0.0930  0.0911  0.1433  0.0354  0.2326  0.1072  0.2898  0.0732  0.1202  0.0842  0.0520  0.0409
  46  1.1270E-06    0.158712    0.241351  0.1212  0.2326  0.1086  0.1993  0.0930  0.0912  0.1423  0.0354  0.2327  0.1071  0.2898  0.0732  0.1201  0.0845  0.0517  0.0409
  47  8.0652E-07    0.158496    0.241030  0.1212  0.2326  0.1087  0.1993  0.0930  0.0913  0.1413  0.0353  0.2328  0.1071  0.2897  0.0732  0.1200  0.0849  0.0515  0.0408
  48  1.0515E-06    0.158115    0.240438  0.1213  0.2327  0.1088  0.1993  0.0930  0.0914  0.1402  0.0352  0.2330  0.1070  0.2898  0.0731  0.1198  0.0852  0.0512  0.0408
  49  6.2755E-06    0.158327    0.240981  0.1215  0.2330  0.1091  0.1997  0.0932  0.0917  0.1396  0.0317  0.2329  0.1073  0.2897  0.0734  0.1199  0.0853  0.0511  0.0402
  50  1.3447E-06    0.158218    0.240569  0.1215  0.2330  0.1092  0.1998  0.0933  0.0918  0.1386  0.0306  0.2329  0.1073  0.2899  0.0734  0.1200  0.0857  0.0509  0.0400
  51  1.3560E-06    0.157886    0.240030  0.1216  0.2331  0.1093  0.1997  0.0933  0.0917  0.1375  0.0300  0.2330  0.1072  0.2901  0.0734  0.1201  0.0859  0.0506  0.0398
