Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8    Fst9   Fst10   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8   QPop9  QPop10
   1  9.9735E-03    0.648815    0.109786  0.0324  0.2259  0.1088  0.1513  0.1179  0.0865  0.0469  0.0432  0.0701  0.0007  0.0817  0.1026  0.1016  0.0820  0.1590  0.1099  0.0802  0.1005  0.1068  0.0757
   2  3.4157E-03    0.447923    0.213375  0.0621  0.2474  0.1372  0.2163  0.1341  0.1098  0.1082  0.0556  0.0889  0.0125  0.0707  0.1145  0.1182  0.0853  0.1685  0.1112  0.0670  0.0904  0.1109  0.0632
   3  8.5898E-04    0.336995    0.220503  0.0461  0.2389  0.1355  0.2070  0.1324  0.1036  0.1005  0.0528  0.0890  0.0128  0.0648  0.1141  0.1278  0.0797  0.1796  0.1126  0.0560  0.0884  0.1151  0.0619
   4  2.2174E-04    0.285774    0.209945  0.0407  0.2402  0.1362  0.2045  0.1322  0.1031  0.0904  0.0570  0.0919  0.0187  0.0610  0.1118  0.1315  0.0761  0.1875  0.1130  0.0491  0.0896  0.1184  0.0620
   5  9.9152E-05    0.249876    0.202857  0.0357  0.2405  0.1358  0.2023  0.1314  0.1023  0.0784  0.0581  0.0925  0.0197  0.0582  0.1108  0.1336  0.0737  0.1928  0.1133  0.0448  0.0906  0.1204  0.0618
   6  5.8979E-05    0.221486    0.197027  0.0324  0.2403  0.1351  0.2007  0.1308  0.1017  0.0701  0.0581  0.0923  0.0198  0.0561  0.1102  0.1349  0.0720  0.1967  0.1137  0.0417  0.0916  0.1218  0.0614
   7  3.9626E-05    0.198036    0.191737  0.0301  0.2400  0.1343  0.1995  0.1303  0.1013  0.0646  0.0577  0.0918  0.0195  0.0546  0.1097  0.1358  0.0707  0.1996  0.1140  0.0396  0.0924  0.1227  0.0611
   8  2.8529E-05    0.178468    0.186459  0.0286  0.2397  0.1335  0.1986  0.1299  0.1009  0.0610  0.0571  0.0912  0.0191  0.0534  0.1093  0.1362  0.0696  0.2018  0.1143  0.0380  0.0932  0.1235  0.0608
   9  2.1737E-05    0.161747    0.181348  0.0274  0.2394  0.1327  0.1978  0.1296  0.1006  0.0586  0.0565  0.0905  0.0185  0.0524  0.1090  0.1364  0.0687  0.2036  0.1145  0.0367  0.0940  0.1241  0.0606
  10  1.7732E-05    0.147251    0.176295  0.0265  0.2392  0.1319  0.1972  0.1293  0.1004  0.0568  0.0559  0.0899  0.0180  0.0515  0.1087  0.1363  0.0680  0.2052  0.1146  0.0358  0.0947  0.1246  0.0605
  11  1.4213E-05    0.134812    0.171414  0.0259  0.2390  0.1311  0.1967  0.1291  0.1001  0.0556  0.0554  0.0892  0.0173  0.0508  0.1085  0.1361  0.0674  0.2065  0.1147  0.0350  0.0954  0.1251  0.0604
  12  1.1250E-05    0.124010    0.167193  0.0254  0.2388  0.1305  0.1964  0.1289  0.0999  0.0547  0.0549  0.0887  0.0166  0.0502  0.1083  0.1359  0.0670  0.2075  0.1150  0.0344  0.0961  0.1255  0.0602
  13  8.1418E-06    0.115419    0.163598  0.0250  0.2387  0.1301  0.1961  0.1287  0.0998  0.0541  0.0546  0.0882  0.0161  0.0497  0.1081  0.1357  0.0667  0.2083  0.1151  0.0339  0.0967  0.1258  0.0601
  14  5.9227E-06    0.108877    0.160231  0.0248  0.2386  0.1297  0.1960  0.1286  0.0997  0.0537  0.0543  0.0877  0.0158  0.0494  0.1080  0.1355  0.0665  0.2089  0.1150  0.0335  0.0972  0.1261  0.0599
  15  4.6229E-06    0.102818    0.157596  0.0246  0.2385  0.1294  0.1958  0.1285  0.0995  0.0533  0.0541  0.0874  0.0156  0.0492  0.1079  0.1353  0.0663  0.2095  0.1150  0.0332  0.0976  0.1263  0.0597
  16  2.9986E-06    0.098934    0.154875  0.0244  0.2385  0.1291  0.1957  0.1284  0.0994  0.0532  0.0539  0.0872  0.0154  0.0490  0.1078  0.1352  0.0662  0.2098  0.1151  0.0331  0.0978  0.1265  0.0596
