 K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fst8     Fst9    Fst10     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7     Fis8     Fis9    Fis10
10   3   1       0   1.0000 56:13:16 -1.73250040625E+05 -1.73250040625E+05  0.00315 -0.00009 -0.00051  0.01052  0.01235  0.00521 -0.01178  0.01787 -0.01780 -0.00543 -0.13738 -0.13749 -0.10684 -0.11643 -0.23743 -0.20476 -0.13204 -0.23337 -0.20649 -0.19068
10   3   1     100   0.0000 56:13:16 -1.73250040625E+05 -1.73250040625E+05  0.00315 -0.00009 -0.00051  0.01052  0.01235  0.00521 -0.01178  0.01787 -0.01780 -0.00543 -0.13738 -0.13749 -0.10684 -0.11643 -0.23743 -0.20476 -0.13204 -0.23337 -0.20649 -0.19068
10   3   1     200  28.9216 56:13:16 -1.69962402906E+05 -1.69962402906E+05 -0.01178 -0.00051 -0.01780 -0.00009  0.01787 -0.00543  0.01052  0.00315  0.01235  0.00521 -0.13204 -0.10684 -0.20649 -0.13749 -0.23337 -0.19068 -0.11643 -0.13738 -0.23743 -0.20476
10   3   1     400  34.1584 56:13:16 -1.66974118931E+05 -1.66492052601E+05 -0.00543  0.01052  0.01235 -0.00051 -0.01780  0.00315  0.01787  0.00521 -0.00009 -0.01178 -0.19068 -0.11643 -0.23743 -0.10684 -0.20649 -0.13738 -0.23337 -0.20476 -0.13749 -0.13204
10   3   1     800  36.5672 56:13:16 -1.65441348932E+05 -1.64640055186E+05 -0.00051 -0.00009 -0.01178  0.00315  0.00521 -0.01780  0.01235  0.01787  0.01052 -0.00543 -0.10684 -0.13749 -0.13204 -0.13738 -0.20476 -0.20649 -0.23743 -0.23337 -0.11643 -0.19068
10   3   1    1600  43.0175 56:13:16 -1.65927109534E+05 -1.64640055186E+05 -0.00009  0.00521 -0.01178 -0.00543 -0.00051  0.01235  0.01787  0.00315  0.01052 -0.01780 -0.13749 -0.20476 -0.13204 -0.19068 -0.10684 -0.23743 -0.23337 -0.13738 -0.11643 -0.20649
10   3   1    3200  46.4107 56:13:16 -1.67376805744E+05 -1.64324268744E+05 -0.00543  0.00315  0.00521 -0.00009  0.01235  0.01787 -0.00051 -0.01780  0.01052 -0.01178 -0.19068 -0.13738 -0.20476 -0.13749 -0.23743 -0.23337 -0.10684 -0.20649 -0.11643 -0.13204
10   3   2    6400  42.1421 56:13:16 -1.66254754529E+05 -1.63660011343E+05 -0.00051 -0.01178 -0.00543  0.01235  0.01787  0.00521 -0.01780 -0.00009  0.00315  0.01052 -0.10684 -0.13204 -0.19068 -0.23743 -0.23337 -0.20476 -0.20649 -0.13749 -0.13738 -0.11643
10   3   4   12800  33.3875 00:14:16 -1.64735595255E+05 -1.63660011343E+05  0.00521 -0.00543 -0.01178  0.00315  0.01235  0.01787 -0.00051  0.01052 -0.00009 -0.01780 -0.20476 -0.19068 -0.13204 -0.13738 -0.23743 -0.23337 -0.10684 -0.11643 -0.13749 -0.20649
10   3   4   15000  31.5798 03:14:16 -1.65189284243E+05 -1.63660011343E+05 -0.01178 -0.00543 -0.00051 -0.00009  0.01235  0.01787  0.00315 -0.01780  0.01052  0.00521 -0.13204 -0.19068 -0.10684 -0.13749 -0.23743 -0.23337 -0.13738 -0.20649 -0.11643 -0.20476
10   3   4   25000  30.1453 05:14:16 -1.64507981226E+05 -1.63498952268E+05  0.35484  0.01701  0.21194  1.00000  0.04388  0.27717  0.33315  1.00000  0.01537  1.00000 -0.81056 -0.24849 -0.65933  0.00000 -0.08955 -0.75111 -0.89436  0.00000 -0.13642  0.00000
10   3   4   25600  30.1219 05:14:16 -1.66944412113E+05 -1.63498952268E+05  1.00000  0.01701  0.21194  0.04388  0.35484  0.27717  0.33315  1.00000  1.00000  0.01537  0.00000 -0.24849 -0.65933 -0.08955 -0.81056 -0.75111 -0.89436  0.00000  0.00000 -0.13642
10   3   4   30000  30.8907 09:14:16 -1.65721506284E+05 -1.63498952268E+05  1.00000  0.01701  0.21194  0.04388  0.27717  0.33315  0.35484  1.00000  0.01537  1.00000  0.00000 -0.24849 -0.65933 -0.08955 -0.75111 -0.89436 -0.81056  0.00000 -0.13642  0.00000
10   3   5   65000  23.6220 47:14:16 -1.65801883570E+05 -1.63498952268E+05 -0.00435 -0.00967  1.00000  1.00000  0.27035  0.32686  1.00000  1.00000  1.00000  1.00000 -0.12633 -0.22715  0.00000  0.00000 -0.75111 -0.89436  0.00000  0.00000  0.00000  0.00000
10   3   5   70000  23.8453 49:14:16 -1.65216529671E+05 -1.63498952268E+05 -0.00967  1.00000  1.00000 -0.00435  1.00000  0.27035  0.32686  1.00000  1.00000  1.00000 -0.22715  0.00000  0.00000 -0.12633  0.00000 -0.75111 -0.89436  0.00000  0.00000  0.00000
10   3   6  100000  20.1140 51:14:16 -1.65152055480E+05 -1.63078802417E+05  0.21809  0.02061  0.01172  0.28281  0.33836  1.00000  1.00000  0.35988  0.02609  0.02359 -0.65933 -0.23519 -0.20898 -0.75111 -0.89436  0.00000  0.00000 -0.81056 -0.09166 -0.12773
10   3   7  110964  14.8000 51:14:16 -1.64329135706E+05 -1.63078802417E+05  0.02359  1.00000  0.02061  1.00000  0.02609  0.28281  0.33836  0.01172  0.21809  0.35988 -0.12773  0.00000 -0.23519  0.00000 -0.09166 -0.75111 -0.89436 -0.20898 -0.65933 -0.81056
10   3   7  145000  15.7964 53:14:16 -1.64122163930E+05 -1.62814898163E+05  1.00000  0.03036  0.03900  0.00543  1.00000  0.27709  0.33307  1.00000  0.35477  0.02418  0.00000 -0.07228 -0.09208 -0.15985  0.00000 -0.75111 -0.89436  0.00000 -0.81056 -0.25702
10   3   8  152091  10.2000 53:14:16 -1.63574170308E+05 -1.62814898163E+05  0.02418  1.00000  1.00000  0.03036  0.27709  0.33307  0.00543  0.03900  0.35477  1.00000 -0.25702  0.00000  0.00000 -0.07228 -0.75111 -0.89436 -0.15985 -0.09208 -0.81056  0.00000
10   3   9  190000  15.1515 55:14:16 -1.63365824842E+05 -1.62359439283E+05  1.00000  1.00000  0.01950  0.03183  1.00000  0.28118  0.33685  0.21631  1.00000  0.10162  0.00000  0.00000 -0.13061 -0.24735  0.00000 -0.75111 -0.89436 -0.65933  0.00000 -0.40928
10   3   9  190457  17.9000 55:14:16 -1.64011647155E+05 -1.62359439283E+05  1.00000  1.00000  0.01950  0.03183  1.00000  0.28118  0.33685  0.21631  1.00000  0.10162  0.00000  0.00000 -0.13061 -0.24735  0.00000 -0.75111 -0.89436 -0.65933  0.00000 -0.40928
