Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2   QPop1   QPop2
   1  1.8773E-03    0.491014    0.015808  0.0004  0.0020  0.5191  0.4809
   2  1.1682E-02    0.440120    0.125205  0.0011  0.0191  0.5243  0.4757
   3  2.4049E-02    0.334765    0.179830  0.0012  0.0511  0.6246  0.3754
   4  9.5157E-03    0.244219    0.227736  0.0039  0.0867  0.6907  0.3093
   5  1.1497E-03    0.228515    0.219091  0.0020  0.1033  0.7146  0.2854
   6  1.2843E-03    0.210429    0.204065  0.0021  0.1227  0.7402  0.2598
   7  2.0599E-03    0.180857    0.178122  0.0027  0.1505  0.7731  0.2269
   8  2.1487E-03    0.144580    0.143660 -0.0003  0.1772  0.8059  0.1941
   9  1.6850E-03    0.105603    0.107606 -0.0072  0.1827  0.8347  0.1653
  10  8.6156E-04    0.074016    0.080260 -0.0112  0.1814  0.8550  0.1450
  11  2.6393E-04    0.055334    0.065688 -0.0128  0.1792  0.8661  0.1339
  12  5.2928E-05    0.046613    0.059720 -0.0135  0.1781  0.8711  0.1289
  13  1.1634E-05    0.042642    0.057106 -0.0139  0.1775  0.8733  0.1267
  14  4.0874E-06    0.040469    0.055676 -0.0141  0.1772  0.8745  0.1255
  15  1.4625E-06    0.039223    0.054817 -0.0142  0.1769  0.8752  0.1248
  16  6.4290E-07    0.038404    0.054251 -0.0143  0.1768  0.8756  0.1244
  17  4.1063E-07    0.037846    0.053837 -0.0143  0.1766  0.8759  0.1241
  18  2.4125E-07    0.037459    0.053548 -0.0143  0.1765  0.8761  0.1239
  19  1.1942E-07    0.037195    0.053354 -0.0144  0.1764  0.8762  0.1238
  20  7.6518E-08    0.037025    0.053197 -0.0144  0.1763  0.8763  0.1237
  21  8.0788E-08    0.036837    0.053112 -0.0144  0.1762  0.8764  0.1236
  22  3.3955E-08    0.036766    0.052998 -0.0144  0.1762  0.8764  0.1236
  23  3.1303E-08    0.036683    0.052920 -0.0144  0.1761  0.8764  0.1236
  24  2.6694E-08    0.036630    0.052835 -0.0144  0.1761  0.8764  0.1236
