K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fis1     Fis2
2   4   1       0   1.0000 12:18:15 -1.60794954244E+05 -1.60794954244E+05 -0.00154  0.00109 -0.17264 -0.16564
2   4   1     100   1.0000 12:18:15 -1.60672537848E+05 -1.60672537848E+05 -0.00154  0.00109 -0.17264 -0.16564
2   4   1     200  19.0000 12:18:15 -1.58525574461E+05 -1.58525574461E+05  0.00109 -0.00154 -0.16564 -0.17264
2   4   1     400  20.2500 12:18:15 -1.56222068432E+05 -1.56222068432E+05  0.00109 -0.00154 -0.16564 -0.17264
2   4   1     800  18.8750 12:18:15 -1.59631451333E+05 -1.56222068432E+05  0.00109 -0.00154 -0.16564 -0.17264
2   4   1    1600  38.3125 12:18:15 -1.60236051541E+05 -1.56222068432E+05  0.29614 -0.06670 -0.79547 -0.16791
2   4   2    3200  53.1073 12:18:15 -1.58562057934E+05 -1.56222068432E+05 -0.00778  0.04089 -0.17225 -0.22094
2   4   3    6400  17.0672 12:18:15 -1.58815166434E+05 -1.56222068432E+05  0.24305 -0.05683 -0.75111 -0.16137
2   4   5   10000  39.2290 14:18:15 -1.58438589473E+05 -1.56222068432E+05  0.02869 -0.00045 -0.16670 -0.19922
2   4   6   12800   0.2714 15:18:15 -1.56222068432E+05 -1.56222068432E+05 -0.05683  0.24305 -0.16137 -0.75111
2   4 200   14523   0.0000 16:18:15 -1.56222068432E+05 -1.56222068432E+05  0.24305 -0.05683 -0.75111 -0.16137
