K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fis1     Fis2     Fis3
3   1   1       0   1.0000 42:18:15 -1.62546754060E+05 -1.62546754060E+05 -0.00719  0.00419  0.00318 -0.17780 -0.17179 -0.15846
3   1   1     100   0.9901 42:18:15 -1.62243622517E+05 -1.62243622517E+05 -0.00719  0.00419  0.00318 -0.17780 -0.17179 -0.15846
3   1   1     200  24.3781 42:18:15 -1.58977488567E+05 -1.58977488567E+05  0.00419 -0.00719  0.00318 -0.17179 -0.17780 -0.15846
3   1   1     400  29.1771 42:18:15 -1.59469237744E+05 -1.58061051592E+05  0.00419  0.00318 -0.00719 -0.17179 -0.15846 -0.17780
3   1   1     800  43.5705 42:18:15 -1.59888475930E+05 -1.58061051592E+05 -0.00719  0.00419  0.00318 -0.17780 -0.17179 -0.15846
3   1   1    1600  46.1587 42:18:15 -1.58545213585E+05 -1.57619498213E+05  0.00419 -0.00719  0.00318 -0.17179 -0.17780 -0.15846
3   1   1    3200  48.3911 42:18:15 -1.57766544742E+05 -1.56641479363E+05 -0.00135 -0.01172  0.12027 -0.08335 -0.17443 -0.37582
3   1   2    6400  44.4099 43:18:15 -1.58488274704E+05 -1.56501986941E+05 -0.00540  0.00980  0.20583 -0.14873 -0.23497 -0.55504
3   1   4   12800  45.5635 44:18:15 -1.58448553983E+05 -1.56102885297E+05 -0.02339  0.00393  0.26665 -0.19429 -0.08931 -0.75111
3   1   4   15000  34.8385 47:18:15 -1.55996756780E+05 -1.55854449167E+05 -0.00238  0.00290  0.27034 -0.14085 -0.23212 -0.75111
3   1   5   20000  32.0344 49:18:15 -1.56970072564E+05 -1.55854449167E+05 -0.00284 -0.01810  0.26897 -0.11592 -0.19852 -0.75111
3   1   6   25000  32.3810 52:18:15 -1.57447154148E+05 -1.55135114552E+05 -0.01564 -0.00067  0.27018 -0.22137 -0.12554 -0.75111
3   1   6   25600  29.2621 52:18:15 -1.57443759628E+05 -1.55135114552E+05 -0.01564 -0.00067  0.27018 -0.22137 -0.12554 -0.75111
3   1   7   30000  19.3182 55:18:15 -1.56578269755E+05 -1.55135114552E+05 -0.00886  0.01326  0.27086 -0.14852 -0.24359 -0.75111
3   1  11   51200   3.8005 56:18:15 -1.55552963611E+05 -1.55080278648E+05  0.00070  0.01381  0.27084 -0.13845 -0.26305 -0.75111
3   1  15   75000   2.4719 57:18:15 -1.55124094608E+05 -1.55080278648E+05  0.00222  0.01159  0.27075 -0.13900 -0.25776 -0.75111
3   1  20  102400   1.2518 58:18:15 -1.55080278648E+05 -1.55080278648E+05 -0.00107  0.01595  0.27065 -0.13912 -0.26268 -0.75111
3   1  22  108590   0.9000 58:18:15 -1.55093452986E+05 -1.55080278648E+05  0.00222  0.01159  0.27075 -0.13900 -0.25776 -0.75111
3   1  22  110000   0.9800 59:18:15 -1.55122158643E+05 -1.55080278648E+05  0.00222  0.01159  0.27075 -0.13900 -0.25776 -0.75111
3   1  24  118574   1.5000 59:18:15 -1.55122158643E+05 -1.55080278648E+05 -0.00107  0.01595  0.27065 -0.13912 -0.26268 -0.75111
3   1  25  123561   1.2000 59:18:15 -1.55080278648E+05 -1.55080278648E+05  0.00222  0.01159  0.27075 -0.13900 -0.25776 -0.75111
3   1  26  128528   0.9000 00:19:15 -1.55093452986E+05 -1.55080278648E+05  0.00070  0.01381  0.27084 -0.13845 -0.26305 -0.75111
3   1  28  138414   0.8000 00:19:15 -1.55118447517E+05 -1.55080278648E+05  0.00222  0.01159  0.27075 -0.13900 -0.25776 -0.75111
3   1  28  140000   0.6913 01:19:15 -1.55118447517E+05 -1.55080278648E+05 -0.00107  0.01595  0.27065 -0.13912 -0.26268 -0.75111
3   1 200  143337   0.0000 01:19:15 -1.55080278648E+05 -1.55080278648E+05  0.00222  0.01159  0.27075 -0.13900 -0.25776 -0.75111
