Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3   QPop1   QPop2   QPop3
   1  3.7609E-02    0.168053    0.122265  0.0238  0.1300  0.0244  0.4704  0.1446  0.3850
   2  1.1433E-03    0.148748    0.141444  0.0268  0.1600  0.0287  0.4817  0.1272  0.3911
   3  1.4901E-04    0.139681    0.147359  0.0274  0.1620  0.0305  0.4886  0.1217  0.3898
   4  6.4564E-05    0.130437    0.149128  0.0271  0.1613  0.0312  0.4945  0.1190  0.3865
   5  5.3020E-05    0.120408    0.148847  0.0266  0.1601  0.0316  0.4998  0.1168  0.3834
   6  2.6529E-05    0.113835    0.148054  0.0262  0.1591  0.0318  0.5034  0.1159  0.3806
   7  1.9635E-05    0.108418    0.147426  0.0258  0.1584  0.0319  0.5058  0.1153  0.3789
   8  9.1936E-06    0.105333    0.147260  0.0255  0.1579  0.0320  0.5076  0.1150  0.3774
   9  4.9127E-06    0.103421    0.146960  0.0253  0.1577  0.0321  0.5089  0.1149  0.3762
  10  3.1959E-06    0.102085    0.146750  0.0252  0.1575  0.0321  0.5099  0.1149  0.3752
  11  2.8597E-06    0.100949    0.146811  0.0251  0.1574  0.0322  0.5103  0.1148  0.3749
  12  4.9594E-07    0.100467    0.146711  0.0250  0.1573  0.0322  0.5105  0.1148  0.3747
  13  1.3205E-07    0.100260    0.146622  0.0249  0.1572  0.0322  0.5107  0.1148  0.3745
  14  9.5814E-08    0.100056    0.146602  0.0249  0.1571  0.0322  0.5109  0.1148  0.3743
  15  7.4512E-08    0.099915    0.146564  0.0248  0.1571  0.0323  0.5110  0.1148  0.3742
  16  6.8904E-08    0.099776    0.146546  0.0248  0.1570  0.0323  0.5111  0.1148  0.3741
  17  4.2686E-07    0.099456    0.146618  0.0248  0.1570  0.0323  0.5113  0.1148  0.3739
  18  1.0805E-07    0.099284    0.146630  0.0247  0.1570  0.0323  0.5114  0.1148  0.3738
  19  4.8437E-07    0.098896    0.146748  0.0247  0.1569  0.0323  0.5115  0.1147  0.3738
  20  5.6581E-07    0.098461    0.146838  0.0247  0.1569  0.0323  0.5116  0.1147  0.3737
  21  1.4879E-07    0.098221    0.146872  0.0247  0.1568  0.0323  0.5118  0.1147  0.3736
  22  5.0230E-08    0.098085    0.146877  0.0247  0.1568  0.0323  0.5118  0.1147  0.3735
  23  4.1568E-08    0.097989    0.146866  0.0246  0.1568  0.0323  0.5119  0.1146  0.3734
  24  4.8258E-08    0.097856    0.146882  0.0246  0.1568  0.0323  0.5120  0.1146  0.3734
  25  3.3571E-08    0.097794    0.146857  0.0246  0.1567  0.0323  0.5120  0.1146  0.3733
  26  3.3698E-08    0.097716    0.146847  0.0246  0.1567  0.0323  0.5121  0.1146  0.3733
  27  6.4173E-08    0.097604    0.146769  0.0246  0.1567  0.0323  0.5121  0.1146  0.3733
  28  4.1322E-08    0.097521    0.146774  0.0246  0.1567  0.0323  0.5122  0.1146  0.3732
  29  2.7835E-07    0.097329    0.146775  0.0246  0.1567  0.0323  0.5123  0.1146  0.3731
  30  1.4024E-07    0.097132    0.146815  0.0245  0.1567  0.0323  0.5124  0.1146  0.3730
  31  4.3824E-08    0.097037    0.146819  0.0245  0.1566  0.0323  0.5124  0.1146  0.3730
  32  2.8354E-08    0.097002    0.146794  0.0245  0.1566  0.0323  0.5125  0.1146  0.3730
