K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fis1     Fis2     Fis3     Fis4
4   3   1       0   1.0000 46:25:15 -1.64399549379E+05 -1.64399549379E+05 -0.00995 -0.00031  0.00857 -0.00455 -0.19498 -0.16660 -0.15341 -0.15609
4   3   1     100   1.9802 46:25:15 -1.64165078945E+05 -1.64165078945E+05 -0.00995 -0.00031  0.00857 -0.00455 -0.19498 -0.16660 -0.15341 -0.15609
4   3   1     200  30.3483 46:25:15 -1.60330683027E+05 -1.60210957674E+05 -0.00455 -0.00995  0.00857 -0.00031 -0.15609 -0.19498 -0.15341 -0.16660
4   3   1     400  37.1571 46:25:15 -1.57791286180E+05 -1.57791286180E+05 -0.00031 -0.00995 -0.00455  0.00857 -0.16660 -0.19498 -0.15609 -0.15341
4   3   1     800  38.5768 46:25:15 -1.58802727474E+05 -1.57233651467E+05 -0.00031 -0.00455  0.00857 -0.00995 -0.16660 -0.15609 -0.15341 -0.19498
4   3   1    1600  42.6608 46:25:15 -1.59257968059E+05 -1.57233651467E+05 -0.00031 -0.00995 -0.00455  0.00857 -0.16660 -0.19498 -0.15609 -0.15341
4   3   1    3200  44.1112 46:25:15 -1.58056779698E+05 -1.56919100169E+05 -0.00133 -0.01401  0.26483  0.21300 -0.09649 -0.17859 -0.74499 -0.58388
4   3   2    6400  44.8056 46:25:15 -1.58226736526E+05 -1.56919100169E+05  0.01643  0.00094 -0.01619  0.27853 -0.21890 -0.15487 -0.14118 -0.75111
4   3   3   12800  35.0069 50:25:15 -1.57909471678E+05 -1.55816682608E+05  0.00132  0.01913  0.27629 -0.00817 -0.18233 -0.10005 -0.75111 -0.18506
4   3   4   15000  32.8947 52:25:15 -1.59135181118E+05 -1.55816682608E+05  0.01569 -0.00125 -0.00271  0.27495 -0.08969 -0.20959 -0.14671 -0.75111
4   3   5   25600  28.9855 52:25:15 -1.56733484232E+05 -1.55389594315E+05  0.00224 -0.00308  0.27422  0.18966 -0.20919 -0.13803 -0.75111 -0.56134
4   3   7   50000  11.9237 55:25:15 -1.55615314298E+05 -1.54907790383E+05 -0.00489  0.01192  0.27006  0.32659 -0.14384 -0.23796 -0.75111 -0.89436
4   3   7   51200  11.6402 55:25:15 -1.56919993790E+05 -1.54907790383E+05 -0.00150  0.00820  0.27006  0.32659 -0.13810 -0.23670 -0.75111 -0.89436
4   3   8   55000  11.3786 58:25:15 -1.55798705198E+05 -1.54907790383E+05 -0.00244 -0.00138  0.27085  0.32732 -0.26593 -0.12316 -0.75111 -0.89436
4   3   9   70000   6.0379 01:26:15 -1.55007259376E+05 -1.54907790383E+05 -0.00571  0.02627  0.26972  0.32628 -0.14065 -0.27098 -0.75111 -0.89436
4   3  10   75000   4.6109 04:26:15 -1.55693716753E+05 -1.54907790383E+05 -0.00010 -0.00000  0.27022  0.32674 -0.22916 -0.13427 -0.75111 -0.89436
4   3  12   90000   2.0700 06:26:15 -1.55194433428E+05 -1.54907790383E+05  0.00139  0.01574  0.27014  0.32667 -0.13900 -0.25804 -0.75111 -0.89436
4   3  12   95000   2.6478 09:26:15 -1.55106242422E+05 -1.54907790383E+05 -0.00159  0.01645  0.26997  0.32651 -0.14198 -0.24947 -0.75111 -0.89436
4   3  13  100000   2.0472 11:26:15 -1.54920713919E+05 -1.54907790383E+05 -0.00668  0.02989  0.26958  0.32615 -0.14199 -0.27641 -0.75111 -0.89436
4   3  13  102400   2.2915 11:26:15 -1.54983819992E+05 -1.54907790383E+05  0.00027  0.01834  0.27017  0.32669 -0.14101 -0.26069 -0.75111 -0.89436
4   3  14  107071   2.0000 11:26:15 -1.54907790383E+05 -1.54907790383E+05 -0.00473  0.02807  0.26967  0.32623 -0.14066 -0.27585 -0.75111 -0.89436
4   3  15  115623   2.3000 11:26:15 -1.54920713919E+05 -1.54907790383E+05 -0.00383  0.02431  0.26971  0.32627 -0.13861 -0.27148 -0.75111 -0.89436
4   3  16  124607   2.1000 12:26:15 -1.54920713919E+05 -1.54907790383E+05  0.00027  0.01834  0.27017  0.32669 -0.14101 -0.26069 -0.75111 -0.89436
4   3  17  133358   2.0000 12:26:15 -1.54908096787E+05 -1.54907790383E+05 -0.00213  0.02157  0.26987  0.32642 -0.13912 -0.26471 -0.75111 -0.89436
4   3  18  142555   1.7000 13:26:15 -1.54908096787E+05 -1.54907790383E+05 -0.00213  0.02157  0.26987  0.32642 -0.13912 -0.26471 -0.75111 -0.89436
4   3  18  145000   1.3546 13:26:15 -1.54907790383E+05 -1.54907790383E+05 -0.00310  0.02493  0.26985  0.32640 -0.14118 -0.26836 -0.75111 -0.89436
4   3 200  150551   0.0000 13:26:15 -1.54907790383E+05 -1.54907790383E+05 -0.00213  0.02157  0.26987  0.32642 -0.13912 -0.26471 -0.75111 -0.89436
