Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5   QPop1   QPop2   QPop3   QPop4   QPop5
   1  8.0736E-04    0.792222    0.009878 -0.0005  0.0114  0.0032  0.0016  0.0043  0.1947  0.2051  0.2016  0.2013  0.1973
   2  1.4322E-02    0.675363    0.141019  0.0040  0.0843  0.0407  0.0255  0.0217  0.1728  0.1934  0.2404  0.2147  0.1786
   3  1.1307E-02    0.498805    0.223287  0.0065  0.1540  0.0504  0.0525  0.0382  0.1980  0.1588  0.2504  0.1852  0.2076
   4  5.3177E-03    0.376094    0.234867  0.0282  0.1827  0.0596  0.1110  0.0656  0.2299  0.1384  0.2574  0.1520  0.2223
   5  1.3701E-03    0.309716    0.227039  0.0359  0.1851  0.0636  0.1467  0.0766  0.2391  0.1280  0.2682  0.1277  0.2370
   6  4.5342E-04    0.267982    0.224016  0.0382  0.1839  0.0651  0.1572  0.0785  0.2454  0.1232  0.2760  0.1108  0.2446
   7  1.8515E-04    0.240973    0.222667  0.0384  0.1832  0.0655  0.1548  0.0780  0.2498  0.1202  0.2815  0.0998  0.2486
   8  9.0198E-05    0.221407    0.222341  0.0380  0.1828  0.0654  0.1490  0.0773  0.2533  0.1182  0.2855  0.0923  0.2507
   9  5.0317E-05    0.206974    0.222397  0.0374  0.1824  0.0652  0.1439  0.0768  0.2561  0.1167  0.2879  0.0876  0.2517
  10  2.8333E-05    0.197096    0.221595  0.0369  0.1821  0.0649  0.1402  0.0764  0.2576  0.1157  0.2898  0.0845  0.2523
  11  1.8793E-05    0.189192    0.220995  0.0365  0.1819  0.0647  0.1377  0.0761  0.2587  0.1149  0.2913  0.0824  0.2527
  12  1.4196E-05    0.182662    0.220467  0.0361  0.1817  0.0645  0.1358  0.0759  0.2598  0.1144  0.2925  0.0809  0.2525
  13  8.9785E-06    0.178116    0.219558  0.0358  0.1815  0.0643  0.1346  0.0757  0.2608  0.1139  0.2930  0.0800  0.2523
  14  6.1256E-06    0.174788    0.218339  0.0355  0.1814  0.0642  0.1337  0.0755  0.2615  0.1137  0.2936  0.0794  0.2519
  15  6.9233E-06    0.171596    0.217068  0.0352  0.1813  0.0641  0.1331  0.0753  0.2630  0.1134  0.2939  0.0789  0.2509
  16  4.6067E-06    0.169344    0.215945  0.0350  0.1811  0.0640  0.1326  0.0751  0.2643  0.1132  0.2941  0.0785  0.2498
  17  2.9834E-06    0.167792    0.214847  0.0348  0.1810  0.0639  0.1323  0.0750  0.2654  0.1131  0.2943  0.0783  0.2489
  18  2.3828E-06    0.166696    0.213653  0.0346  0.1810  0.0638  0.1320  0.0749  0.2661  0.1130  0.2944  0.0781  0.2482
  19  2.5225E-06    0.165485    0.212531  0.0344  0.1809  0.0637  0.1317  0.0747  0.2669  0.1130  0.2946  0.0779  0.2475
  20  2.1752E-06    0.164590    0.211389  0.0342  0.1808  0.0637  0.1315  0.0746  0.2676  0.1129  0.2947  0.0778  0.2469
  21  2.4576E-06    0.163415    0.210413  0.0340  0.1807  0.0636  0.1313  0.0745  0.2684  0.1129  0.2949  0.0777  0.2462
  22  2.1402E-06    0.162212    0.209687  0.0339  0.1807  0.0636  0.1311  0.0744  0.2689  0.1128  0.2952  0.0775  0.2455
  23  1.6484E-06    0.161439    0.208816  0.0338  0.1806  0.0635  0.1310  0.0743  0.2695  0.1128  0.2953  0.0775  0.2450
  24  1.4793E-06    0.160577    0.208101  0.0336  0.1806  0.0635  0.1308  0.0742  0.2700  0.1128  0.2954  0.0774  0.2444
  25  9.4679E-07    0.159962    0.207475  0.0335  0.1806  0.0634  0.1307  0.0741  0.2704  0.1128  0.2955  0.0773  0.2440
  26  1.0505E-06    0.158967    0.207286  0.0335  0.1805  0.0634  0.1306  0.0740  0.2706  0.1127  0.2956  0.0773  0.2438
  27  4.4241E-07    0.158439    0.207069  0.0334  0.1805  0.0633  0.1305  0.0740  0.2707  0.1127  0.2957  0.0772  0.2437
  28  6.0813E-07    0.157848    0.206816  0.0333  0.1805  0.0633  0.1304  0.0740  0.2709  0.1127  0.2959  0.0771  0.2434
  29  2.7971E-07    0.157458    0.206631  0.0333  0.1804  0.0633  0.1304  0.0739  0.2710  0.1127  0.2959  0.0771  0.2433
  30  1.9771E-07    0.157221    0.206386  0.0332  0.1804  0.0632  0.1303  0.0739  0.2711  0.1127  0.2960  0.0771  0.2431
  31  5.4519E-07    0.156570    0.206191  0.0332  0.1804  0.0632  0.1302  0.0739  0.2713  0.1126  0.2960  0.0770  0.2430
  32  4.8899E-07    0.156170    0.206026  0.0331  0.1804  0.0632  0.1302  0.0738  0.2715  0.1126  0.2960  0.0770  0.2429
  33  4.6520E-07    0.155940    0.205817  0.0331  0.1804  0.0632  0.1301  0.0738  0.2716  0.1126  0.2962  0.0769  0.2427
  34  1.9101E-07    0.155979    0.205627  0.0331  0.1804  0.0631  0.1301  0.0738  0.2715  0.1127  0.2963  0.0769  0.2426
  35  1.8639E-07    0.155781    0.205578  0.0331  0.1804  0.0631  0.1300  0.0738  0.2715  0.1127  0.2964  0.0769  0.2425
  36  3.2295E-07    0.155311    0.205534  0.0330  0.1803  0.0631  0.1300  0.0738  0.2716  0.1126  0.2964  0.0769  0.2424
  37  2.6520E-07    0.154950    0.205356  0.0330  0.1803  0.0631  0.1299  0.0738  0.2718  0.1126  0.2964  0.0769  0.2423
  38  4.5341E-07    0.154492    0.205247  0.0330  0.1803  0.0630  0.1299  0.0737  0.2719  0.1126  0.2964  0.0768  0.2423
  39  2.6604E-07    0.154549    0.205057  0.0329  0.1803  0.0630  0.1298  0.0737  0.2719  0.1126  0.2965  0.0768  0.2422
  40  1.4101E-07    0.154508    0.204978  0.0329  0.1803  0.0630  0.1298  0.0737  0.2718  0.1126  0.2966  0.0768  0.2421
  41  3.1442E-07    0.154103    0.204925  0.0329  0.1803  0.0630  0.1298  0.0737  0.2719  0.1126  0.2966  0.0768  0.2421
  42  1.2299E-07    0.154187    0.204796  0.0329  0.1803  0.0630  0.1298  0.0737  0.2718  0.1126  0.2967  0.0768  0.2421
  43  1.2382E-07    0.154249    0.204677  0.0329  0.1803  0.0630  0.1297  0.0737  0.2717  0.1127  0.2967  0.0768  0.2420
  44  2.0736E-07    0.153944    0.204452  0.0328  0.1803  0.0629  0.1297  0.0737  0.2719  0.1126  0.2968  0.0768  0.2419
  45  1.7008E-07    0.153735    0.204281  0.0328  0.1803  0.0629  0.1296  0.0736  0.2720  0.1126  0.2968  0.0768  0.2418
  46  1.4497E-07    0.153585    0.204133  0.0328  0.1803  0.0629  0.1296  0.0736  0.2721  0.1126  0.2968  0.0767  0.2418
