K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fis1     Fis2     Fis3     Fis4     Fis5
5   2   1       0   1.0000 19:29:15 -1.65673758491E+05 -1.65673758491E+05 -0.00682  0.00230 -0.00305 -0.01370  0.02266 -0.17133 -0.16754 -0.14550 -0.17674 -0.18820
5   2   1     100   3.8835 19:29:15 -1.65394326626E+05 -1.65394326626E+05 -0.00682  0.02266 -0.00305 -0.01370  0.00230 -0.17133 -0.18820 -0.14550 -0.17674 -0.16754
5   2   1     200  30.8824 19:29:15 -1.63086197525E+05 -1.62619647161E+05 -0.01370 -0.00305 -0.00682  0.00230  0.02266 -0.17674 -0.14550 -0.17133 -0.16754 -0.18820
5   2   1     400  37.1287 19:29:15 -1.59735479771E+05 -1.59667811316E+05 -0.00305 -0.01370  0.00230 -0.00682  0.02266 -0.14550 -0.17674 -0.16754 -0.17133 -0.18820
5   2   1     800  39.5522 19:29:15 -1.60066898979E+05 -1.59002851613E+05  0.00230 -0.01370 -0.00305 -0.00682  0.02266 -0.16754 -0.17674 -0.14550 -0.17133 -0.18820
5   2   1    1600  44.0773 19:29:15 -1.59236563691E+05 -1.58373731068E+05 -0.01370  0.00230 -0.00305  0.02266 -0.00682 -0.17674 -0.16754 -0.14550 -0.18820 -0.17133
5   2   1    3200  45.2559 19:29:15 -1.59540988054E+05 -1.57205233409E+05 -0.01370 -0.00305  0.00230  0.02266 -0.00682 -0.17674 -0.14550 -0.16754 -0.18820 -0.17133
5   2   2    6400  44.2981 21:29:15 -1.59464766710E+05 -1.57116718754E+05 -0.00751  0.00736  0.00332  0.33285  0.27684 -0.16604 -0.10301 -0.20961 -0.89436 -0.75111
5   2   3   10000  43.5985 23:29:15 -1.59418179036E+05 -1.56688046893E+05  0.00644 -0.00319  0.27876  0.05856  0.05595 -0.19617 -0.15897 -0.75111 -0.28230 -0.14730
5   2   3   12800  42.9840 25:29:15 -1.58885984440E+05 -1.56611204705E+05  0.32753 -0.01958  1.00000 -0.00359  0.27108 -0.89436 -0.23264  0.00000 -0.12150 -0.75111
5   2   4   15000  38.9712 25:29:15 -1.58671175921E+05 -1.56611204705E+05  1.00000 -0.01958 -0.00359  0.27108  0.32753  0.00000 -0.23264 -0.12150 -0.75111 -0.89436
5   2   5   25600  33.2001 26:29:15 -1.58770480670E+05 -1.56375318515E+05 -0.00294  1.00000 -0.01506  0.20088  0.32838 -0.18327  0.00000 -0.15099 -0.55843 -0.89436
5   2   5   30000  32.0521 30:29:15 -1.57946371875E+05 -1.56370836981E+05  0.00129 -0.01931  1.00000  0.26910  0.32571 -0.17295 -0.15875  0.00000 -0.75111 -0.89436
5   2   6   45000  29.9487 32:29:15 -1.58133451861E+05 -1.55940064685E+05  0.01275  0.01006  0.01186  0.27632  0.33237 -0.10070 -0.23883 -0.14278 -0.75111 -0.89436
5   2   7   50000  21.7760 34:29:15 -1.57200582455E+05 -1.55645393256E+05 -0.00307 -0.00191  0.02545  0.27779  0.33372 -0.18324 -0.19622 -0.14639 -0.75111 -0.89436
5   2   7   51200  20.9874 35:29:15 -1.56725171899E+05 -1.55645393256E+05  0.05426  0.00423  0.01363  0.27577  0.33186 -0.08143 -0.15969 -0.24583 -0.75111 -0.89436
5   2   7   55000  21.4691 37:29:15 -1.56811251059E+05 -1.55645393256E+05  0.01861  0.00984  0.01564  0.27732  0.33329 -0.15022 -0.12032 -0.24096 -0.75111 -0.89436
5   2   8   70000  21.4445 41:29:15 -1.56962075155E+05 -1.55645393256E+05  0.02930  0.00781  0.01150  0.27710  0.33309 -0.26183 -0.12260 -0.16697 -0.75111 -0.89436
5   2   9   75000  19.4907 43:29:15 -1.56866391333E+05 -1.55645393256E+05 -0.00334  0.02066  0.03520  0.27755  0.33350 -0.18088 -0.12506 -0.26836 -0.75111 -0.89436
5   2  11  102400  11.8126 44:29:15 -1.56189772014E+05 -1.55621927351E+05  0.00162  0.08465  0.02923  0.27340  0.32967 -0.14932 -0.05767 -0.27148 -0.75111 -0.89436
5   2  12  110000   2.3569 45:29:15 -1.55645393256E+05 -1.55621927351E+05  0.09725  0.03981  0.00889  0.27776  0.21734 -0.32081 -0.27739 -0.14034 -0.75111 -0.58388
5   2  12  110592   3.7000 45:29:15 -1.55635621105E+05 -1.55621927351E+05  0.09725  0.03981  0.00889  0.27776  0.21734 -0.32081 -0.27739 -0.14034 -0.75111 -0.58388
5   2  13  124734   3.4000 45:29:15 -1.55663034287E+05 -1.55589047389E+05  0.34981  0.02619 -0.00061  0.27153  0.32795 -0.81056 -0.26661 -0.13952 -0.75111 -0.89436
5   2  14  135783   3.7000 46:29:15 -1.55673659478E+05 -1.55589047389E+05  0.03347  0.03430  0.01060  0.27687  0.33287 -0.08541 -0.26836 -0.16725 -0.75111 -0.89436
5   2  15  149906   4.6000 47:29:15 -1.55941819288E+05 -1.55589047389E+05  0.04025  0.03641  0.00859  0.27639  0.33243 -0.09904 -0.27313 -0.16982 -0.75111 -0.89436
