Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6
   1  7.3974E-04    0.825302    0.010378 -0.0005  0.0157  0.0053  0.0019  0.0049  0.0001  0.1637  0.1720  0.1691  0.1674  0.1642  0.1636
   2  1.1102E-02    0.714754    0.145407  0.0001  0.1052  0.0509  0.0326  0.0224  0.0002  0.1469  0.1676  0.2096  0.1799  0.1468  0.1492
   3  6.7895E-03    0.568341    0.247738  0.0032  0.1834  0.0711  0.0880  0.0503  0.0003  0.1445  0.1544  0.2271  0.1607  0.1691  0.1442
   4  3.6296E-03    0.464979    0.268570  0.0092  0.1946  0.0705  0.1310  0.0698  0.0110  0.1451  0.1409  0.2407  0.1385  0.1875  0.1473
   5  2.1948E-03    0.387019    0.257319  0.0322  0.1979  0.0749  0.1633  0.0863  0.0425  0.1445  0.1303  0.2539  0.1200  0.2011  0.1501
   6  9.5564E-04    0.327721    0.248058  0.0412  0.1961  0.0763  0.1698  0.0897  0.0541  0.1446  0.1242  0.2648  0.1059  0.2119  0.1487
   7  2.9501E-04    0.291920    0.242810  0.0414  0.1951  0.0765  0.1674  0.0889  0.0548  0.1439  0.1215  0.2721  0.0978  0.2195  0.1453
   8  1.3223E-04    0.266780    0.239446  0.0395  0.1942  0.0759  0.1629  0.0874  0.0525  0.1438  0.1199  0.2776  0.0925  0.2240  0.1422
   9  7.9062E-05    0.247078    0.236653  0.0372  0.1934  0.0753  0.1586  0.0860  0.0500  0.1444  0.1187  0.2818  0.0888  0.2270  0.1394
  10  5.4219E-05    0.231211    0.234109  0.0354  0.1928  0.0746  0.1555  0.0849  0.0479  0.1453  0.1179  0.2845  0.0862  0.2293  0.1368
  11  4.6515E-05    0.216098    0.232142  0.0339  0.1922  0.0740  0.1530  0.0840  0.0462  0.1463  0.1169  0.2868  0.0840  0.2309  0.1351
