K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6
6   7   1       0   1.0000 49:38:15 -1.67301213295E+05 -1.67301213295E+05 -0.00607  0.00706  0.01116 -0.00604 -0.00891  0.00013 -0.14072 -0.15661 -0.13573 -0.10686 -0.22614 -0.24184
6   7   1     100   1.9802 49:38:15 -1.67087426103E+05 -1.67087426103E+05 -0.00607  0.00706  0.01116 -0.00604 -0.00891  0.00013 -0.14072 -0.15661 -0.13573 -0.10686 -0.22614 -0.24184
6   7   1     200  29.0640 49:38:15 -1.63147296843E+05 -1.63085555154E+05 -0.00604  0.00706 -0.00607  0.01116 -0.00891  0.00013 -0.10686 -0.15661 -0.14072 -0.13573 -0.22614 -0.24184
6   7   1     400  29.7767 49:38:15 -1.59435527703E+05 -1.59435527703E+05  0.00706  0.01116 -0.00891 -0.00607 -0.00604  0.00013 -0.15661 -0.13573 -0.22614 -0.14072 -0.10686 -0.24184
6   7   1     800  35.4919 49:38:15 -1.59400003531E+05 -1.58554965220E+05  0.00706  0.01116 -0.00891 -0.00604  0.00013 -0.00607 -0.15661 -0.13573 -0.22614 -0.10686 -0.24184 -0.14072
6   7   1    1600  38.3656 49:38:15 -1.60195142396E+05 -1.58343517348E+05 -0.00891  0.00706 -0.00607 -0.00604  0.00013  0.01116 -0.22614 -0.15661 -0.14072 -0.10686 -0.24184 -0.13573
6   7   2    3200  46.6667 49:38:15 -1.60608181344E+05 -1.58343517348E+05  0.01116 -0.00607  0.00706 -0.00604 -0.00891  0.00013 -0.13573 -0.14072 -0.15661 -0.10686 -0.22614 -0.24184
6   7   3    6400  44.0000 49:38:15 -1.60783187572E+05 -1.58343517348E+05  0.00802 -0.01109  1.00000  0.27476  0.33093  0.09877 -0.13557 -0.17243  0.00000 -0.75111 -0.89436 -0.32664
6   7   5   12800  35.9617 50:38:15 -1.61882459399E+05 -1.58343517348E+05  1.00000 -0.01180 -0.02153  0.32380  1.00000  1.00000  0.00000 -0.19825 -0.16656 -0.89436  0.00000  0.00000
6   7   5   15000  34.5058 51:38:15 -1.62788999697E+05 -1.58343517348E+05 -0.01180 -0.02153  1.00000  0.32380  1.00000  1.00000 -0.19825 -0.16656  0.00000 -0.89436  0.00000  0.00000
6   7   5   25000  33.5303 56:38:15 -1.62489508854E+05 -1.58343517348E+05  0.18331 -0.02888  0.31811  1.00000  1.00000  0.34030 -0.56056 -0.15553 -0.89436  0.00000  0.00000 -0.81056
6   7   7   50000  13.1007 01:39:15 -1.57554517504E+05 -1.57467887763E+05 -0.00466 -0.00232  0.02654  0.27355  0.32981  0.35162 -0.14738 -0.05760 -0.25284 -0.75111 -0.89436 -0.81056
6   7   7   65000  15.9181 03:39:15 -1.58555871305E+05 -1.56977125375E+05 -0.01357  0.04326  0.27870  0.33456  0.01949  0.35621 -0.15357 -0.28150 -0.75111 -0.89436 -0.14131 -0.81056
6   7   8   70000  20.0000 07:39:15 -1.58507777741E+05 -1.56977125375E+05  0.00240  1.00000  0.00288  0.27187  0.32826  0.35011 -0.13409  0.00000 -0.24530 -0.75111 -0.89436 -0.81056
6   7   8   80000  13.9151 09:39:15 -1.57903426858E+05 -1.56680663238E+05 -0.00227  1.00000  0.00128  0.27170  0.32811  0.34997 -0.22521  0.00000 -0.13590 -0.75111 -0.89436 -0.81056
6   7   8   90000  13.4722 13:39:15 -1.57835566989E+05 -1.56680663238E+05  0.00635  0.04221  0.27615  0.33221  0.35394 -0.00221 -0.09289 -0.28490 -0.75111 -0.89436 -0.81056 -0.14905
