K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7
7   1   1       0   1.0000 35:41:15 -1.68570345248E+05 -1.68570345248E+05  0.00952 -0.02340  0.01548  0.00451 -0.01180  0.01315  0.00338 -0.10915 -0.20012 -0.13787 -0.12221 -0.21628 -0.18785 -0.22984
7   1   1     100   0.0000 35:41:15 -1.68570345248E+05 -1.68570345248E+05  0.00952 -0.02340  0.01548  0.00451 -0.01180  0.01315  0.00338 -0.10915 -0.20012 -0.13787 -0.12221 -0.21628 -0.18785 -0.22984
7   1   1     200  28.3582 35:41:15 -1.63330549277E+05 -1.63321060667E+05 -0.01180 -0.02340  0.00451  0.01548  0.00338  0.01315  0.00952 -0.21628 -0.20012 -0.12221 -0.13787 -0.22984 -0.18785 -0.10915
7   1   1     400  33.4165 35:41:15 -1.61052549759E+05 -1.60469277958E+05  0.01548  0.00451 -0.01180 -0.02340  0.00338  0.01315  0.00952 -0.13787 -0.12221 -0.21628 -0.20012 -0.22984 -0.18785 -0.10915
7   1   1     800  40.1998 35:41:15 -1.61461012110E+05 -1.60174914723E+05  0.00451  0.01548  0.00952 -0.01180  0.00338  0.01315 -0.02340 -0.12221 -0.13787 -0.10915 -0.21628 -0.22984 -0.18785 -0.20012
7   1   1    1600  46.4085 36:41:15 -1.62236088356E+05 -1.60174914723E+05  0.01315  0.01548 -0.01180  0.00952  0.00338  0.00451 -0.02340 -0.18785 -0.13787 -0.21628 -0.10915 -0.22984 -0.12221 -0.20012
7   1   2    3200  35.2818 37:41:15 -1.61182503983E+05 -1.59743425885E+05 -0.01180  0.01548 -0.02340  0.00338  0.01315  0.00451  0.00952 -0.21628 -0.13787 -0.20012 -0.22984 -0.18785 -0.12221 -0.10915
7   1   2    5000  42.2993 39:41:15 -1.61015614928E+05 -1.59743425885E+05  0.00952  0.01548 -0.02340  0.00338  0.01315 -0.01180  0.00451 -0.10915 -0.13787 -0.20012 -0.22984 -0.18785 -0.21628 -0.12221
7   1   3    6400  39.7590 40:41:15 -1.65320806896E+05 -1.59743425885E+05  0.00451 -0.01180  0.01315  0.00952  0.00338 -0.02340  0.01548 -0.12221 -0.21628 -0.18785 -0.10915 -0.22984 -0.20012 -0.13787
7   1   5   12800  31.8873 41:41:15 -1.61998087560E+05 -1.59743425885E+05  1.00000 -0.01884  1.00000 -0.01262  0.32570  1.00000  1.00000  0.00000 -0.19636  0.00000 -0.14279 -0.89436  0.00000  0.00000
