Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7
   1  3.2150E-04    0.853710    0.005890  0.0004  0.0131  0.0012  0.0015 -0.0004  0.0003  0.0017  0.1427  0.1482  0.1419  0.1446  0.1362  0.1416  0.1448
   2  3.9569E-03    0.807263    0.081486  0.0005  0.0949  0.0327  0.0161  0.0025  0.0002  0.0050  0.1334  0.1559  0.1633  0.1499  0.1212  0.1333  0.1430
   3  6.1249E-03    0.686143    0.219437  0.0048  0.1863  0.0755  0.0713  0.0332  0.0034  0.0033  0.1193  0.1604  0.2011  0.1487  0.1252  0.1201  0.1251
   4  2.8338E-03    0.586928    0.294470  0.0129  0.2265  0.0933  0.1467  0.0652  0.0163  0.0005  0.1151  0.1521  0.2244  0.1391  0.1403  0.1181  0.1110
   5  1.9302E-03    0.517761    0.303912  0.0167  0.2350  0.0990  0.1986  0.0958  0.0404  0.0065  0.1134  0.1383  0.2411  0.1211  0.1546  0.1222  0.1092
   6  2.0109E-03    0.446296    0.289511  0.0091  0.2337  0.1008  0.2167  0.1129  0.0732  0.0139  0.1023  0.1315  0.2549  0.1084  0.1748  0.1261  0.1020
   7  1.6049E-03    0.372570    0.277730  0.0037  0.2250  0.0990  0.2105  0.1133  0.0848  0.0350  0.0918  0.1265  0.2645  0.0999  0.1903  0.1321  0.0948
   8  1.0420E-03    0.310367    0.275522  0.0312  0.2246  0.1000  0.2107  0.1139  0.0904  0.0746  0.0876  0.1224  0.2725  0.0946  0.2009  0.1358  0.0861
   9  2.8689E-04    0.270371    0.279336  0.0183  0.2055  0.0915  0.1809  0.1021  0.0721  0.0664  0.0856  0.1198  0.2793  0.0911  0.2088  0.1377  0.0778
  10  1.0716E-04    0.245045    0.279581  0.0292  0.2052  0.0909  0.1783  0.1010  0.0713  0.0832  0.0837  0.1181  0.2840  0.0886  0.2152  0.1386  0.0719
  11  5.5447E-05    0.227745    0.278946  0.0340  0.2048  0.0900  0.1761  0.0999  0.0704  0.0930  0.0820  0.1170  0.2875  0.0867  0.2200  0.1390  0.0678
  12  4.0992E-05    0.213332    0.278808  0.0361  0.2044  0.0891  0.1742  0.0991  0.0697  0.0984  0.0804  0.1161  0.2901  0.0853  0.2237  0.1398  0.0646
  13  2.0708E-05    0.205153    0.278066  0.0379  0.2041  0.0883  0.1727  0.0985  0.0690  0.1019  0.0793  0.1154  0.2918  0.0844  0.2262  0.1403  0.0626
  14  1.6064E-05    0.198955    0.277314  0.0394  0.2037  0.0877  0.1714  0.0979  0.0685  0.1040  0.0785  0.1150  0.2926  0.0838  0.2286  0.1401  0.0614
  15  1.0714E-05    0.194671    0.276475  0.0409  0.2035  0.0872  0.1704  0.0975  0.0681  0.1053  0.0784  0.1145  0.2934  0.0833  0.2299  0.1399  0.0605
  16  5.4804E-06    0.192487    0.275636  0.0423  0.2033  0.0868  0.1695  0.0973  0.0678  0.1061  0.0784  0.1143  0.2939  0.0830  0.2307  0.1398  0.0599
  17  1.9873E-06    0.191528    0.275268  0.0435  0.2031  0.0865  0.1688  0.0971  0.0676  0.1066  0.0783  0.1143  0.2941  0.0827  0.2314  0.1396  0.0597
  18  8.2308E-07    0.191009    0.274780  0.0447  0.2029  0.0863  0.1681  0.0970  0.0674  0.1069  0.0782  0.1142  0.2943  0.0825  0.2319  0.1394  0.0596
