Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8
   1  2.7984E-04    0.871679    0.005864  0.0016  0.0162  0.0015  0.0013 -0.0011 -0.0002  0.0015  0.0003  0.1265  0.1304  0.1237  0.1261  0.1183  0.1233  0.1262  0.1255
   2  3.2521E-03    0.827831    0.076769  0.0037  0.1115  0.0399  0.0190  0.0042  0.0001  0.0045  0.0016  0.1223  0.1377  0.1445  0.1312  0.1048  0.1157  0.1235  0.1203
   3  5.2100E-03    0.710157    0.224339  0.0012  0.2041  0.0865  0.0873  0.0420  0.0067  0.0022  0.0028  0.1054  0.1515  0.1790  0.1303  0.1133  0.1058  0.1072  0.1075
   4  2.6954E-03    0.607534    0.299810  0.0001  0.2395  0.1054  0.1729  0.0812  0.0241  0.0051  0.0059  0.0942  0.1457  0.2059  0.1220  0.1306  0.1049  0.0978  0.0989
   5  1.6664E-03    0.534270    0.310458 -0.0018  0.2508  0.1139  0.2231  0.1177  0.0624  0.0148  0.0032  0.0859  0.1388  0.2283  0.1100  0.1504  0.1068  0.0906  0.0892
   6  2.2169E-03    0.448725    0.293252  0.0177  0.2558  0.1196  0.2410  0.1357  0.1050  0.0562 -0.0118  0.0790  0.1329  0.2432  0.0997  0.1713  0.1131  0.0852  0.0757
   7  1.9535E-03    0.357170    0.277882  0.0662  0.2544  0.1203  0.2404  0.1367  0.1161  0.1100 -0.0000  0.0797  0.1263  0.2520  0.0904  0.1854  0.1175  0.0807  0.0681
   8  8.4179E-04    0.293024    0.269178  0.0542  0.2353  0.1106  0.2092  0.1228  0.0954  0.1074  0.0037  0.0760  0.1219  0.2592  0.0850  0.1947  0.1202  0.0706  0.0724
   9  4.3897E-04    0.249295    0.254901  0.0576  0.2345  0.1098  0.2069  0.1207  0.0933  0.1166  0.0317  0.0710  0.1192  0.2647  0.0818  0.2007  0.1215  0.0609  0.0803
  10  1.9647E-04    0.216815    0.241615  0.0057  0.2156  0.1005  0.1747  0.1081  0.0709  0.0531  0.0122  0.0669  0.1173  0.2689  0.0797  0.2050  0.1220  0.0539  0.0863
  11  1.0291E-04    0.191429    0.234179  0.0458  0.2342  0.1086  0.2052  0.1186  0.0911  0.1046  0.0444  0.0638  0.1161  0.2716  0.0784  0.2091  0.1220  0.0492  0.0898
  12  5.7598E-05    0.172026    0.231318  0.0425  0.2341  0.1080  0.2048  0.1180  0.0907  0.0998  0.0448  0.0616  0.1151  0.2734  0.0774  0.2115  0.1230  0.0462  0.0918
  13  2.4059E-05    0.161068    0.229591  0.0408  0.2339  0.1076  0.2044  0.1177  0.0905  0.0971  0.0451  0.0604  0.1146  0.2749  0.0769  0.2133  0.1227  0.0443  0.0930
  14  1.9677E-05    0.152788    0.228381  0.0396  0.2337  0.1073  0.2042  0.1175  0.0904  0.0952  0.0454  0.0593  0.1143  0.2757  0.0766  0.2146  0.1225  0.0430  0.0941
  15  2.0496E-05    0.146594    0.228132  0.0389  0.2337  0.1071  0.2040  0.1174  0.0904  0.0940  0.0456  0.0590  0.1139  0.2761  0.0764  0.2148  0.1223  0.0420  0.0955
  16  3.9611E-06    0.143680    0.227592  0.0385  0.2336  0.1069  0.2038  0.1173  0.0903  0.0933  0.0455  0.0586  0.1137  0.2766  0.0763  0.2152  0.1223  0.0415  0.0958
  17  1.5358E-06    0.142702    0.226583  0.0381  0.2336  0.1067  0.2036  0.1173  0.0903  0.0930  0.0455  0.0581  0.1137  0.2772  0.0762  0.2155  0.1222  0.0412  0.0958
  18  7.7841E-07    0.142078    0.226486  0.0378  0.2335  0.1066  0.2035  0.1172  0.0903  0.0928  0.0455  0.0578  0.1137  0.2774  0.0761  0.2158  0.1222  0.0411  0.0960
  19  4.8951E-07    0.141964    0.226357  0.0377  0.2335  0.1066  0.2034  0.1172  0.0903  0.0927  0.0454  0.0577  0.1137  0.2774  0.0760  0.2160  0.1221  0.0411  0.0961
  20  1.3313E-06    0.141248    0.226182  0.0375  0.2333  0.1066  0.2033  0.1172  0.0903  0.0925  0.0453  0.0574  0.1137  0.2774  0.0760  0.2162  0.1222  0.0409  0.0962
  21  8.3716E-07    0.140868    0.225926  0.0374  0.2333  0.1065  0.2032  0.1172  0.0903  0.0924  0.0451  0.0573  0.1136  0.2775  0.0759  0.2164  0.1220  0.0409  0.0963
  22  6.1969E-07    0.140058    0.225827  0.0373  0.2333  0.1065  0.2032  0.1171  0.0903  0.0923  0.0450  0.0572  0.1135  0.2775  0.0759  0.2168  0.1219  0.0408  0.0964
  23  1.1221E-06    0.139541    0.225273  0.0372  0.2332  0.1064  0.2031  0.1171  0.0902  0.0923  0.0448  0.0571  0.1134  0.2777  0.0758  0.2169  0.1218  0.0408  0.0964
  24  6.6094E-07    0.138608    0.225074  0.0371  0.2332  0.1064  0.2030  0.1171  0.0902  0.0922  0.0446  0.0570  0.1134  0.2776  0.0757  0.2170  0.1218  0.0407  0.0967
  25  1.3449E-06    0.137637    0.224463  0.0369  0.2331  0.1064  0.2029  0.1171  0.0902  0.0921  0.0444  0.0569  0.1133  0.2779  0.0756  0.2171  0.1217  0.0407  0.0969
  26  1.4634E-06    0.137226    0.223743  0.0369  0.2331  0.1063  0.2028  0.1170  0.0902  0.0920  0.0442  0.0568  0.1133  0.2779  0.0756  0.2173  0.1216  0.0407  0.0969
  27  1.0771E-06    0.136740    0.223433  0.0368  0.2330  0.1063  0.2027  0.1170  0.0902  0.0920  0.0440  0.0567  0.1133  0.2781  0.0755  0.2173  0.1215  0.0407  0.0971
  28  9.2741E-07    0.136559    0.223148  0.0368  0.2330  0.1063  0.2026  0.1170  0.0901  0.0920  0.0438  0.0568  0.1132  0.2780  0.0755  0.2174  0.1214  0.0407  0.0972
  29  1.0568E-06    0.136167    0.222772  0.0368  0.2329  0.1063  0.2026  0.1170  0.0901  0.0920  0.0436  0.0567  0.1131  0.2782  0.0754  0.2173  0.1213  0.0407  0.0973
  30  1.7074E-06    0.135965    0.222285  0.0367  0.2329  0.1062  0.2025  0.1170  0.0901  0.0919  0.0434  0.0567  0.1131  0.2780  0.0754  0.2175  0.1212  0.0406  0.0975
  31  1.5358E-06    0.135676    0.221901  0.0367  0.2328  0.1062  0.2025  0.1170  0.0901  0.0919  0.0431  0.0567  0.1131  0.2781  0.0753  0.2174  0.1212  0.0406  0.0976
  32  1.1943E-06    0.135362    0.221211  0.0367  0.2328  0.1062  0.2024  0.1170  0.0901  0.0918  0.0429  0.0567  0.1130  0.2781  0.0753  0.2175  0.1211  0.0406  0.0977
  33  8.9398E-07    0.135089    0.220923  0.0367  0.2327  0.1062  0.2024  0.1170  0.0901  0.0918  0.0427  0.0566  0.1129  0.2781  0.0753  0.2176  0.1210  0.0406  0.0979
  34  8.9647E-07    0.135228    0.220612  0.0367  0.2327  0.1062  0.2024  0.1170  0.0901  0.0918  0.0425  0.0567  0.1129  0.2780  0.0753  0.2175  0.1210  0.0406  0.0981
  35  7.7579E-07    0.134776    0.220377  0.0367  0.2326  0.1062  0.2023  0.1170  0.0901  0.0917  0.0422  0.0567  0.1129  0.2780  0.0752  0.2176  0.1209  0.0406  0.0981
  36  1.3747E-06    0.134429    0.219727  0.0367  0.2326  0.1062  0.2022  0.1170  0.0901  0.0917  0.0420  0.0567  0.1129  0.2781  0.0751  0.2176  0.1209  0.0406  0.0982
  37  1.7239E-06    0.134164    0.219300  0.0366  0.2325  0.1062  0.2022  0.1170  0.0901  0.0917  0.0417  0.0566  0.1128  0.2780  0.0751  0.2176  0.1208  0.0406  0.0984
  38  7.1545E-07    0.133928    0.219057  0.0366  0.2324  0.1062  0.2022  0.1170  0.0901  0.0916  0.0414  0.0566  0.1128  0.2779  0.0751  0.2176  0.1208  0.0406  0.0985
  39  1.0318E-06    0.133515    0.218602  0.0366  0.2324  0.1062  0.2022  0.1170  0.0901  0.0916  0.0411  0.0566  0.1128  0.2780  0.0751  0.2176  0.1208  0.0406  0.0987
  40  8.1849E-07    0.133444    0.218272  0.0366  0.2323  0.1063  0.2022  0.1170  0.0901  0.0916  0.0408  0.0566  0.1127  0.2779  0.0750  0.2175  0.1208  0.0406  0.0988
  41  1.2020E-06    0.133276    0.217891  0.0365  0.2323  0.1063  0.2021  0.1170  0.0901  0.0915  0.0405  0.0565  0.1127  0.2780  0.0750  0.2175  0.1208  0.0406  0.0989
  42  1.3076E-06    0.132965    0.217347  0.0365  0.2322  0.1063  0.2021  0.1170  0.0901  0.0915  0.0402  0.0565  0.1127  0.2779  0.0750  0.2175  0.1208  0.0406  0.0991
  43  9.1304E-07    0.132684    0.217039  0.0365  0.2322  0.1063  0.2021  0.1170  0.0901  0.0914  0.0400  0.0565  0.1126  0.2780  0.0749  0.2174  0.1207  0.0406  0.0992
  44  8.9403E-07    0.132563    0.216857  0.0365  0.2321  0.1063  0.2021  0.1170  0.0901  0.0914  0.0398  0.0565  0.1126  0.2779  0.0749  0.2173  0.1208  0.0406  0.0994
  45  1.3563E-06    0.132287    0.216667  0.0364  0.2321  0.1063  0.2021  0.1170  0.0901  0.0913  0.0397  0.0564  0.1126  0.2779  0.0750  0.2174  0.1207  0.0406  0.0994
  46  8.5491E-07    0.132040    0.216218  0.0364  0.2320  0.1063  0.2021  0.1170  0.0901  0.0913  0.0396  0.0564  0.1125  0.2780  0.0749  0.2174  0.1207  0.0406  0.0995
  47  6.7042E-07    0.131876    0.216002  0.0364  0.2320  0.1063  0.2021  0.1170  0.0901  0.0912  0.0395  0.0565  0.1124  0.2779  0.0749  0.2175  0.1206  0.0406  0.0995
  48  4.3377E-07    0.131999    0.215710  0.0364  0.2319  0.1063  0.2021  0.1170  0.0901  0.0911  0.0394  0.0565  0.1124  0.2780  0.0749  0.2175  0.1206  0.0406  0.0996
  49  1.8107E-07    0.131940    0.215597  0.0364  0.2319  0.1063  0.2021  0.1170  0.0901  0.0911  0.0393  0.0565  0.1123  0.2779  0.0749  0.2175  0.1205  0.0406  0.0997
