K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fst8     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7     Fis8
8   2   1       0   1.0000 40:49:15 -1.70759811139E+05 -1.70759811139E+05  0.00670 -0.02311  0.00746 -0.00507 -0.00394 -0.02028  0.02454 -0.01283 -0.13698 -0.14832 -0.16018 -0.16599 -0.18849 -0.17380 -0.12711 -0.21900
8   2   1     100   2.9412 40:49:15 -1.70488959965E+05 -1.70488959965E+05  0.00670 -0.02311  0.00746 -0.00507 -0.00394 -0.02028  0.02454 -0.01283 -0.13698 -0.14832 -0.16018 -0.16599 -0.18849 -0.17380 -0.12711 -0.21900
8   2   1     200  29.5567 40:49:15 -1.65711425416E+05 -1.65711425416E+05 -0.02311 -0.00394 -0.00507  0.00746 -0.02028  0.02454  0.00670 -0.01283 -0.14832 -0.18849 -0.16599 -0.16018 -0.17380 -0.12711 -0.13698 -0.21900
8   2   1     400  36.7246 40:49:15 -1.63318083912E+05 -1.62803998026E+05 -0.02311  0.02454 -0.00507 -0.02028 -0.01283 -0.00394  0.00746  0.00670 -0.14832 -0.12711 -0.16599 -0.17380 -0.21900 -0.18849 -0.16018 -0.13698
8   2   1     800  42.7148 40:49:15 -1.63557699092E+05 -1.62164393142E+05 -0.00507  0.02454  0.00670 -0.02028 -0.00394 -0.02311 -0.01283  0.00746 -0.16599 -0.12711 -0.13698 -0.17380 -0.18849 -0.14832 -0.21900 -0.16018
8   2   1    1600  45.2901 40:49:15 -1.62556200756E+05 -1.61557388638E+05 -0.00507 -0.02311  0.00746  0.00670 -0.02028 -0.00394 -0.01283  0.02454 -0.16599 -0.14832 -0.16018 -0.13698 -0.17380 -0.18849 -0.21900 -0.12711
8   2   1    3200  47.7053 40:49:15 -1.62761588355E+05 -1.61557388638E+05  0.00746 -0.02311 -0.00507  0.02454 -0.00394 -0.01283 -0.02028  0.00670 -0.16018 -0.14832 -0.16599 -0.12711 -0.18849 -0.21900 -0.17380 -0.13698
8   2   5   35000  25.0190 42:49:15 -1.61959962645E+05 -1.60310751537E+05  0.00455  0.35018  1.00000  1.00000 -0.00330  0.27194  0.32833  1.00000 -0.23263 -0.81056  0.00000  0.00000 -0.14115 -0.75111 -0.89436  0.00000
8   2   6   80000  18.9715 44:49:15 -1.60976445126E+05 -1.59769725054E+05  1.00000  1.00000 -0.00487  0.01572  0.26936  0.32594  1.00000  1.00000  0.00000  0.00000 -0.14776 -0.24684 -0.75111 -0.89436  0.00000  0.00000
8   2   8  123140  14.9000 45:49:15 -1.60493174648E+05 -1.59535661047E+05  0.04110  1.00000  0.01359  0.09415  0.27867  0.33453  0.01712  0.35618 -0.09208  0.00000 -0.21320 -0.38943 -0.75111 -0.89436 -0.15031 -0.81056
8   2   8  130000  12.6151 46:49:15 -1.59994551294E+05 -1.59531997830E+05  0.00584  0.08625  0.05953  0.21091  0.00772  0.27623  0.33228  0.35401 -0.21518 -0.08051 -0.13521 -0.65933 -0.14639 -0.75111 -0.89436 -0.81056
8   2   8  155000  12.9950 48:49:15 -1.60107030672E+05 -1.59432713224E+05  0.02441  0.08627  1.00000  1.00000  0.27469  0.33086  0.01079  0.35263 -0.26069 -0.05767  0.00000  0.00000 -0.75111 -0.89436 -0.15818 -0.81056
8   2   9  158588   9.6000 48:49:15 -1.59968579035E+05 -1.59432713224E+05  1.00000  0.08821  0.01268  0.27623  0.33228  0.01886  0.35400  0.02158  0.00000 -0.05767 -0.15532 -0.75111 -0.89436 -0.09384 -0.81056 -0.26798
8   2   9  190000  11.9079 50:49:15 -1.60497482121E+05 -1.59156920379E+05  0.08531  0.02909  0.05857 -0.00442  0.27549  0.33160  0.03448  0.14784 -0.08051 -0.26471 -0.07675 -0.15258 -0.75111 -0.89436 -0.19593 -0.34798
8   2  10  195299  15.5000 50:49:15 -1.60095246230E+05 -1.59156920379E+05  0.02909 -0.00442  0.08531  0.05857  0.27549  0.33160  0.03448  0.14784 -0.26471 -0.15258 -0.08051 -0.07675 -0.75111 -0.89436 -0.19593 -0.34798
8   2  10  225000  10.7692 52:49:15 -1.59751537780E+05 -1.58982335429E+05  0.05267  0.02444  0.02595 -0.02211  0.27933  0.33515  1.00000  0.35678 -0.09798 -0.24933 -0.17753 -0.09924 -0.75111 -0.89436  0.00000 -0.81056
8   2  11  231129   4.2000 53:49:15 -1.59306867704E+05 -1.58982335429E+05  0.05584  0.02124  0.21461  0.05928  0.01115  0.27962  0.33541  0.35703 -0.09103 -0.23873 -0.65933 -0.14933 -0.19519 -0.75111 -0.89436 -0.81056
8   2  11  245000   6.3743 54:49:15 -1.60391615473E+05 -1.58918956914E+05  0.02764  0.05346  0.02740  0.21343  1.00000  0.27854  0.33441  0.35606 -0.16335 -0.09264 -0.25442 -0.65933  0.00000 -0.75111 -0.89436 -0.81056
8   2  12  259820   2.5000 55:49:15 -1.59175256881E+05 -1.58918956914E+05  0.03673  0.00340  0.03250  0.06364  0.21586  0.28077  0.33647  0.35806 -0.09691 -0.20667 -0.26405 -0.15591 -0.65933 -0.75111 -0.89436 -0.81056
8   2  12  270000   5.7928 56:49:15 -1.59413634636E+05 -1.58905513469E+05  0.05752  0.04066  0.09787  0.05396 -0.01227  0.28163  0.33726  0.35883 -0.09264 -0.26836 -0.38943 -0.15367 -0.22292 -0.75111 -0.89436 -0.81056
8   2  13  290018   4.2000 57:49:15 -1.59506016082E+05 -1.58905513469E+05  0.05630  0.02997  0.04542  0.02105  0.21579  0.28070  0.33641  0.35800 -0.09264 -0.25804 -0.16219 -0.22309 -0.65933 -0.75111 -0.89436 -0.81056
8   2  13  305000   6.0930 58:49:15 -1.59609091254E+05 -1.58905513469E+05  0.00306  0.05312  0.03577  0.02924  0.27828  0.33417  0.05536  0.35583 -0.20670 -0.09264 -0.17772 -0.26069 -0.75111 -0.89436 -0.12229 -0.81056
8   2  14  314595   3.1000 58:49:15 -1.59092658313E+05 -1.58905513469E+05  0.06212  0.04087  0.01852  0.06451  0.28179  0.33741 -0.02054  0.35897 -0.08143 -0.26836 -0.25325 -0.15248 -0.75111 -0.89436 -0.19393 -0.81056
8   2  15  323182   2.4000 59:49:15 -1.59021556270E+05 -1.58905513469E+05  0.05568  0.02934  0.21527  0.05299  0.01315  0.28023  0.33597  0.35758 -0.09264 -0.25804 -0.65933 -0.16419 -0.20516 -0.75111 -0.89436 -0.81056
