Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8    Fst9   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8   QPop9
   1  2.2525E-04    0.886126    0.005849  0.0012  0.0202 -0.0008  0.0005  0.0001 -0.0004  0.0009  0.0004 -0.0011  0.1120  0.1182  0.1093  0.1110  0.1068  0.1097  0.1116  0.1113  0.1101
   2  3.0104E-03    0.842698    0.109311  0.0028  0.1246  0.0037  0.0179  0.0086  0.0006  0.0015  0.0007  0.0023  0.1091  0.1505  0.1035  0.1120  0.1019  0.1049  0.1076  0.1061  0.1044
   3  3.3792E-03    0.757192    0.235027  0.0036  0.2101  0.0357  0.0950  0.0520  0.0128  0.0026  0.0076  0.0218  0.1003  0.1626  0.0958  0.1156  0.1201  0.1046  0.1001  0.1028  0.0982
   4  2.1972E-03    0.681270    0.291242  0.0019  0.2457  0.0754  0.1813  0.0939  0.0374  0.0062  0.0152  0.0424  0.0913  0.1570  0.0995  0.1149  0.1419  0.1080  0.0936  0.0998  0.0939
   5  2.2894E-03    0.611956    0.291622 -0.0022  0.2542  0.1069  0.2286  0.1248  0.0805  0.0202  0.0177  0.0678  0.0837  0.1431  0.1148  0.1050  0.1571  0.1110  0.0885  0.0922  0.1045
   6  1.9791E-03    0.529576    0.285249  0.0024  0.2553  0.1276  0.2434  0.1356  0.1111  0.0575  0.0122  0.0805  0.0764  0.1341  0.1227  0.0967  0.1748  0.1177  0.0846  0.0809  0.1122
   7  2.1009E-03    0.434591    0.283372  0.0329  0.2467  0.1366  0.2348  0.1312  0.1093  0.0910  0.0038  0.0892  0.0765  0.1275  0.1255  0.0906  0.1882  0.1211  0.0786  0.0704  0.1216
   8  1.2043E-03    0.353325    0.283317  0.0467  0.2364  0.1342  0.2198  0.1236  0.0981  0.1031  0.0269  0.0920  0.0736  0.1225  0.1270  0.0862  0.1966  0.1222  0.0678  0.0732  0.1309
   9  5.0721E-04    0.299467    0.276852  0.0155  0.2176  0.1164  0.1889  0.1112  0.0759  0.0601  0.0152  0.0790  0.0683  0.1194  0.1286  0.0834  0.2025  0.1230  0.0582  0.0802  0.1366
  10  1.9259E-04    0.261990    0.269447  0.0136  0.2174  0.1151  0.1856  0.1104  0.0749  0.0510  0.0210  0.0791  0.0644  0.1174  0.1299  0.0812  0.2066  0.1234  0.0518  0.0845  0.1409
  11  9.2134E-05    0.235170    0.263173  0.0064  0.2170  0.1132  0.1835  0.1098  0.0744  0.0409  0.0209  0.0772  0.0617  0.1163  0.1312  0.0797  0.2096  0.1234  0.0478  0.0871  0.1432
  12  6.8818E-05    0.210954    0.260543  0.0472  0.2356  0.1294  0.2122  0.1205  0.0948  0.0977  0.0489  0.0919  0.0598  0.1151  0.1325  0.0785  0.2125  0.1243  0.0448  0.0885  0.1440
  13  4.7151E-05    0.193837    0.258622  0.0433  0.2354  0.1277  0.2115  0.1202  0.0947  0.0942  0.0482  0.0901  0.0586  0.1143  0.1343  0.0777  0.2143  0.1241  0.0428  0.0899  0.1439
  14  3.7734E-05    0.180963    0.256030  0.0409  0.2351  0.1262  0.2111  0.1200  0.0946  0.0920  0.0479  0.0887  0.0577  0.1139  0.1355  0.0773  0.2158  0.1234  0.0414  0.0911  0.1439
  15  1.9312E-05    0.171535    0.252604  0.0393  0.2351  0.1251  0.2107  0.1199  0.0945  0.0902  0.0477  0.0876  0.0569  0.1134  0.1363  0.0769  0.2164  0.1229  0.0404  0.0923  0.1445
  16  1.7623E-05    0.164265    0.250700  0.0384  0.2350  0.1242  0.2105  0.1198  0.0944  0.0895  0.0475  0.0866  0.0569  0.1131  0.1370  0.0766  0.2165  0.1228  0.0398  0.0923  0.1449
  17  8.6719E-06    0.159631    0.248903  0.0377  0.2350  0.1235  0.2103  0.1197  0.0944  0.0891  0.0474  0.0857  0.0567  0.1129  0.1380  0.0765  0.2169  0.1226  0.0395  0.0922  0.1446
  18  7.6466E-06    0.156255    0.246861  0.0372  0.2349  0.1230  0.2102  0.1197  0.0944  0.0887  0.0474  0.0848  0.0563  0.1129  0.1394  0.0763  0.2171  0.1225  0.0393  0.0923  0.1439
  19  5.0819E-06    0.153668    0.245643  0.0368  0.2349  0.1227  0.2100  0.1197  0.0943  0.0884  0.0475  0.0840  0.0561  0.1128  0.1405  0.0762  0.2175  0.1222  0.0392  0.0925  0.1430
  20  4.1136E-06    0.151478    0.244562  0.0365  0.2348  0.1226  0.2099  0.1197  0.0943  0.0882  0.0473  0.0833  0.0559  0.1128  0.1413  0.0761  0.2176  0.1220  0.0390  0.0928  0.1425
  21  2.4400E-06    0.149881    0.243331  0.0362  0.2348  0.1225  0.2098  0.1197  0.0942  0.0881  0.0471  0.0828  0.0557  0.1127  0.1417  0.0760  0.2178  0.1219  0.0389  0.0928  0.1425
