K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fst8     Fst9     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7     Fis8     Fis9
9   7   1       0   1.0000 14:05:16 -1.71821850873E+05 -1.71821850873E+05  0.01331  0.01248 -0.00943 -0.01102  0.00175 -0.00738 -0.00196 -0.00187  0.00782 -0.10781 -0.18623 -0.21203 -0.16857 -0.17982 -0.16513 -0.16707 -0.19860 -0.14225
9   7   1     100   1.0000 14:05:16 -1.71812322858E+05 -1.71812322858E+05  0.01331  0.01248 -0.00943 -0.01102  0.00175 -0.00738 -0.00196 -0.00187  0.00782 -0.10781 -0.18623 -0.21203 -0.16857 -0.17982 -0.16513 -0.16707 -0.19860 -0.14225
9   7   1     200  32.1782 14:05:16 -1.70098954307E+05 -1.69836586999E+05 -0.00738 -0.00187  0.01248 -0.00943 -0.00196 -0.01102  0.00175  0.00782  0.01331 -0.16513 -0.19860 -0.18623 -0.21203 -0.16707 -0.16857 -0.17982 -0.14225 -0.10781
9   7   1     400  50.0000 14:05:16 -1.66287339168E+05 -1.66287339168E+05 -0.00187  0.01248 -0.00943  0.00175  0.01331 -0.01102 -0.00738 -0.00196  0.00782 -0.19860 -0.18623 -0.21203 -0.17982 -0.10781 -0.16857 -0.16513 -0.16707 -0.14225
9   7   1     800  46.2594 14:05:16 -1.65642350518E+05 -1.64584452577E+05 -0.00187 -0.00738 -0.00943 -0.01102  0.00175  0.01248 -0.00196  0.01331  0.00782 -0.19860 -0.16513 -0.21203 -0.16857 -0.17982 -0.18623 -0.16707 -0.10781 -0.14225
9   7   1    1600  49.3758 14:05:16 -1.63590533942E+05 -1.63590533942E+05 -0.00196  0.01331 -0.00187 -0.00738  0.01248 -0.00943 -0.01102  0.00175  0.00782 -0.16707 -0.10781 -0.19860 -0.16513 -0.18623 -0.21203 -0.16857 -0.17982 -0.14225
9   7   1    3200  49.0631 14:05:16 -1.65932057161E+05 -1.62956237770E+05  0.01248  0.00782 -0.00943  0.01331 -0.01102  0.00175 -0.00187 -0.00738 -0.00196 -0.18623 -0.14225 -0.21203 -0.10781 -0.16857 -0.17982 -0.19860 -0.16513 -0.16707
9   7   2    6400  39.7991 15:05:16 -1.64698841401E+05 -1.62148791503E+05 -0.00196  0.01248  0.00782  0.01331 -0.01102  0.00175 -0.00943 -0.00187 -0.00738 -0.16707 -0.18623 -0.14225 -0.10781 -0.16857 -0.17982 -0.21203 -0.19860 -0.16513
9   7   3   12800  30.0707 18:05:16 -1.63205665842E+05 -1.61947828881E+05 -0.00738 -0.00943 -0.00196 -0.01102  0.00175 -0.00187  0.01248  0.00782  0.01331 -0.16513 -0.21203 -0.16707 -0.16857 -0.17982 -0.19860 -0.18623 -0.14225 -0.10781
9   7   3   15000  29.9138 21:05:16 -1.63320067991E+05 -1.61947828881E+05  0.00397  0.00321 -0.02715  0.31141  0.35540  0.33373  1.00000  1.00000  0.02333 -0.16355 -0.22032 -0.17260 -0.78140 -0.81056 -0.89436  0.00000  0.00000 -0.09701
9   7   3   25600  30.3069 22:05:16 -1.63575449789E+05 -1.61947828881E+05  0.00397  0.00321  0.02333  1.00000 -0.02715  0.31141  0.33373  0.35540  1.00000 -0.16355 -0.22032 -0.09701  0.00000 -0.17260 -0.78140 -0.89436 -0.81056  0.00000
9   7   3   30000  30.8742 24:05:16 -1.65723021382E+05 -1.61947828881E+05 -0.00159  1.00000  0.26975  0.32630  1.00000  1.00000  1.00000 -0.00327  1.00000 -0.13246  0.00000 -0.75111 -0.89436  0.00000  0.00000  0.00000 -0.22452  0.00000
9   7   3   40000  31.3850 28:05:16 -1.62913137945E+05 -1.61947828881E+05  1.00000  1.00000  1.00000 -0.00159  0.26975  1.00000  0.32630  1.00000 -0.00327  0.00000  0.00000  0.00000 -0.13246 -0.75111  0.00000 -0.89436  0.00000 -0.22452
9   7   4   51200  25.0349 30:05:16 -1.63924318195E+05 -1.61947828881E+05  1.00000 -0.00153  0.27163  0.32804  1.00000  1.00000  0.34990 -0.00809  1.00000  0.00000 -0.11836 -0.75111 -0.89436  0.00000  0.00000 -0.81056 -0.22224  0.00000
9   7   4   55000  24.7807 33:05:16 -1.64208123227E+05 -1.61947828881E+05  1.00000  0.34990  1.00000  0.27163  0.32804  1.00000 -0.00809  1.00000 -0.00153  0.00000 -0.81056  0.00000 -0.75111 -0.89436  0.00000 -0.22224  0.00000 -0.11836
9   7   4   70000  26.5412 39:05:16 -1.63650697231E+05 -1.61904708255E+05 -0.01286  1.00000  1.00000  0.26960  0.32616  1.00000  1.00000  1.00000  0.00757 -0.19432  0.00000  0.00000 -0.75111 -0.89436  0.00000  0.00000  0.00000 -0.16034
9   7   4   80000  25.9059 41:05:16 -1.62488729021E+05 -1.61904708255E+05 -0.00730  1.00000  1.00000  0.34983  0.00098  0.27155  0.32796  1.00000  1.00000 -0.22787  0.00000  0.00000 -0.81056 -0.12659 -0.75111 -0.89436  0.00000  0.00000
9   7   5  110000  19.2966 43:05:16 -1.63273275515E+05 -1.61592469950E+05  0.01474  0.00728  0.01833  0.27816  0.33406  1.00000  1.00000  0.35573  0.04356 -0.05500 -0.15123 -0.23970 -0.75111 -0.89436  0.00000  0.00000 -0.81056 -0.24993
9   7   6  141995  21.4000 44:05:16 -1.62111226887E+05 -1.61461549347E+05  0.20936  0.00861  0.00838  1.00000  1.00000  0.27481  0.33097  0.35274  0.08195 -0.65933 -0.23330 -0.12767  0.00000  0.00000 -0.75111 -0.89436 -0.81056 -0.22817
9   7   6  155000  14.5645 45:05:16 -1.61657143369E+05 -1.61076065444E+05  1.00000  1.00000  0.00838  0.20936  0.27481  0.33097  0.08195  0.35274  0.00861  0.00000  0.00000 -0.12767 -0.65933 -0.75111 -0.89436 -0.22817 -0.81056 -0.23330
9   7   7  188352  15.6000 47:05:16 -1.62327128734E+05 -1.61063126345E+05 -0.03271  0.02380  0.00982  0.03608  0.27969  0.33548  1.00000  0.35710  0.21469 -0.08983 -0.09257 -0.14731 -0.26784 -0.75111 -0.89436  0.00000 -0.81056 -0.65933
9   7   7  190000  15.6282 47:05:16 -1.61808848690E+05 -1.61063126345E+05  0.00982  1.00000 -0.03271  0.03608  0.21469  0.02380  0.27969  0.33548  0.35710 -0.14731  0.00000 -0.08983 -0.26784 -0.65933 -0.09257 -0.75111 -0.89436 -0.81056
9   7   8  218129  20.1000 48:05:16 -1.61965158287E+05 -1.60834294640E+05  0.02788  1.00000  0.03914  0.06068  0.28404  0.33948  1.00000  0.13604  0.36097 -0.17760  0.00000 -0.24360 -0.09264 -0.75111 -0.89436  0.00000 -0.62306 -0.81056
9   7   8  230000  11.7375 49:05:16 -1.62057767213E+05 -1.60834294640E+05  1.00000  1.00000  0.02043  0.01573  0.27680  0.33281  0.04467  0.35451  1.00000  0.00000  0.00000 -0.25203 -0.15092 -0.75111 -0.89436 -0.11133 -0.81056  0.00000
9   7   9  264285  11.7000 50:05:16 -1.61803674945E+05 -1.60512742208E+05 -0.00783  0.00972  0.03428  0.02063  0.27718  0.33315  0.04628  0.35485  1.00000 -0.03111 -0.13696 -0.27148 -0.16384 -0.75111 -0.89436 -0.14350 -0.81056  0.00000
9   7   9  270000  10.4953 51:05:16 -1.61277512118E+05 -1.60512742208E+05  0.02862  0.03757  0.04054  0.04081  1.00000  0.28182  0.33744  0.10511  1.00000 -0.16320 -0.26471 -0.27563 -0.06155  0.00000 -0.75111 -0.89436 -0.37499  0.00000
