K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fis1     Fis2
2   7   1       0   1.0000 36:09:09 -3.01961399943E+05 -3.01961399943E+05 -0.03921  0.03821 -0.16925 -0.14780
2   7   1     100   1.0000 36:09:09 -2.89801719753E+05 -2.89801719753E+05  0.03821 -0.03921 -0.14780 -0.16925
2   7   1     200  13.0000 36:09:09 -2.61372459992E+05 -2.61372459992E+05  0.03821 -0.03921 -0.14780 -0.16925
2   7   1     400  13.2500 36:09:09 -2.62615624658E+05 -2.47203383820E+05  0.03821 -0.03921 -0.14780 -0.16925
2   7   1     800  31.1250 36:09:09 -2.77994072122E+05 -2.47203383820E+05 -0.03921  0.03821 -0.16925 -0.14780
2   7   1    1600  35.5625 36:09:09 -2.78564368142E+05 -2.47203383820E+05 -0.17633  0.28978 -0.25978 -0.20100
2   7   2    3200  62.0472 36:09:09 -3.01178882171E+05 -2.47203383820E+05  0.16021 -0.13005 -0.18594 -0.17057
2   7   4    6400  48.3827 36:09:09 -2.72400294901E+05 -2.47203383820E+05  0.27996 -0.16993 -0.17638 -0.28394
2   7   6   12800  27.9574 36:09:09 -2.63052266083E+05 -2.47203383820E+05 -0.17665  0.27325 -0.23627 -0.20232
2   7  10   25600   1.1593 37:09:09 -2.47203383820E+05 -2.47203383820E+05  0.38367  0.03840 -0.19785 -0.88868
2   7 200   27743   0.0000 37:09:09 -2.47203383820E+05 -2.47203383820E+05  0.03840  0.38367 -0.88868 -0.19785
