K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fis1     Fis2     Fis3
3   6   1       0   1.0000 21:12:09 -3.06383598425E+05 -3.06383598425E+05 -0.00176 -0.01986  0.01098 -0.15953 -0.15285 -0.15391
3   6   1     100   0.9901 21:12:09 -3.05588583967E+05 -3.05588583967E+05 -0.00176 -0.01986  0.01098 -0.15953 -0.15285 -0.15391
3   6   1     200  20.3883 21:12:09 -2.58094904734E+05 -2.57647321071E+05 -0.00176 -0.01986  0.01098 -0.15953 -0.15285 -0.15391
3   6   1     400  18.2692 21:12:09 -2.51728812329E+05 -2.50974028445E+05 -0.01986 -0.00176  0.01098 -0.15285 -0.15953 -0.15391
3   6   1     800  24.4256 21:12:09 -2.52215775304E+05 -2.46302702763E+05 -0.01986 -0.00176  0.01098 -0.15285 -0.15953 -0.15391
3   6   1    1600  28.1500 21:12:09 -2.45079995112E+05 -2.44446933307E+05  0.30588  0.37409 -0.04096 -0.25916 -0.21463 -0.88868
3   6   1    3200  30.3688 21:12:09 -2.51713803999E+05 -2.44446933307E+05  0.34296  0.31084 -0.04506 -0.18528 -0.22609 -0.88868
3   6   2    6400  27.2843 22:12:09 -2.50399631607E+05 -2.44446933307E+05  0.31712  0.36276 -0.03940 -0.27077 -0.21096 -0.88868
3   6   3   12800  15.5635 22:12:09 -2.50329344598E+05 -2.44446933307E+05  0.33134 -0.05018  0.34461 -0.21194 -0.88868 -0.17134
3   6   4   24000  21.5360 23:12:09 -2.46876234052E+05 -2.42708816067E+05  0.40721  0.31544 -0.04833 -0.18810 -0.31105 -0.88868
3   6   5   25600  17.0763 23:12:09 -2.44904596712E+05 -2.42708816067E+05  0.37444  0.32311 -0.05184 -0.18656 -0.23742 -0.88868
3   6   8   51200  13.4879 25:12:09 -2.44302379389E+05 -2.42708816067E+05  0.35010  0.51403 -0.03978 -0.21535 -0.87865 -0.88868
3   6   9   52000  11.0429 25:12:09 -2.43798529314E+05 -2.42708816067E+05  0.35010  0.51403 -0.03978 -0.21535 -0.87865 -0.88868
3   6  12   76000   7.3011 27:12:09 -2.43975611371E+05 -2.42289859457E+05  0.41839  0.31693 -0.04704 -0.20736 -0.32981 -0.88868
3   6  16  102400   4.0640 29:12:09 -2.42667397747E+05 -2.42289859457E+05  0.41133  0.32046 -0.04412 -0.20337 -0.35544 -0.88868
3   6  17  104000   7.2289 29:12:09 -2.42717400975E+05 -2.42289859457E+05  0.41435  0.31862 -0.04560 -0.20675 -0.33979 -0.88868
3   6  17  104738   3.8000 29:12:09 -2.42612676558E+05 -2.42289859457E+05  0.40956  0.32020 -0.04418 -0.20146 -0.35322 -0.88868
3   6  18  111002   2.5000 29:12:09 -2.42382537533E+05 -2.42289859457E+05  0.40739  0.32264 -0.04263 -0.20072 -0.36995 -0.88868
3   6  19  117248   3.6000 30:12:09 -2.42363940173E+05 -2.42289859457E+05  0.41494  0.31749 -0.04557 -0.20332 -0.34209 -0.88868
3   6  20  123498   2.9000 30:12:09 -2.42382537533E+05 -2.42289859457E+05  0.41128  0.31952 -0.04413 -0.19892 -0.35842 -0.88868
3   6  20  124000   3.0883 31:12:09 -2.42389631610E+05 -2.42289859457E+05  0.41128  0.31952 -0.04413 -0.19892 -0.35842 -0.88868
3   6  21  129735   4.4000 31:12:09 -2.42358337730E+05 -2.42289859457E+05  0.41437  0.31791 -0.04555 -0.20657 -0.33853 -0.88868
3   6  22  135896   2.2000 32:12:09 -2.42344693828E+05 -2.42289859457E+05  0.40905  0.32180 -0.04344 -0.20157 -0.36310 -0.88868
3   6  23  144000   2.0971 33:12:09 -2.42444602259E+05 -2.42289859457E+05  0.41646  0.31704 -0.04630 -0.20522 -0.33520 -0.88868
3   6  24  148190   2.1000 33:12:09 -2.42289859457E+05 -2.42289859457E+05  0.42260  0.31499 -0.04852 -0.20819 -0.31958 -0.88868
3   6  25  154348   3.0000 34:12:09 -2.42382537533E+05 -2.42289859457E+05  0.40991  0.32104 -0.04338 -0.20096 -0.36418 -0.88868
3   6  26  164000   1.5976 35:12:09 -2.42289859457E+05 -2.42289859457E+05  0.41022  0.32133 -0.04337 -0.20386 -0.36208 -0.88868
3   6  27  166571   1.2000 35:12:09 -2.42293162420E+05 -2.42289859457E+05  0.41160  0.31977 -0.04412 -0.20190 -0.35634 -0.88868
