Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3   QPop1   QPop2   QPop3
   1  3.0594E-02    0.227741    0.131225  0.4181 -0.0675  0.3110  0.4574  0.1905  0.3521
   2  1.1406E-03    0.186109    0.153252  0.4465 -0.0531  0.3226  0.4741  0.1793  0.3466
   3  3.2895E-04    0.188221    0.168294  0.4570 -0.0513  0.3285  0.4844  0.1796  0.3360
   4  1.8833E-04    0.193531    0.177251  0.4620 -0.0503  0.3337  0.4934  0.1800  0.3267
   5  1.2942E-04    0.197838    0.183577  0.4647 -0.0494  0.3389  0.5011  0.1803  0.3186
   6  1.0161E-04    0.201002    0.188515  0.4663 -0.0486  0.3442  0.5085  0.1804  0.3111
   7  8.0710E-05    0.203062    0.192632  0.4672 -0.0477  0.3495  0.5153  0.1805  0.3042
   8  6.4526E-05    0.204465    0.196106  0.4678 -0.0470  0.3550  0.5213  0.1806  0.2981
   9  5.1685E-05    0.205438    0.199056  0.4682 -0.0464  0.3604  0.5266  0.1806  0.2928
  10  4.1620E-05    0.206059    0.201513  0.4684 -0.0459  0.3657  0.5313  0.1806  0.2881
  11  3.3464E-05    0.206441    0.203533  0.4685 -0.0454  0.3710  0.5355  0.1807  0.2838
  12  2.7891E-05    0.206645    0.205220  0.4685 -0.0450  0.3760  0.5393  0.1807  0.2800
  13  2.3261E-05    0.206929    0.206458  0.4685 -0.0446  0.3809  0.5428  0.1807  0.2765
  14  1.9565E-05    0.207108    0.207443  0.4684 -0.0443  0.3856  0.5459  0.1807  0.2734
  15  1.6800E-05    0.207316    0.208102  0.4683 -0.0440  0.3901  0.5489  0.1807  0.2704
  16  1.6785E-05    0.207761    0.208361  0.4682 -0.0437  0.3944  0.5518  0.1807  0.2675
  17  1.6207E-05    0.208329    0.208406  0.4681 -0.0434  0.3985  0.5545  0.1807  0.2647
  18  1.1887E-05    0.208575    0.208603  0.4680 -0.0432  0.4023  0.5570  0.1807  0.2623
  19  8.9328E-06    0.208583    0.208841  0.4678 -0.0430  0.4059  0.5592  0.1807  0.2601
  20  7.3917E-06    0.208562    0.209017  0.4676 -0.0428  0.4091  0.5612  0.1807  0.2581
  21  6.0659E-06    0.208509    0.209146  0.4675 -0.0427  0.4122  0.5630  0.1807  0.2563
  22  4.9460E-06    0.208441    0.209232  0.4673 -0.0425  0.4149  0.5646  0.1807  0.2547
  23  3.8893E-06    0.208286    0.209325  0.4671 -0.0424  0.4174  0.5661  0.1807  0.2532
  24  3.0892E-06    0.208117    0.209401  0.4669 -0.0423  0.4197  0.5674  0.1807  0.2519
  25  2.3964E-06    0.207961    0.209462  0.4668 -0.0422  0.4217  0.5685  0.1807  0.2508
  26  1.8872E-06    0.207825    0.209493  0.4666 -0.0422  0.4235  0.5695  0.1807  0.2498
  27  1.4665E-06    0.207694    0.209516  0.4664 -0.0421  0.4252  0.5704  0.1807  0.2489
  28  1.0681E-06    0.207593    0.209527  0.4663 -0.0421  0.4266  0.5711  0.1807  0.2482
  29  7.6256E-07    0.207487    0.209560  0.4661 -0.0421  0.4279  0.5717  0.1807  0.2476
  30  5.5147E-07    0.207394    0.209586  0.4659 -0.0421  0.4290  0.5722  0.1807  0.2471
  31  3.9199E-07    0.207327    0.209600  0.4658 -0.0421  0.4300  0.5726  0.1808  0.2467
  32  2.8449E-07    0.207269    0.209620  0.4657 -0.0421  0.4309  0.5729  0.1808  0.2463
  33  2.0814E-07    0.207215    0.209642  0.4656 -0.0421  0.4316  0.5732  0.1808  0.2460
  34  1.7039E-07    0.207145    0.209686  0.4654 -0.0422  0.4323  0.5734  0.1808  0.2458
  35  1.2260E-07    0.207101    0.209708  0.4653 -0.0422  0.4329  0.5736  0.1808  0.2456
  36  1.1522E-07    0.207028    0.209755  0.4652 -0.0422  0.4334  0.5738  0.1809  0.2453
  37  8.0984E-08    0.206980    0.209777  0.4651 -0.0422  0.4338  0.5740  0.1809  0.2452
  38  6.7290E-08    0.206942    0.209794  0.4651 -0.0423  0.4342  0.5741  0.1809  0.2450
  39  5.6724E-08    0.206912    0.209807  0.4650 -0.0423  0.4346  0.5742  0.1809  0.2449
  40  4.6090E-08    0.206895    0.209811  0.4649 -0.0423  0.4349  0.5743  0.1809  0.2448
  41  4.2876E-08    0.206853    0.209845  0.4648 -0.0423  0.4352  0.5744  0.1809  0.2447
  42  4.9864E-08    0.206804    0.209889  0.4647 -0.0423  0.4354  0.5745  0.1809  0.2446
  43  3.3846E-08    0.206782    0.209908  0.4647 -0.0423  0.4357  0.5746  0.1809  0.2445
  44  4.2124E-08    0.206746    0.209945  0.4646 -0.0424  0.4359  0.5746  0.1810  0.2444
  45  2.7951E-08    0.206736    0.209959  0.4646 -0.0424  0.4360  0.5747  0.1810  0.2443
