Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4   QPop1   QPop2   QPop3   QPop4
   1  2.3876E-02    0.633468    0.123286  0.2981 -0.2311  0.2178  0.1307  0.2978  0.2130  0.2683  0.2208
   2  1.4401E-02    0.445025    0.223310  0.3893 -0.1320  0.2654  0.2399  0.3600  0.1856  0.3141  0.1403
   3  3.5827E-03    0.357690    0.223285  0.4215 -0.1169  0.2859  0.2800  0.3835  0.1816  0.3139  0.1210
   4  2.0163E-03    0.309754    0.211464  0.4325 -0.1103  0.2981  0.3288  0.3973  0.1774  0.3109  0.1144
   5  1.3827E-03    0.265101    0.204240  0.4409 -0.0977  0.3104  0.3325  0.4135  0.1732  0.3134  0.0999
   6  5.2804E-04    0.231110    0.200490  0.4468 -0.0867  0.3196  0.3148  0.4361  0.1715  0.3141  0.0784
   7  2.9130E-04    0.210565    0.200255  0.4502 -0.0792  0.3268  0.2979  0.4562  0.1707  0.3101  0.0630
   8  1.2962E-04    0.202476    0.200740  0.4514 -0.0758  0.3326  0.2945  0.4698  0.1702  0.3036  0.0564
   9  8.7990E-05    0.199189    0.203313  0.4519 -0.0738  0.3386  0.2953  0.4804  0.1701  0.2963  0.0532
  10  6.6213E-05    0.197798    0.206412  0.4521 -0.0723  0.3448  0.2969  0.4886  0.1701  0.2895  0.0517
  11  5.1563E-05    0.197093    0.209192  0.4521 -0.0710  0.3512  0.2986  0.4955  0.1701  0.2834  0.0510
  12  4.1397E-05    0.196577    0.211569  0.4521 -0.0699  0.3577  0.3001  0.5015  0.1701  0.2778  0.0506
  13  3.4441E-05    0.196202    0.213630  0.4522 -0.0689  0.3642  0.3013  0.5068  0.1702  0.2727  0.0503
  14  2.8874E-05    0.195876    0.215270  0.4522 -0.0679  0.3705  0.3025  0.5117  0.1702  0.2681  0.0501
  15  2.4299E-05    0.195758    0.216360  0.4522 -0.0670  0.3766  0.3035  0.5161  0.1702  0.2638  0.0499
  16  2.4038E-05    0.196220    0.216734  0.4522 -0.0661  0.3825  0.3044  0.5203  0.1702  0.2597  0.0498
  17  2.3633E-05    0.196736    0.216912  0.4522 -0.0653  0.3882  0.3053  0.5243  0.1702  0.2558  0.0497
  18  1.5228E-05    0.196687    0.217267  0.4521 -0.0646  0.3935  0.3060  0.5277  0.1701  0.2525  0.0496
  19  1.2399E-05    0.196493    0.217567  0.4521 -0.0639  0.3984  0.3067  0.5308  0.1702  0.2495  0.0496
  20  9.9266E-06    0.196246    0.217769  0.4520 -0.0633  0.4028  0.3074  0.5335  0.1702  0.2468  0.0495
  21  7.6367E-06    0.196011    0.217871  0.4518 -0.0628  0.4068  0.3079  0.5359  0.1702  0.2445  0.0495
  22  5.6585E-06    0.195748    0.217962  0.4517 -0.0624  0.4104  0.3084  0.5379  0.1702  0.2425  0.0494
  23  3.6399E-06    0.195494    0.218026  0.4515 -0.0621  0.4135  0.3088  0.5394  0.1702  0.2410  0.0494
