K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fis1     Fis2     Fis3     Fis4
4   8   1       0   1.0000 05:17:09 -3.09875177185E+05 -3.09875177185E+05 -0.02247 -0.00221  0.02336 -0.02303 -0.15672 -0.14134 -0.15576 -0.15583
4   8   1     100   2.9412 05:17:09 -3.09676907122E+05 -3.09676907122E+05 -0.02247 -0.00221  0.02336 -0.02303 -0.15672 -0.14134 -0.15576 -0.15583
4   8   1     200  25.2475 05:17:09 -2.71145211701E+05 -2.71058922157E+05 -0.02247 -0.00221 -0.02303  0.02336 -0.15672 -0.14134 -0.15583 -0.15576
4   8   1     400  25.8706 05:17:09 -2.56036629380E+05 -2.55920482318E+05 -0.02247 -0.02303 -0.00221  0.02336 -0.15672 -0.15583 -0.14134 -0.15576
4   8   1     800  24.0695 05:17:09 -2.52425241053E+05 -2.52103939883E+05 -0.02247 -0.00221 -0.02303  0.02336 -0.15672 -0.14134 -0.15583 -0.15576
4   8   1    1600  22.2498 05:17:09 -2.50696769806E+05 -2.47534674800E+05 -0.00221 -0.02247 -0.02303  0.02336 -0.14134 -0.15672 -0.15583 -0.15576
4   8   1    3200  24.9148 05:17:09 -2.50963500535E+05 -2.46484575577E+05  0.03969  0.37108  0.40095  0.04192 -0.89275 -0.27613 -0.17876 -0.87905
4   8   1    6400  31.1187 05:17:09 -2.50027258650E+05 -2.46478806571E+05  0.39001  0.24637  0.27499 -0.10898 -0.20479 -0.26370 -0.31598 -0.88868
4   8   2   12800  37.4684 06:17:09 -2.48152258754E+05 -2.43686495563E+05  0.34047  0.30415  0.29534 -0.10029 -0.21510 -0.42643 -0.20032 -0.88868
4   8   4   25600  27.3107 07:17:09 -2.52125504833E+05 -2.43686495563E+05  0.46413  0.02934  0.03345  0.38308 -0.21499 -0.89723 -0.87507 -0.23535
4   8   4   28000  27.7839 07:17:09 -2.48378975298E+05 -2.43686495563E+05  0.37844  1.00000 -0.04331  0.31619 -0.20308  0.00000 -0.88372 -0.29506
4   8   6   51200  18.8577 08:17:09 -2.45929610225E+05 -2.42313731971E+05  0.37665  0.27672 -0.10478  0.30392 -0.23292 -0.27827 -0.88868 -0.30111
4   8   7   56000  18.0348 09:17:09 -2.43082921363E+05 -2.42313731971E+05  0.33320  0.29961 -0.08833  0.40821 -0.23092 -0.30537 -0.88868 -0.46754
4   8   9   84000  10.0150 11:17:09 -2.42906468251E+05 -2.41610466830E+05  0.39096  0.27529 -0.10862  0.39718 -0.21982 -0.32585 -0.88868 -0.46754
4   8  11  102400   6.7397 12:17:09 -2.43459285766E+05 -2.41390386239E+05  0.40620  0.27226 -0.11162  0.42624 -0.22423 -0.32678 -0.88868 -0.54822
4   8  12  111198   6.4000 12:17:09 -2.42342250469E+05 -2.41390386239E+05  0.42766  0.27050 -0.11923  0.39141 -0.23056 -0.30392 -0.88868 -0.46754
4   8  12  112000   6.7506 13:17:09 -2.42436994401E+05 -2.41390386239E+05  0.40747  0.27474 -0.11092  0.39593 -0.23348 -0.32807 -0.88868 -0.46754
4   8  13  119237   6.6000 13:17:09 -2.43226651207E+05 -2.41390386239E+05  0.39413  0.28210 -0.10517  0.39905 -0.22616 -0.36050 -0.88868 -0.46754
4   8  14  130592   4.4000 14:17:09 -2.41546883451E+05 -2.41390386239E+05  0.40107  0.27933 -0.10626  0.39846 -0.22135 -0.36620 -0.88868 -0.46754
4   8  15  138680   5.0000 14:17:09 -2.41514912953E+05 -2.41390386239E+05  0.39626  0.28094 -0.10514  0.39907 -0.22203 -0.36722 -0.88868 -0.46754
4   8  15  140000   4.0755 15:17:09 -2.41821169056E+05 -2.41390386239E+05  0.39572  0.28221 -0.10511  0.39909 -0.21972 -0.37086 -0.88868 -0.46754
4   8  16  149991   3.9000 15:17:09 -2.41615894156E+05 -2.41390386239E+05  0.41052  0.27650 -0.10980  0.39654 -0.24033 -0.33797 -0.88868 -0.46754
4   8  17  157967   4.0000 16:17:09 -2.41552363683E+05 -2.41390386239E+05  0.41028  0.27624 -0.10980  0.39654 -0.23783 -0.33911 -0.88868 -0.46754
4   8  17  168000   2.8457 17:17:09 -2.41613174144E+05 -2.41390386239E+05  0.40328  0.28046 -0.10620  0.39849 -0.23207 -0.36208 -0.88868 -0.46754
4   8  19  177200   2.7000 17:17:09 -2.41558359699E+05 -2.41390386239E+05  0.40384  0.28010 -0.10743  0.39782 -0.23377 -0.35305 -0.88868 -0.46754
4   8  20  188462   1.8000 18:17:09 -2.41506691339E+05 -2.41390386239E+05  0.39731  0.28424 -0.10386  0.39977 -0.22534 -0.38080 -0.88868 -0.46754
4   8  20  192000   1.6768 19:17:09 -2.41438325928E+05 -2.41390386239E+05  0.39966  0.28161 -0.10504  0.39913 -0.22596 -0.37140 -0.88868 -0.46754
4   8  22  207663   0.7000 20:17:09 -2.41390386239E+05 -2.41390386239E+05  0.40034  0.28256 -0.10503  0.39913 -0.22783 -0.37272 -0.88868 -0.46754
4   8 200  214809   0.0000 20:17:09 -2.41390386239E+05 -2.41390386239E+05  0.40610  0.27826 -0.10739  0.39785 -0.23316 -0.35441 -0.88868 -0.46754
