Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5   QPop1   QPop2   QPop3   QPop4   QPop5
   1  2.0672E-02    0.676805    0.127650  0.2949 -0.2146  0.2150  0.1322  0.1857  0.2375  0.1672  0.2380  0.1708  0.1865
   2  9.7338E-03    0.502884    0.250023  0.3772 -0.1666  0.2431  0.2017  0.2794  0.2834  0.1780  0.2763  0.1136  0.1487
   3  5.2524E-03    0.389784    0.237855  0.4140 -0.1582  0.2624  0.2471  0.3778  0.2983  0.1762  0.2859  0.0967  0.1428
   4  3.2605E-03    0.290040    0.233102  0.4309 -0.1474  0.2750  0.2716  0.4398  0.3080  0.1719  0.2956  0.0809  0.1436
   5  5.1473E-04    0.244182    0.233068  0.4391 -0.1396  0.2818  0.2598  0.4561  0.3230  0.1708  0.3028  0.0646  0.1387
   6  1.3336E-04    0.224918    0.230691  0.4428 -0.1361  0.2855  0.2541  0.4571  0.3360  0.1702  0.3050  0.0562  0.1325
   7  6.0586E-05    0.217131    0.229651  0.4449 -0.1340  0.2889  0.2539  0.4553  0.3462  0.1702  0.3042  0.0523  0.1272
   8  4.0528E-05    0.213983    0.229254  0.4464 -0.1323  0.2925  0.2552  0.4536  0.3545  0.1701  0.3020  0.0503  0.1230
   9  3.1224E-05    0.212708    0.229304  0.4475 -0.1308  0.2964  0.2568  0.4525  0.3615  0.1701  0.2992  0.0493  0.1198
  10  2.5332E-05    0.212345    0.229674  0.4484 -0.1294  0.3005  0.2583  0.4518  0.3676  0.1701  0.2962  0.0487  0.1174
  11  2.1615E-05    0.212364    0.230180  0.4491 -0.1282  0.3048  0.2597  0.4514  0.3729  0.1701  0.2931  0.0483  0.1155
  12  1.8331E-05    0.212538    0.230795  0.4497 -0.1270  0.3092  0.2608  0.4512  0.3778  0.1702  0.2901  0.0480  0.1140
  13  1.5885E-05    0.212842    0.231348  0.4502 -0.1260  0.3136  0.2619  0.4511  0.3822  0.1702  0.2871  0.0477  0.1128
  14  1.4224E-05    0.213244    0.231835  0.4506 -0.1250  0.3181  0.2628  0.4510  0.3863  0.1702  0.2841  0.0476  0.1119
  15  1.2654E-05    0.213581    0.232362  0.4509 -0.1241  0.3226  0.2636  0.4511  0.3901  0.1702  0.2812  0.0474  0.1112
  16  1.1215E-05    0.213952    0.232885  0.4512 -0.1233  0.3272  0.2643  0.4512  0.3935  0.1702  0.2784  0.0473  0.1106
  17  9.9651E-06    0.214323    0.233333  0.4514 -0.1225  0.3317  0.2650  0.4513  0.3967  0.1702  0.2758  0.0472  0.1101
  18  8.9115E-06    0.214660    0.233719  0.4516 -0.1218  0.3362  0.2656  0.4515  0.3997  0.1702  0.2733  0.0471  0.1098
