K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fis1     Fis2     Fis3     Fis4     Fis5
5   7   1       0   1.0000 11:20:09 -3.01972182390E+05 -3.01972182390E+05  0.23437 -0.18281 -0.08371 -0.12663  0.24630 -0.15185 -0.17100 -0.19322 -0.18522 -0.19987
5   7   1     100   1.9802 11:20:09 -3.01007948516E+05 -3.01007948516E+05  0.23437 -0.18281 -0.08371 -0.12663  0.24630 -0.15185 -0.17100 -0.19322 -0.18522 -0.19987
5   7   1     200  29.2683 11:20:09 -2.61133566179E+05 -2.61133566179E+05  0.24630  0.23437 -0.12663 -0.08371 -0.18281 -0.19987 -0.15185 -0.18522 -0.19322 -0.17100
5   7   1     400  31.6049 11:20:09 -2.58739335074E+05 -2.57185374835E+05 -0.12663  0.23437 -0.08371  0.24630 -0.18281 -0.18522 -0.15185 -0.19322 -0.19987 -0.17100
5   7   1     800  32.2981 11:20:09 -2.53383409159E+05 -2.51164428850E+05 -0.08371  0.24630 -0.12663 -0.18281  0.23437 -0.19322 -0.19987 -0.18522 -0.17100 -0.15185
5   7   1    1600  34.7040 11:20:09 -2.57038411334E+05 -2.50014335885E+05  0.24630  0.23437 -0.12663 -0.18281 -0.08371 -0.19987 -0.15185 -0.18522 -0.17100 -0.19322
5   7   1    3200  38.0967 11:20:09 -2.53394048146E+05 -2.49277495651E+05  0.36743  0.28422  0.27354 -0.15529  0.27161 -0.14059 -0.17019 -0.23458 -0.88868 -0.44794
5   7   1    6400  35.7689 11:20:09 -2.51983057454E+05 -2.47728783067E+05  0.45593  0.35331  0.41076 -0.01548 -0.01265 -0.20000 -0.23546 -0.36569 -0.89776 -0.87306
5   7   2   12800  31.8350 11:20:09 -2.49537955605E+05 -2.47728783067E+05  0.40953  0.35094  0.43656  0.00325 -0.00521 -0.22220 -0.33277 -0.33673 -0.89516 -0.87621
5   7   3   25600  32.6177 12:20:09 -2.53221206585E+05 -2.47451418834E+05  0.29548  0.34041  0.24943 -0.16579  0.29322 -0.24390 -0.19628 -0.35231 -0.88868 -0.23412
5   7   4   32000  30.3641 13:20:09 -2.49353222608E+05 -2.47232033092E+05  0.41091  0.41359  0.34664 -0.00277 -0.00797 -0.23172 -0.17464 -0.34921 -0.86695 -0.90729
5   7   5   51200  28.2450 14:20:09 -2.49512394516E+05 -2.45928656291E+05  0.34692  0.24985 -0.14851  0.23965  0.37316 -0.22122 -0.30455 -0.88868 -0.35184 -0.45235
5   7   6   64000  24.8591 15:20:09 -2.48589032705E+05 -2.43021534045E+05  0.46899  0.34287 -0.01391 -0.01033  0.56760 -0.21642 -0.29093 -0.89800 -0.86151 -0.87945
5   7   9   96000   8.9281 17:20:09 -2.43015530038E+05 -2.41887525300E+05  0.35065  0.22814  0.54617 -0.17815  0.35937 -0.20545 -0.33579 -0.90489 -0.88868 -0.46754
5   7   9  102400   8.3270 17:20:09 -2.42030201388E+05 -2.41887525300E+05  0.36019  0.23262  0.49516 -0.17595  0.36057 -0.21635 -0.33745 -0.72923 -0.88868 -0.46754
5   7  10  111583   6.7000 18:20:09 -2.42228377775E+05 -2.41821351199E+05  0.39079  0.22328  0.54151 -0.19025  0.35279 -0.22099 -0.29056 -0.90489 -0.88868 -0.46754
5   7  10  124000   7.7040 19:20:09 -2.42510105754E+05 -2.41821351199E+05  0.38361  0.22746  0.54406 -0.18362  0.35639 -0.21976 -0.33703 -0.90489 -0.88868 -0.46754
5   7  11  125180   7.3000 19:20:09 -2.42817774558E+05 -2.41821351199E+05  0.35139  0.23606  0.54708 -0.17577  0.36066 -0.20275 -0.37166 -0.90489 -0.88868 -0.46754
5   7  13  150982   5.0000 21:20:09 -2.42347791105E+05 -2.41821351199E+05  0.39683  0.22463  0.54296 -0.18649  0.35484 -0.22659 -0.32706 -0.90489 -0.88868 -0.46754
5   7  13  152000   3.9001 21:20:09 -2.41890598546E+05 -2.41821351199E+05  0.39683  0.22463  0.54296 -0.18649  0.35484 -0.22659 -0.32706 -0.90489 -0.88868 -0.46754
5   7  14  168640   4.4000 22:20:09 -2.42030366446E+05 -2.41821351199E+05  0.37948  0.22905  0.54460 -0.18221  0.35716 -0.21220 -0.34789 -0.90489 -0.88868 -0.46754
5   7  15  176697   4.9000 22:20:09 -2.42073229495E+05 -2.41821351199E+05  0.36088  0.23512  0.54663 -0.17695  0.36002 -0.19704 -0.38143 -0.90489 -0.88868 -0.46754
5   7  15  180000   4.2245 23:20:09 -2.42005895298E+05 -2.41821351199E+05  0.38716  0.22670  0.54403 -0.18371  0.35635 -0.22417 -0.33748 -0.90489 -0.88868 -0.46754
5   7  16  194408   4.1000 24:20:09 -2.42029930557E+05 -2.41821351199E+05  0.37191  0.23053  0.54515 -0.18078  0.35794 -0.20321 -0.35544 -0.90489 -0.88868 -0.46754
5   7  17  202493   4.4000 24:20:09 -2.41986601756E+05 -2.41821351199E+05  0.37205  0.23331  0.54561 -0.17959  0.35859 -0.21267 -0.36310 -0.90489 -0.88868 -0.46754
5   7  17  208000   3.8009 25:20:09 -2.42168520755E+05 -2.41821351199E+05  0.38074  0.22942  0.54459 -0.18224  0.35715 -0.21292 -0.34975 -0.90489 -0.88868 -0.46754
5   7  18  220265   2.1000 26:20:09 -2.41888977129E+05 -2.41821351199E+05  0.36964  0.23502  0.54612 -0.17827  0.35931 -0.21181 -0.37272 -0.90489 -0.88868 -0.46754
5   7  19  228418   3.1000 26:20:09 -2.41821351199E+05 -2.41821351199E+05  0.37644  0.23141  0.54511 -0.18090  0.35787 -0.20892 -0.35937 -0.90489 -0.88868 -0.46754
5   7  19  236000   3.0073 27:20:09 -2.42001824073E+05 -2.41821351199E+05  0.36364  0.23559  0.54663 -0.17694  0.36003 -0.20392 -0.38076 -0.90489 -0.88868 -0.46754
5   7  20  246209   2.4000 28:20:09 -2.41988677221E+05 -2.41821351199E+05  0.37834  0.23064  0.54509 -0.18094  0.35785 -0.21508 -0.35634 -0.90489 -0.88868 -0.46754
