K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6
6   2   1       0   1.0000 02:22:09 -3.08796363362E+05 -3.08796363362E+05  0.29430 -0.00851 -0.05917 -0.12148  0.10235 -0.14511 -0.23990 -0.11078 -0.18781 -0.19294 -0.17438 -0.14776
6   2   1     100   2.9412 02:22:09 -3.08433202372E+05 -3.08412647289E+05  0.29430 -0.00851 -0.05917 -0.12148  0.10235 -0.14511 -0.23990 -0.11078 -0.18781 -0.19294 -0.17438 -0.14776
6   2   1     200  33.0049 02:22:09 -2.65489553842E+05 -2.65353043984E+05  0.29430 -0.12148 -0.00851 -0.05917 -0.14511  0.10235 -0.23990 -0.19294 -0.11078 -0.18781 -0.14776 -0.17438
6   2   1     400  34.9876 02:22:09 -2.56276657279E+05 -2.55374566814E+05  0.29430  0.10235 -0.00851 -0.12148 -0.14511 -0.05917 -0.23990 -0.17438 -0.11078 -0.19294 -0.14776 -0.18781
6   2   1     800  29.2653 02:22:09 -2.57486467402E+05 -2.53499311154E+05  0.29430  0.10235 -0.00851 -0.05917 -0.14511 -0.12148 -0.23990 -0.17438 -0.11078 -0.18781 -0.14776 -0.19294
6   2   1    1600  28.3219 02:22:09 -2.55662383452E+05 -2.52300180718E+05  0.10235  0.29430 -0.00851 -0.14511 -0.05917 -0.12148 -0.17438 -0.23990 -0.11078 -0.14776 -0.18781 -0.19294
6   2   1    3200  29.2226 02:22:09 -2.52604114791E+05 -2.50936566940E+05  0.10235 -0.12148  0.29430 -0.05917 -0.14511 -0.00851 -0.17438 -0.19294 -0.23990 -0.18781 -0.14776 -0.11078
6   2   1    6400  28.5960 02:22:09 -2.58886439724E+05 -2.50936566940E+05  0.32776  0.36819 -0.02607  0.31946  0.37399 -0.03754 -0.20336 -0.22935 -0.87740 -0.28576 -0.30241 -0.91908
6   2   1   12800  30.5319 02:22:09 -2.60186427844E+05 -2.50304099652E+05  0.30886  0.39301  0.48014  0.04278  0.03995  0.03568 -0.11074 -0.24163 -0.20605 -0.94163 -0.87603 -0.84198
6   2   2   25600  23.5594 03:22:09 -2.54031515691E+05 -2.49112050992E+05  1.00000  0.34270  0.44234 -0.00573 -0.00917  0.35401  0.00000 -0.29440 -0.23141 -0.87961 -0.89611 -0.16380
6   2   3   40000  14.8378 04:22:09 -2.49445225537E+05 -2.48827439045E+05  0.38905  0.28652 -0.10514  1.00000  1.00000  0.11238 -0.18750 -0.27597 -0.90061  0.00000  0.00000 -0.07927
6   2   3   51200  14.3834 04:22:09 -2.53899826000E+05 -2.48827439045E+05  0.34174  1.00000  0.40645  1.00000 -0.07980  0.40613 -0.23230  0.00000 -0.56845  0.00000 -0.88659 -0.44760
6   2   4   72000  13.0208 06:22:09 -2.51580525572E+05 -2.47795398072E+05  0.45486  1.00000  0.44716 -0.00365  0.34744 -0.00092 -0.46754  0.00000 -0.23199 -0.88343 -0.33409 -0.88356
6   2   5  102400   6.6067 07:22:09 -2.50537477308E+05 -2.46649108905E+05  0.36551  1.00000 -0.13892  0.25574  0.40871  0.25991 -0.22483  0.00000 -0.88868 -0.28696 -0.54133 -0.40607
6   2   5  108000   8.0125 08:22:09 -2.48555577047E+05 -2.46649108905E+05  0.39066  0.27537  1.00000 -0.10645  1.00000  0.39840 -0.22485 -0.33190  0.00000 -0.88343  0.00000 -0.46754
6   2   6  110792   6.6000 08:22:09 -2.45822910661E+05 -2.44874071087E+05  0.39066  0.27537  1.00000 -0.10645  1.00000  0.39840 -0.22485 -0.33190  0.00000 -0.88343  0.00000 -0.46754
