Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6
   1  1.4228E-02    0.733390    0.133390  0.2664 -0.2351  0.1195  0.1129  0.1714  0.2064  0.1979  0.1572  0.1493  0.1441  0.1584  0.1931
   2  5.7262E-03    0.607518    0.265756  0.3578 -0.1871  0.1675  0.1725  0.2540  0.2108  0.2336  0.1812  0.1315  0.1063  0.1381  0.2094
   3  5.2788E-03    0.501230    0.262112  0.4094 -0.1755  0.2249  0.2182  0.3632  0.2237  0.2614  0.1808  0.1402  0.0874  0.1363  0.1939
   4  4.0449E-03    0.388531    0.283125  0.4262 -0.1668  0.2785  0.2762  0.4295  0.2353  0.2751  0.1760  0.1439  0.0831  0.1419  0.1800
   5  7.4368E-04    0.330368    0.301071  0.4318 -0.1612  0.3150  0.2936  0.4499  0.2451  0.2863  0.1749  0.1446  0.0728  0.1401  0.1812
   6  2.3707E-04    0.302210    0.303885  0.4341 -0.1573  0.3368  0.2937  0.4551  0.2523  0.2944  0.1745  0.1414  0.0669  0.1365  0.1864
   7  1.1967E-04    0.285650    0.303532  0.4351 -0.1548  0.3487  0.2911  0.4562  0.2569  0.2998  0.1741  0.1376  0.0643  0.1332  0.1911
   8  7.1432E-05    0.274381    0.303096  0.4351 -0.1538  0.3550  0.2915  0.4560  0.2596  0.3033  0.1735  0.1345  0.0635  0.1307  0.1944
   9  4.0823E-05    0.266357    0.303488  0.4349 -0.1535  0.3584  0.2929  0.4555  0.2613  0.3057  0.1733  0.1322  0.0633  0.1288  0.1967
  10  2.5121E-05    0.260356    0.304403  0.4346 -0.1534  0.3605  0.2939  0.4550  0.2625  0.3074  0.1732  0.1307  0.0632  0.1273  0.1981
  11  1.5903E-05    0.255801    0.305530  0.4344 -0.1533  0.3619  0.2945  0.4547  0.2635  0.3087  0.1732  0.1296  0.0632  0.1263  0.1990
  12  1.0467E-05    0.252259    0.306647  0.4341 -0.1533  0.3630  0.2949  0.4544  0.2642  0.3097  0.1732  0.1289  0.0632  0.1254  0.1995
  13  6.7823E-06    0.249506    0.307725  0.4339 -0.1533  0.3637  0.2951  0.4541  0.2649  0.3104  0.1732  0.1285  0.0632  0.1248  0.1998
  14  4.8656E-06    0.247342    0.308678  0.4337 -0.1533  0.3644  0.2953  0.4539  0.2654  0.3111  0.1732  0.1282  0.0633  0.1243  0.1999
  15  3.0140E-06    0.245540    0.309544  0.4336 -0.1534  0.3648  0.2954  0.4538  0.2658  0.3115  0.1733  0.1281  0.0633  0.1239  0.1999
  16  2.2744E-06    0.244097    0.310281  0.4334 -0.1534  0.3651  0.2954  0.4536  0.2661  0.3119  0.1733  0.1281  0.0633  0.1235  0.1998
  17  1.6950E-06    0.242890    0.310928  0.4332 -0.1534  0.3654  0.2955  0.4535  0.2664  0.3123  0.1733  0.1281  0.0634  0.1232  0.1997
  18  1.2466E-06    0.241968    0.311411  0.4331 -0.1535  0.3656  0.2955  0.4534  0.2667  0.3125  0.1733  0.1281  0.0634  0.1230  0.1996
  19  1.0463E-06    0.241142    0.311864  0.4329 -0.1535  0.3658  0.2955  0.4533  0.2669  0.3127  0.1733  0.1282  0.0635  0.1228  0.1994
  20  8.5340E-07    0.240483    0.312211  0.4328 -0.1536  0.3659  0.2954  0.4533  0.2671  0.3130  0.1733  0.1282  0.0635  0.1227  0.1993
  21  6.4871E-07    0.239955    0.312491  0.4326 -0.1536  0.3660  0.2954  0.4532  0.2672  0.3132  0.1734  0.1284  0.0636  0.1225  0.1990
  22  4.3792E-07    0.239800    0.312517  0.4325 -0.1537  0.3661  0.2953  0.4531  0.2674  0.3134  0.1734  0.1285  0.0637  0.1225  0.1986
  23  4.1039E-07    0.239564    0.312599  0.4323 -0.1537  0.3661  0.2952  0.4531  0.2675  0.3136  0.1734  0.1286  0.0637  0.1224  0.1983
  24  3.0530E-07    0.239419    0.312610  0.4322 -0.1537  0.3662  0.2951  0.4530  0.2675  0.3137  0.1734  0.1287  0.0638  0.1223  0.1980
  25  2.7100E-07    0.239253    0.312640  0.4321 -0.1538  0.3662  0.2950  0.4530  0.2676  0.3139  0.1734  0.1288  0.0638  0.1223  0.1978
  26  2.5647E-07    0.239051    0.312699  0.4319 -0.1538  0.3662  0.2949  0.4529  0.2677  0.3140  0.1734  0.1289  0.0639  0.1222  0.1976
  27  2.3231E-07    0.238850    0.312760  0.4318 -0.1539  0.3662  0.2947  0.4529  0.2678  0.3141  0.1735  0.1289  0.0639  0.1222  0.1974
  28  2.3560E-07    0.238584    0.312870  0.4317 -0.1539  0.3661  0.2946  0.4528  0.2678  0.3141  0.1735  0.1290  0.0640  0.1221  0.1972
  29  1.8603E-07    0.238469    0.312874  0.4315 -0.1540  0.3661  0.2944  0.4528  0.2679  0.3142  0.1735  0.1290  0.0641  0.1221  0.1970
  30  1.9481E-07    0.238294    0.312918  0.4314 -0.1540  0.3661  0.2942  0.4528  0.2679  0.3143  0.1736  0.1291  0.0641  0.1221  0.1969
  31  1.9501E-07    0.238089    0.312985  0.4313 -0.1541  0.3660  0.2940  0.4527  0.2679  0.3143  0.1736  0.1291  0.0642  0.1220  0.1967
  32  1.9182E-07    0.237890    0.313043  0.4312 -0.1541  0.3660  0.2939  0.4527  0.2679  0.3144  0.1737  0.1292  0.0642  0.1220  0.1965
  33  1.8647E-07    0.237729    0.313060  0.4311 -0.1542  0.3659  0.2937  0.4526  0.2679  0.3144  0.1737  0.1292  0.0643  0.1220  0.1964
