Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7
   1  1.0381E-02    0.772827    0.121905  0.2591 -0.2435  0.1091  0.0939  0.1555  0.1916  0.0943  0.1749  0.1447  0.1323  0.1249  0.1381  0.1595  0.1256
   2  5.2926E-03    0.645970    0.280211  0.3503 -0.2020  0.1591  0.1417  0.2280  0.1923  0.1224  0.2145  0.1811  0.1234  0.0914  0.1215  0.1749  0.0931
   3  4.4985E-03    0.543009    0.281220  0.4048 -0.1878  0.2257  0.1804  0.3418  0.2042  0.0926  0.2500  0.1832  0.1419  0.0747  0.1205  0.1590  0.0707
   4  4.0322E-03    0.425867    0.297034  0.4231 -0.1735  0.2793  0.2584  0.4216  0.2198  0.0569  0.2639  0.1801  0.1503  0.0748  0.1300  0.1453  0.0555
   5  1.0329E-03    0.353330    0.321504  0.4293 -0.1645  0.3132  0.2847  0.4453  0.2354  0.0542  0.2705  0.1765  0.1525  0.0707  0.1312  0.1480  0.0505
   6  2.8667E-04    0.320061    0.325116  0.4314 -0.1601  0.3319  0.2850  0.4506  0.2459  0.0705  0.2756  0.1759  0.1499  0.0657  0.1288  0.1546  0.0494
   7  1.6884E-04    0.299662    0.323793  0.4326 -0.1577  0.3416  0.2816  0.4516  0.2531  0.0937  0.2788  0.1753  0.1459  0.0638  0.1264  0.1605  0.0493
   8  1.1319E-04    0.285341    0.322303  0.4329 -0.1577  0.3454  0.2809  0.4509  0.2570  0.1245  0.2807  0.1746  0.1422  0.0631  0.1244  0.1648  0.0503
   9  6.9900E-05    0.274880    0.321722  0.4329 -0.1583  0.3465  0.2795  0.4498  0.2594  0.1532  0.2820  0.1745  0.1389  0.0622  0.1228  0.1678  0.0518
  10  3.5846E-05    0.267256    0.322026  0.4332 -0.1582  0.3471  0.2791  0.4491  0.2614  0.1726  0.2832  0.1744  0.1365  0.0617  0.1216  0.1702  0.0525
  11  2.0208E-05    0.261611    0.322512  0.4334 -0.1581  0.3473  0.2788  0.4487  0.2628  0.1876  0.2842  0.1743  0.1348  0.0613  0.1206  0.1719  0.0530
  12  1.2035E-05    0.257294    0.323086  0.4334 -0.1582  0.3474  0.2787  0.4482  0.2637  0.1992  0.2850  0.1742  0.1335  0.0611  0.1199  0.1732  0.0533
  13  8.0926E-06    0.253903    0.323647  0.4333 -0.1583  0.3474  0.2785  0.4478  0.2642  0.2082  0.2857  0.1742  0.1325  0.0608  0.1192  0.1741  0.0534
  14  5.0222E-06    0.251344    0.324086  0.4331 -0.1584  0.3473  0.2784  0.4474  0.2646  0.2150  0.2862  0.1741  0.1319  0.0607  0.1187  0.1751  0.0535
  15  4.0192E-06    0.249175    0.324453  0.4329 -0.1586  0.3471  0.2782  0.4471  0.2647  0.2203  0.2867  0.1740  0.1314  0.0605  0.1183  0.1757  0.0535
  16  3.0779E-06    0.247437    0.324645  0.4327 -0.1589  0.3470  0.2780  0.4467  0.2647  0.2249  0.2871  0.1739  0.1310  0.0603  0.1179  0.1763  0.0535
  17  2.6040E-06    0.245904    0.324844  0.4325 -0.1592  0.3468  0.2777  0.4463  0.2645  0.2285  0.2874  0.1738  0.1308  0.0601  0.1175  0.1767  0.0536
  18  1.4838E-06    0.244774    0.325083  0.4324 -0.1593  0.3467  0.2775  0.4461  0.2645  0.2305  0.2878  0.1737  0.1306  0.0600  0.1172  0.1771  0.0535
  19  1.0211E-06    0.243779    0.325220  0.4324 -0.1593  0.3467  0.2774  0.4459  0.2646  0.2316  0.2883  0.1736  0.1304  0.0598  0.1169  0.1776  0.0533
  20  7.5308E-07    0.242906    0.325272  0.4324 -0.1592  0.3467  0.2774  0.4457  0.2647  0.2326  0.2887  0.1736  0.1303  0.0597  0.1166  0.1779  0.0531
  21  5.7201E-07    0.242336    0.325085  0.4324 -0.1591  0.3467  0.2773  0.4455  0.2648  0.2333  0.2891  0.1735  0.1303  0.0595  0.1163  0.1782  0.0530
  22  5.5947E-07    0.241808    0.324845  0.4325 -0.1590  0.3468  0.2772  0.4454  0.2649  0.2336  0.2895  0.1734  0.1303  0.0594  0.1161  0.1785  0.0528
  23  3.4312E-07    0.241235    0.324511  0.4325 -0.1589  0.3468  0.2771  0.4452  0.2650  0.2339  0.2898  0.1733  0.1303  0.0592  0.1158  0.1788  0.0527
  24  1.3067E-06    0.240850    0.324393  0.4326 -0.1588  0.3468  0.2769  0.4450  0.2652  0.2346  0.2904  0.1733  0.1302  0.0590  0.1154  0.1789  0.0528
  25  2.8265E-07    0.240565    0.324084  0.4327 -0.1587  0.3468  0.2768  0.4449  0.2653  0.2348  0.2908  0.1732  0.1301  0.0589  0.1152  0.1791  0.0527
  26  2.1890E-07    0.240265    0.323762  0.4328 -0.1585  0.3467  0.2767  0.4447  0.2655  0.2348  0.2911  0.1731  0.1300  0.0588  0.1150  0.1792  0.0527
  27  1.1067E-07    0.239938    0.323414  0.4328 -0.1584  0.3467  0.2766  0.4446  0.2656  0.2346  0.2914  0.1730  0.1300  0.0586  0.1148  0.1794  0.0527
