K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7
7  10   1       0   1.0000 56:29:09 -3.13965544998E+05 -3.13965544998E+05  0.28801  0.02457 -0.03364 -0.02702 -0.19040  0.00119 -0.03047 -0.16217 -0.14371 -0.13771 -0.16687 -0.22446 -0.15822 -0.15123
7  10   1     100   1.9802 56:29:09 -3.13242033434E+05 -3.13242033434E+05  0.28801  0.02457 -0.03364 -0.02702 -0.19040  0.00119 -0.03047 -0.16217 -0.14371 -0.13771 -0.16687 -0.22446 -0.15822 -0.15123
7  10   1     200  30.8824 56:29:09 -2.78062767750E+05 -2.77927767717E+05 -0.03364  0.28801  0.02457 -0.02702  0.00119 -0.19040 -0.03047 -0.13771 -0.16217 -0.14371 -0.16687 -0.15822 -0.22446 -0.15123
7  10   1     400  31.6832 56:29:09 -2.60406671642E+05 -2.59662907054E+05  0.28801 -0.02702 -0.03364 -0.03047 -0.19040  0.00119  0.02457 -0.16217 -0.16687 -0.13771 -0.15123 -0.22446 -0.15822 -0.14371
7  10   1     800  30.2239 56:29:09 -2.60063044397E+05 -2.55331692844E+05 -0.02702  0.02457  0.28801 -0.19040 -0.03047 -0.03364  0.00119 -0.16687 -0.14371 -0.16217 -0.22446 -0.15123 -0.13771 -0.15822
7  10   1    1600  28.9277 56:29:09 -2.56886021014E+05 -2.53830156222E+05 -0.02702  0.02457  0.28801 -0.03364 -0.19040 -0.03047  0.00119 -0.16687 -0.14371 -0.16217 -0.13771 -0.22446 -0.15123 -0.15822
7  10   1    3200  27.5281 56:29:09 -2.56785595448E+05 -2.53830156222E+05 -0.02702  0.02457 -0.03047 -0.03364 -0.19040  0.28801  0.00119 -0.16687 -0.14371 -0.15123 -0.13771 -0.22446 -0.16217 -0.15822
7  10   1    6400  26.2024 56:29:09 -2.56192073535E+05 -2.52271262502E+05  0.42376  0.48790  0.36540  0.02081  0.02093  0.01173  0.39102 -0.22096 -0.54133 -0.34668 -0.96284 -0.74986 -0.89744 -0.33868
7  10   1   12800  26.0544 56:29:09 -2.56173888701E+05 -2.52271262502E+05  0.41194  0.43394  0.02049  0.02763  0.02507  0.31344  0.38035 -0.24484 -0.49460 -0.87526 -0.93487 -0.86300 -0.15321 -0.24321
7  10   2   25600  22.9959 57:29:09 -2.57746527228E+05 -2.52106763115E+05  0.39533  0.38619  0.31260  1.00000 -0.04812 -0.04865  0.40611 -0.28776 -0.26629 -0.31591  0.00000 -0.90464 -0.81484 -0.21803
7  10   2   36000  23.4662 58:29:09 -2.50769882972E+05 -2.49914459193E+05  0.53792  0.39175  0.36733 -0.04276  1.00000 -0.04358  0.35440 -0.32080 -0.23203 -0.45917 -0.91021  0.00000 -0.89142 -0.24615
7  10   3   51200  16.9237 58:29:09 -2.54942430683E+05 -2.49251499607E+05  0.37533  0.27565  1.00000 -0.10568  1.00000  1.00000  0.39898 -0.23370 -0.29529  0.00000 -0.88931  0.00000  0.00000 -0.46754
7  10   4   76000   5.8568 00:30:09 -2.54564520903E+05 -2.49251499607E+05  0.49544  0.40057  0.00914  0.01475  1.00000  1.00000  0.46280 -0.66228 -0.24592 -0.91820 -0.88388  0.00000  0.00000 -0.46754
7  10   4  102400   7.4383 01:30:09 -2.55018491367E+05 -2.48035571733E+05  0.24011  0.55812  0.28853 -0.14413  0.41835  1.00000  1.00000 -0.27328 -0.90489 -0.22384 -0.89133 -0.68709  0.00000  0.00000
7  10   5  103501  17.1000 01:30:09 -2.59998173064E+05 -2.48035571733E+05  0.24011  0.55812  0.28853 -0.14413  0.41835  1.00000  1.00000 -0.27328 -0.90489 -0.22384 -0.89133 -0.68709  0.00000  0.00000
7  10   5  112000  14.7600 02:30:09 -2.49536674792E+05 -2.48035571733E+05  0.46370  1.00000  0.55954  1.00000 -0.14378  0.28805  0.37810 -0.86870  0.00000 -0.90511  0.00000 -0.88343 -0.22761 -0.46754
7  10   6  126166   9.6000 02:30:09 -2.53715486747E+05 -2.48035571733E+05  0.32530  1.00000 -0.06388 -0.05920  0.59008  0.54614  0.46153 -0.21200  0.00000 -0.89607 -0.95101 -0.90052 -0.87945 -0.56210
7  10   7  134154  13.2000 03:30:09 -2.52161838094E+05 -2.48035571733E+05  0.39998  1.00000 -0.10427  0.27864  1.00000  0.39796  1.00000 -0.23236  0.00000 -0.89778 -0.34021  0.00000 -0.46754  0.00000
7  10   7  144000  11.9263 04:30:09 -2.50319984031E+05 -2.46805926779E+05  0.34874  1.00000  0.54819 -0.17291  1.00000  0.24279  0.36222 -0.20478  0.00000 -0.90489 -0.88868  0.00000 -0.40136 -0.46754
7  10   8  168303   5.1000 05:30:09 -2.48285099631E+05 -2.46709988990E+05  1.00000  0.27595  0.40321 -0.10951  1.00000  0.42744  1.00000  0.00000 -0.33533 -0.23073 -0.88372  0.00000 -0.54822  0.00000
7  10   9  179662   0.5000 05:30:09 -2.49590082231E+05 -2.46709988990E+05  0.29627  0.41425  0.55820 -0.14675  1.00000  1.00000  0.40803 -0.23851 -0.66228 -0.90489 -0.91880  0.00000  0.00000 -0.54822
7  10   9  180000   0.4184 06:30:09 -2.48938932966E+05 -2.46709988990E+05  0.29627  0.41425  0.55820 -0.14675  1.00000  1.00000  0.40803 -0.23851 -0.66228 -0.90489 -0.91880  0.00000  0.00000 -0.54822
7  10  10  200112   0.0000 06:30:09 -2.48938932966E+05 -2.46709988990E+05  0.29825  0.41396  0.55798 -0.14733  1.00000  1.00000  0.37604 -0.24160 -0.66228 -0.90489 -0.91880  0.00000  0.00000 -0.46754
7  10  11  200903   0.0000 06:30:09 -2.48938932966E+05 -2.46709988990E+05  0.29825  0.41396  0.55798 -0.14733  1.00000  1.00000  0.37604 -0.24160 -0.66228 -0.90489 -0.91880  0.00000  0.00000 -0.46754
7  10  12  201687   0.1000 06:30:09 -2.49372851521E+05 -2.46709988990E+05  0.29825  0.41396  0.55798 -0.14733  1.00000  1.00000  0.37604 -0.24160 -0.66228 -0.90489 -0.91880  0.00000  0.00000 -0.46754
7  10  13  202467   0.1000 06:30:09 -2.48938932966E+05 -2.46709988990E+05  0.29825  0.41396  0.55798 -0.14733  1.00000  1.00000  0.37604 -0.24160 -0.66228 -0.90489 -0.91880  0.00000  0.00000 -0.46754
7  10  14  203258   0.0000 06:30:09 -2.48938932966E+05 -2.46709988990E+05  0.29825  0.41396  0.55798 -0.14733  1.00000  1.00000  0.37604 -0.24160 -0.66228 -0.90489 -0.91880  0.00000  0.00000 -0.46754
7  10 200  204050   0.0000 06:30:09 -2.46709988990E+05 -2.46709988990E+05  0.29825  1.00000  0.41396 -0.14733  1.00000  0.55798  0.37604 -0.24160  0.00000 -0.66228 -0.91880  0.00000 -0.90489 -0.46754
