Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7
   1  8.1744E-03    0.789231    0.088368  0.2523 -0.2291  0.1065  0.0885  0.1552  0.2043  0.0424  0.1737  0.1264  0.1340  0.1266  0.1409  0.1767  0.1218
   2  6.5923E-03    0.651414    0.266988  0.3571 -0.1856  0.1685  0.1349  0.2391  0.2147  0.0560  0.2121  0.1678  0.1273  0.0901  0.1259  0.2011  0.0758
   3  5.0138E-03    0.541282    0.270751  0.4164 -0.1688  0.2442  0.1695  0.3564  0.2286  0.0170  0.2477  0.1700  0.1495  0.0718  0.1251  0.1827  0.0533
   4  3.9639E-03    0.420107    0.291009  0.4377 -0.1501  0.2990  0.2551  0.4355  0.2472 -0.0381  0.2609  0.1665  0.1600  0.0707  0.1340  0.1688  0.0392
   5  9.9834E-04    0.347259    0.312403  0.4478 -0.1341  0.3343  0.2882  0.4614  0.2655 -0.0674  0.2690  0.1635  0.1616  0.0656  0.1341  0.1751  0.0312
   6  2.9817E-04    0.314638    0.314865  0.4494 -0.1313  0.3506  0.2966  0.4655  0.2723 -0.0216  0.2750  0.1625  0.1584  0.0591  0.1310  0.1846  0.0293
   7  1.2908E-04    0.295993    0.312179  0.4514 -0.1266  0.3608  0.3123  0.4672  0.2780  0.0053  0.2799  0.1624  0.1543  0.0560  0.1284  0.1927  0.0263
   8  7.1073E-05    0.283741    0.309352  0.4537 -0.1213  0.3670  0.3261  0.4687  0.2826  0.0185  0.2841  0.1624  0.1502  0.0550  0.1262  0.1987  0.0234
   9  4.6400E-05    0.274816    0.307734  0.4553 -0.1176  0.3703  0.3338  0.4696  0.2855  0.0325  0.2876  0.1625  0.1466  0.0544  0.1246  0.2027  0.0215
  10  2.9373E-05    0.268021    0.307071  0.4563 -0.1150  0.3721  0.3376  0.4702  0.2875  0.0445  0.2906  0.1624  0.1436  0.0542  0.1233  0.2054  0.0205
  11  1.9356E-05    0.262475    0.307295  0.4569 -0.1133  0.3732  0.3396  0.4704  0.2889  0.0542  0.2930  0.1624  0.1413  0.0540  0.1222  0.2072  0.0200
  12  1.3391E-05    0.258282    0.307669  0.4573 -0.1120  0.3739  0.3407  0.4705  0.2899  0.0615  0.2949  0.1623  0.1395  0.0540  0.1213  0.2083  0.0197
  13  9.1137E-06    0.254820    0.308194  0.4576 -0.1111  0.3745  0.3413  0.4706  0.2908  0.0666  0.2965  0.1623  0.1383  0.0539  0.1205  0.2090  0.0196
  14  6.5308E-06    0.252015    0.308792  0.4578 -0.1103  0.3751  0.3417  0.4706  0.2915  0.0705  0.2977  0.1622  0.1374  0.0539  0.1199  0.2094  0.0195
  15  5.8820E-06    0.249481    0.309411  0.4579 -0.1097  0.3755  0.3419  0.4706  0.2922  0.0732  0.2988  0.1621  0.1368  0.0539  0.1193  0.2095  0.0194
  16  3.4916E-06    0.247429    0.309941  0.4580 -0.1092  0.3759  0.3421  0.4706  0.2928  0.0750  0.2997  0.1621  0.1364  0.0538  0.1189  0.2097  0.0194
  17  2.2018E-06    0.245799    0.310336  0.4581 -0.1086  0.3762  0.3422  0.4706  0.2933  0.0762  0.3004  0.1621  0.1361  0.0538  0.1185  0.2099  0.0193
  18  1.5734E-06    0.244463    0.310694  0.4582 -0.1082  0.3764  0.3423  0.4706  0.2938  0.0771  0.3010  0.1620  0.1358  0.0537  0.1182  0.2101  0.0192
  19  1.0042E-06    0.243273    0.310968  0.4582 -0.1079  0.3766  0.3423  0.4706  0.2942  0.0777  0.3014  0.1620  0.1355  0.0537  0.1179  0.2104  0.0191
  20  8.3798E-07    0.242128    0.311154  0.4583 -0.1075  0.3768  0.3423  0.4706  0.2946  0.0779  0.3018  0.1619  0.1353  0.0537  0.1176  0.2107  0.0191
  21  6.8353E-07    0.241114    0.311257  0.4584 -0.1071  0.3769  0.3423  0.4705  0.2950  0.0779  0.3022  0.1619  0.1351  0.0536  0.1172  0.2109  0.0190
  22  9.0390E-07    0.240378    0.311407  0.4585 -0.1067  0.3770  0.3423  0.4705  0.2953  0.0777  0.3027  0.1619  0.1349  0.0536  0.1170  0.2110  0.0189
  23  8.5728E-07    0.239735    0.311401  0.4586 -0.1064  0.3771  0.3423  0.4705  0.2957  0.0773  0.3033  0.1619  0.1347  0.0535  0.1167  0.2111  0.0188
  24  4.1835E-07    0.239190    0.311189  0.4587 -0.1060  0.3772  0.3423  0.4705  0.2960  0.0769  0.3037  0.1618  0.1347  0.0534  0.1165  0.2112  0.0187
  25  1.9542E-07    0.238749    0.310971  0.4587 -0.1057  0.3773  0.3422  0.4704  0.2963  0.0765  0.3040  0.1618  0.1346  0.0534  0.1163  0.2113  0.0187
  26  7.8545E-07    0.238460    0.310763  0.4588 -0.1054  0.3774  0.3422  0.4704  0.2966  0.0758  0.3045  0.1618  0.1345  0.0533  0.1161  0.2113  0.0186
  27  1.5112E-07    0.238127    0.310431  0.4589 -0.1051  0.3775  0.3421  0.4703  0.2969  0.0753  0.3048  0.1618  0.1344  0.0533  0.1159  0.2114  0.0185
  28  3.5636E-07    0.237811    0.310152  0.4589 -0.1048  0.3776  0.3421  0.4703  0.2972  0.0745  0.3051  0.1617  0.1343  0.0532  0.1157  0.2115  0.0184
  29  3.2774E-07    0.237451    0.309818  0.4590 -0.1045  0.3776  0.3420  0.4703  0.2975  0.0738  0.3055  0.1617  0.1342  0.0532  0.1154  0.2116  0.0183
  30  1.5874E-07    0.237071    0.309549  0.4590 -0.1042  0.3777  0.3420  0.4702  0.2977  0.0732  0.3058  0.1617  0.1341  0.0531  0.1152  0.2117  0.0183
  31  1.0533E-07    0.236632    0.309151  0.4591 -0.1040  0.3777  0.3420  0.4702  0.2980  0.0725  0.3061  0.1617  0.1340  0.0531  0.1150  0.2119  0.0182
  32  1.4391E-07    0.236233    0.308695  0.4591 -0.1037  0.3777  0.3419  0.4701  0.2981  0.0717  0.3064  0.1617  0.1339  0.0531  0.1148  0.2121  0.0182
  33  5.2191E-07    0.235876    0.308315  0.4592 -0.1034  0.3778  0.3419  0.4701  0.2984  0.0708  0.3068  0.1616  0.1337  0.0530  0.1146  0.2122  0.0181
  34  1.5252E-07    0.235532    0.307935  0.4593 -0.1031  0.3778  0.3418  0.4700  0.2986  0.0701  0.3071  0.1616  0.1335  0.0530  0.1144  0.2124  0.0180
  35  1.2036E-07    0.235055    0.307536  0.4593 -0.1028  0.3778  0.3418  0.4700  0.2988  0.0693  0.3074  0.1616  0.1334  0.0529  0.1142  0.2126  0.0179
  36  4.4726E-07    0.234631    0.307238  0.4594 -0.1025  0.3778  0.3417  0.4699  0.2990  0.0684  0.3078  0.1616  0.1331  0.0528  0.1140  0.2127  0.0179
  37  3.6647E-07    0.234276    0.306809  0.4595 -0.1022  0.3779  0.3417  0.4699  0.2993  0.0675  0.3082  0.1616  0.1329  0.0528  0.1138  0.2129  0.0178
  38  2.1515E-07    0.233790    0.306520  0.4596 -0.1019  0.3779  0.3417  0.4698  0.2995  0.0668  0.3086  0.1616  0.1327  0.0527  0.1136  0.2131  0.0177
  39  7.0653E-08    0.233421    0.306028  0.4596 -0.1017  0.3779  0.3416  0.4698  0.2997  0.0659  0.3089  0.1616  0.1326  0.0527  0.1134  0.2133  0.0177
