Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8
   1  5.3509E-03    0.823206    0.057628  0.2455 -0.2232  0.0881  0.0670  0.1487  0.1969  0.0236  0.0775  0.1604  0.1056  0.1170  0.1098  0.1251  0.1639  0.1063  0.1119
   2  6.6620E-03    0.679724    0.275068  0.3474 -0.1925  0.1219  0.0908  0.2304  0.2059  0.0268  0.1054  0.1989  0.1725  0.0992  0.0786  0.1166  0.1838  0.0675  0.0829
   3  4.2467E-03    0.575434    0.284138  0.4157 -0.1673  0.2001  0.0739  0.3582  0.2298 -0.0002  0.0930  0.2338  0.1706  0.1130  0.0594  0.1216  0.1875  0.0504  0.0638
   4  2.8670E-03    0.465915    0.308448  0.4352 -0.1564  0.2647  0.1089  0.4328  0.2448 -0.0023  0.0999  0.2496  0.1714  0.1228  0.0493  0.1333  0.1825  0.0394  0.0517
   5  9.2625E-04    0.401543    0.326941  0.4431 -0.1466  0.3084  0.1775  0.4565  0.2581  0.0183  0.0931  0.2537  0.1685  0.1267  0.0483  0.1340  0.1881  0.0359  0.0448
   6  6.3243E-04    0.358647    0.326051  0.4501 -0.1341  0.3360  0.2479  0.4653  0.2702  0.0008  0.0799  0.2592  0.1653  0.1255  0.0503  0.1313  0.1980  0.0317  0.0387
   7  3.9291E-04    0.329366    0.325646  0.4541 -0.1264  0.3509  0.2857  0.4688  0.2776 -0.0267  0.1053  0.2635  0.1645  0.1228  0.0510  0.1290  0.2059  0.0264  0.0369
   8  2.0653E-04    0.309307    0.327065  0.4537 -0.1267  0.3564  0.2956  0.4681  0.2789 -0.0030  0.1269  0.2661  0.1639  0.1201  0.0509  0.1272  0.2108  0.0246  0.0364
   9  6.1022E-05    0.297849    0.328376  0.4530 -0.1278  0.3589  0.2980  0.4672  0.2794  0.0255  0.1327  0.2682  0.1638  0.1181  0.0503  0.1258  0.2139  0.0247  0.0351
  10  2.1126E-05    0.291200    0.329347  0.4534 -0.1269  0.3614  0.2992  0.4671  0.2809  0.0348  0.1390  0.2706  0.1637  0.1167  0.0499  0.1247  0.2160  0.0244  0.0340
  11  1.1154E-05    0.286588    0.330188  0.4538 -0.1258  0.3633  0.2994  0.4671  0.2824  0.0387  0.1447  0.2726  0.1637  0.1158  0.0496  0.1237  0.2173  0.0242  0.0331
  12  7.5554E-06    0.283302    0.330593  0.4543 -0.1246  0.3649  0.2993  0.4672  0.2838  0.0385  0.1509  0.2744  0.1636  0.1153  0.0493  0.1229  0.2181  0.0238  0.0325
  13  7.2186E-06    0.280844    0.330884  0.4549 -0.1232  0.3665  0.2991  0.4675  0.2853  0.0339  0.1587  0.2759  0.1635  0.1151  0.0491  0.1223  0.2185  0.0233  0.0323
  14  1.0316E-05    0.278568    0.330707  0.4557 -0.1214  0.3681  0.2992  0.4679  0.2869  0.0249  0.1680  0.2773  0.1634  0.1151  0.0488  0.1216  0.2188  0.0226  0.0323
  15  1.9405E-05    0.276258    0.330262  0.4567 -0.1191  0.3699  0.2995  0.4686  0.2888  0.0110  0.1790  0.2786  0.1634  0.1152  0.0486  0.1210  0.2190  0.0216  0.0327
  16  3.5147E-05    0.273471    0.329859  0.4579 -0.1164  0.3717  0.3001  0.4695  0.2910 -0.0037  0.1907  0.2800  0.1633  0.1152  0.0483  0.1205  0.2191  0.0202  0.0335
  17  2.9365E-05    0.270305    0.329922  0.4588 -0.1143  0.3731  0.3004  0.4702  0.2928 -0.0094  0.1981  0.2813  0.1632  0.1152  0.0481  0.1200  0.2192  0.0189  0.0341
  18  9.7294E-06    0.268146    0.330034  0.4594 -0.1128  0.3740  0.3002  0.4705  0.2942 -0.0082  0.2024  0.2826  0.1631  0.1153  0.0479  0.1195  0.2192  0.0182  0.0342
  19  2.5779E-06    0.266525    0.329978  0.4600 -0.1115  0.3748  0.3000  0.4708  0.2954 -0.0052  0.2050  0.2837  0.1631  0.1154  0.0476  0.1191  0.2193  0.0178  0.0340
  20  1.0144E-06    0.265512    0.329315  0.4605 -0.1101  0.3756  0.2998  0.4711  0.2967 -0.0030  0.2067  0.2846  0.1631  0.1155  0.0474  0.1187  0.2195  0.0176  0.0336
  21  8.0759E-07    0.264670    0.328551  0.4610 -0.1088  0.3762  0.2997  0.4714  0.2978 -0.0017  0.2077  0.2855  0.1630  0.1156  0.0472  0.1183  0.2197  0.0175  0.0332
  22  1.4677E-06    0.263975    0.327963  0.4616 -0.1075  0.3769  0.2994  0.4717  0.2990 -0.0012  0.2086  0.2865  0.1629  0.1156  0.0470  0.1180  0.2198  0.0173  0.0329
  23  6.2009E-07    0.263214    0.327221  0.4621 -0.1062  0.3774  0.2993  0.4720  0.3002 -0.0010  0.2087  0.2873  0.1629  0.1156  0.0468  0.1176  0.2201  0.0171  0.0326
  24  5.6880E-07    0.262351    0.326404  0.4626 -0.1049  0.3780  0.2991  0.4723  0.3012 -0.0014  0.2082  0.2882  0.1628  0.1157  0.0466  0.1172  0.2203  0.0169  0.0323
  25  8.0445E-07    0.261599    0.325704  0.4631 -0.1037  0.3784  0.2988  0.4725  0.3022 -0.0023  0.2078  0.2891  0.1628  0.1156  0.0463  0.1168  0.2206  0.0168  0.0321
  26  3.9435E-07    0.260886    0.324853  0.4636 -0.1025  0.3789  0.2986  0.4728  0.3032 -0.0032  0.2070  0.2899  0.1627  0.1156  0.0461  0.1165  0.2209  0.0166  0.0318
  27  2.5538E-07    0.260037    0.323971  0.4641 -0.1013  0.3793  0.2984  0.4730  0.3041 -0.0045  0.2057  0.2906  0.1626  0.1155  0.0459  0.1161  0.2213  0.0165  0.0315
  28  5.6948E-07    0.259277    0.323270  0.4645 -0.1001  0.3796  0.2981  0.4733  0.3050 -0.0061  0.2047  0.2914  0.1626  0.1153  0.0457  0.1158  0.2217  0.0163  0.0313
  29  2.0817E-07    0.258544    0.322422  0.4650 -0.0990  0.3799  0.2979  0.4735  0.3058 -0.0076  0.2034  0.2921  0.1625  0.1151  0.0455  0.1154  0.2221  0.0161  0.0310
  30  1.9795E-07    0.257724    0.321551  0.4654 -0.0979  0.3803  0.2976  0.4737  0.3066 -0.0093  0.2018  0.2928  0.1625  0.1151  0.0453  0.1151  0.2226  0.0160  0.0308
  31  5.5824E-07    0.257039    0.320733  0.4658 -0.0970  0.3805  0.2972  0.4738  0.3073 -0.0099  0.1997  0.2935  0.1624  0.1149  0.0451  0.1148  0.2230  0.0159  0.0305
  32  1.7677E-07    0.256222    0.319955  0.4662 -0.0959  0.3808  0.2969  0.4740  0.3080 -0.0117  0.1981  0.2942  0.1624  0.1147  0.0449  0.1144  0.2235  0.0157  0.0303
  33  4.4233E-07    0.255497    0.319106  0.4666 -0.0949  0.3811  0.2966  0.4742  0.3088 -0.0136  0.1966  0.2949  0.1623  0.1144  0.0447  0.1141  0.2240  0.0155  0.0300
  34  1.1839E-07    0.254662    0.318233  0.4670 -0.0939  0.3813  0.2963  0.4744  0.3095 -0.0153  0.1950  0.2956  0.1623  0.1142  0.0445  0.1138  0.2245  0.0154  0.0298
  35  1.6168E-07    0.253922    0.317205  0.4674 -0.0928  0.3816  0.2959  0.4745  0.3101 -0.0171  0.1930  0.2962  0.1622  0.1140  0.0443  0.1134  0.2250  0.0152  0.0295
  36  4.6937E-07    0.253170    0.316447  0.4678 -0.0918  0.3818  0.2956  0.4747  0.3108 -0.0189  0.1915  0.2969  0.1622  0.1138  0.0441  0.1131  0.2255  0.0151  0.0293
  37  1.3201E-07    0.252312    0.315600  0.4683 -0.0908  0.3820  0.2953  0.4749  0.3114 -0.0206  0.1898  0.2976  0.1622  0.1135  0.0439  0.1128  0.2260  0.0149  0.0291
  38  4.6641E-07    0.251605    0.314720  0.4687 -0.0899  0.3823  0.2949  0.4751  0.3121 -0.0223  0.1882  0.2984  0.1621  0.1132  0.0437  0.1125  0.2265  0.0148  0.0289
  39  1.0922E-07    0.250864    0.313840  0.4691 -0.0889  0.3825  0.2946  0.4752  0.3127 -0.0238  0.1864  0.2990  0.1621  0.1129  0.0435  0.1122  0.2270  0.0146  0.0286
  40  7.6859E-08    0.250190    0.312826  0.4695 -0.0879  0.3828  0.2942  0.4754  0.3132 -0.0254  0.1844  0.2996  0.1621  0.1127  0.0433  0.1119  0.2275  0.0145  0.0284
