K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fst8     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7     Fis8
8   7   1       0   1.0000 46:32:09 -3.14439146228E+05 -3.14439146228E+05  0.21321  0.11487 -0.13868 -0.03609  0.19787 -0.11587 -0.27063  0.09813 -0.17321 -0.18153 -0.08633 -0.17673 -0.22108 -0.17260 -0.20108 -0.15086
8   7   1     100   2.9126 46:32:09 -3.14041709512E+05 -3.14041709512E+05  0.09813  0.11487 -0.13868  0.21321 -0.03609  0.19787 -0.11587 -0.27063 -0.15086 -0.18153 -0.08633 -0.17321 -0.17673 -0.22108 -0.17260 -0.20108
8   7   1     200  30.8824 46:32:09 -2.91765967262E+05 -2.91700812002E+05  0.09813  0.11487 -0.03609  0.19787 -0.13868  0.21321 -0.11587 -0.27063 -0.15086 -0.18153 -0.17673 -0.22108 -0.08633 -0.17321 -0.17260 -0.20108
8   7   1     400  37.1287 46:32:09 -2.65469270995E+05 -2.65469270995E+05 -0.13868  0.19787  0.11487 -0.11587 -0.27063  0.09813 -0.03609  0.21321 -0.08633 -0.22108 -0.18153 -0.17260 -0.20108 -0.15086 -0.17673 -0.17321
8   7   1     800  30.3483 46:32:09 -2.58908743843E+05 -2.58908743843E+05  0.21321  0.19787 -0.13868 -0.27063 -0.11587  0.11487 -0.03609  0.09813 -0.17321 -0.22108 -0.08633 -0.20108 -0.17260 -0.18153 -0.17673 -0.15086
8   7   1    1600  27.4938 46:32:09 -2.63035849291E+05 -2.58059403977E+05 -0.13868  0.19787  0.21321 -0.27063 -0.03609  0.09813  0.11487 -0.11587 -0.08633 -0.22108 -0.17321 -0.20108 -0.17673 -0.15086 -0.18153 -0.17260
8   7   1    3200  26.8727 46:32:09 -2.59949392673E+05 -2.56531637357E+05  0.19787  0.21321 -0.13868 -0.27063  0.11487 -0.11587 -0.03609  0.09813 -0.22108 -0.17321 -0.08633 -0.20108 -0.18153 -0.17260 -0.17673 -0.15086
8   7   1    6400  25.6090 46:32:09 -2.56676570139E+05 -2.54427883264E+05  0.19787  0.21321 -0.13868 -0.03609  0.11487 -0.27063 -0.11587  0.09813 -0.22108 -0.17321 -0.08633 -0.17673 -0.18153 -0.20108 -0.17260 -0.15086
8   7   1   12800  27.0150 46:32:09 -2.58857424259E+05 -2.54427883264E+05  0.00707  0.35638  0.48412  0.00089  0.45893  0.01547  1.00000  0.41437 -0.89946 -0.30085 -0.14428 -0.89353 -0.46754 -0.96055  0.00000 -0.19657
8   7   1   25600  28.0347 47:32:09 -2.55215827439E+05 -2.54427883264E+05  0.36411  0.41625  0.01282  0.35192  0.01149  0.00801  1.00000  0.39036 -0.32270 -0.19818 -0.88028 -0.29431 -0.88356 -0.88379  0.00000 -0.21473
8   7   2   32000  21.0262 48:32:09 -2.59532825160E+05 -2.53695690939E+05  1.00000  0.36579  0.43279  0.02046  0.02330  0.01760  0.43234  0.58173  0.00000 -0.35800 -0.49617 -0.88463 -0.85931 -0.91526 -0.22141 -0.87945
8   7   2   51200  21.4847 49:32:09 -2.57493243886E+05 -2.53695690939E+05  0.31378  0.38560  0.32363 -0.07086 -0.06625  0.30269  1.00000  0.33376 -0.17964 -0.22392 -0.42083 -0.86509 -0.93243 -0.37627  0.00000 -0.31667
