Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8    Fst9   Fst10   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8   QPop9  QPop10
   1  1.1923E-02    0.626805    0.210240  0.2684 -0.1963  0.3672  0.1336  0.2433  0.2632  0.3128  0.2235 -0.0942 -0.0928  0.1726  0.1126  0.1547  0.0620  0.0801  0.0922  0.0866  0.1538  0.0426  0.0427
   2  4.0263E-03    0.429423    0.237208  0.3287 -0.1160  0.4387  0.2617  0.3587  0.3690  0.4450  0.2759 -0.2322 -0.2303  0.2022  0.1053  0.1776  0.0510  0.0823  0.0982  0.0916  0.1502  0.0207  0.0208
   3  7.3880E-04    0.326201    0.259982  0.3674 -0.0532  0.4756  0.3078  0.4065  0.4171  0.4919  0.3196 -0.2921 -0.2895  0.2165  0.1048  0.1885  0.0427  0.0841  0.0992  0.0903  0.1536  0.0102  0.0101
   4  1.8409E-04    0.278582    0.262630  0.3925 -0.0100  0.4986  0.3352  0.4304  0.4430  0.5133  0.3484 -0.2868 -0.2814  0.2244  0.1046  0.1954  0.0385  0.0839  0.0979  0.0876  0.1588  0.0044  0.0044
   5  6.0049E-05    0.255744    0.262931  0.4052  0.0121  0.5103  0.3511  0.4414  0.4550  0.5227  0.3627 -0.2576 -0.2503  0.2278  0.1046  0.1992  0.0366  0.0827  0.0959  0.0850  0.1620  0.0031  0.0031
   6  1.2367E-04    0.239524    0.258856  0.4045  0.0125  0.5105  0.3514  0.4397  0.4540  0.5210  0.3623 -0.2599 -0.2096  0.2287  0.1061  0.2012  0.0352  0.0809  0.0936  0.0824  0.1640  0.0030  0.0048
   7  2.0220E-04    0.226132    0.251703  0.3915 -0.0091  0.5004  0.3376  0.4264  0.4416  0.5095  0.3485 -0.2076 -0.1981  0.2287  0.1057  0.2027  0.0342  0.0793  0.0916  0.0804  0.1658  0.0056  0.0060
   8  8.9843E-05    0.214934    0.248467  0.3867 -0.0181  0.4966  0.3336  0.4213  0.4368  0.5050  0.3432 -0.1947 -0.1785  0.2290  0.1035  0.2045  0.0338  0.0782  0.0902  0.0791  0.1677  0.0066  0.0073
   9  4.2989E-05    0.205782    0.247672  0.3855 -0.0202  0.4959  0.3333  0.4198  0.4354  0.5036  0.3420 -0.1859 -0.1738  0.2290  0.1021  0.2057  0.0336  0.0774  0.0892  0.0782  0.1694  0.0075  0.0079
  10  1.3212E-05    0.199005    0.247005  0.3854 -0.0202  0.4960  0.3337  0.4193  0.4350  0.5030  0.3418 -0.1839 -0.1729  0.2291  0.1015  0.2070  0.0334  0.0763  0.0882  0.0774  0.1711  0.0079  0.0081
  11  6.0828E-06    0.194101    0.246172  0.3855 -0.0201  0.4961  0.3342  0.4190  0.4347  0.5026  0.3418 -0.1834 -0.1727  0.2290  0.1013  0.2079  0.0333  0.0756  0.0875  0.0767  0.1726  0.0080  0.0081
  12  5.9797E-06    0.189621    0.245311  0.3855 -0.0199  0.4962  0.3345  0.4188  0.4345  0.5022  0.3418 -0.1832 -0.1726  0.2284  0.1012  0.2088  0.0332  0.0749  0.0868  0.0761  0.1744  0.0081  0.0081
  13  4.9045E-06    0.186064    0.244452  0.3856 -0.0198  0.4963  0.3348  0.4186  0.4343  0.5019  0.3418 -0.1831 -0.1725  0.2279  0.1012  0.2095  0.0331  0.0744  0.0863  0.0755  0.1760  0.0081  0.0081
  14  3.2508E-06    0.183376    0.243564  0.3857 -0.0196  0.4964  0.3349  0.4184  0.4342  0.5016  0.3418 -0.1830 -0.1725  0.2273  0.1011  0.2101  0.0330  0.0739  0.0859  0.0750  0.1774  0.0081  0.0081
  15  1.5690E-06    0.181455    0.242807  0.3858 -0.0196  0.4964  0.3350  0.4183  0.4341  0.5013  0.3417 -0.1829 -0.1724  0.2269  0.1011  0.2107  0.0329  0.0736  0.0856  0.0746  0.1784  0.0081  0.0081
  16  9.3873E-07    0.180148    0.242231  0.3859 -0.0195  0.4965  0.3351  0.4182  0.4340  0.5011  0.3417 -0.1829 -0.1723  0.2265  0.1011  0.2111  0.0328  0.0733  0.0853  0.0744  0.1792  0.0081  0.0081
  17  7.0169E-07    0.178954    0.241598  0.3860 -0.0194  0.4965  0.3352  0.4182  0.4339  0.5010  0.3417 -0.1828 -0.1723  0.2263  0.1011  0.2114  0.0328  0.0731  0.0851  0.0741  0.1798  0.0081  0.0081
  18  5.1756E-07    0.177929    0.241051  0.3860 -0.0193  0.4965  0.3352  0.4181  0.4338  0.5008  0.3416 -0.1828 -0.1722  0.2261  0.1011  0.2118  0.0327  0.0729  0.0849  0.0738  0.1804  0.0081  0.0081
  19  3.9298E-07    0.176977    0.240199  0.3861 -0.0193  0.4965  0.3353  0.4180  0.4338  0.5006  0.3416 -0.1827 -0.1722  0.2260  0.1011  0.2120  0.0327  0.0727  0.0847  0.0736  0.1810  0.0081  0.0081
  20  3.2015E-07    0.176305    0.239780  0.3861 -0.0192  0.4965  0.3353  0.4180  0.4338  0.5005  0.3416 -0.1827 -0.1721  0.2259  0.1011  0.2122  0.0326  0.0725  0.0846  0.0734  0.1814  0.0081  0.0081
  21  2.9567E-07    0.175664    0.239470  0.3862 -0.0192  0.4965  0.3353  0.4179  0.4337  0.5004  0.3415 -0.1827 -0.1721  0.2257  0.1011  0.2124  0.0326  0.0724  0.0845  0.0732  0.1818  0.0081  0.0081
  22  3.7998E-07    0.174854    0.238589  0.3862 -0.0191  0.4965  0.3354  0.4179  0.4337  0.5001  0.3415 -0.1826 -0.1721  0.2256  0.1011  0.2127  0.0326  0.0722  0.0843  0.0730  0.1824  0.0081  0.0081
  23  2.4681E-07    0.174287    0.238140  0.3863 -0.0191  0.4965  0.3354  0.4178  0.4336  0.5001  0.3415 -0.1826 -0.1720  0.2255  0.1010  0.2128  0.0325  0.0721  0.0842  0.0728  0.1827  0.0081  0.0081
  24  1.9879E-07    0.173912    0.237850  0.3863 -0.0191  0.4965  0.3354  0.4178  0.4336  0.5000  0.3415 -0.1826 -0.1720  0.2255  0.1010  0.2130  0.0325  0.0720  0.0841  0.0727  0.1830  0.0081  0.0081
