Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8    Fst9   Fst10   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8   QPop9  QPop10
   1  1.1144E-02    0.644863    0.233128  0.2312 -0.2473  0.3377  0.0976  0.1653  0.2232  0.2804  0.1875  0.1007  0.1856  0.1283  0.1248  0.1526  0.0600  0.0666  0.0858  0.0854  0.1500  0.0582  0.0883
   2  4.3480E-03    0.459225    0.248455  0.2748 -0.2253  0.3832  0.1904  0.2729  0.3033  0.3880  0.2015  0.1889  0.2408  0.1425  0.1185  0.1759  0.0487  0.0609  0.0895  0.0894  0.1376  0.0472  0.0897
   3  1.0768E-03    0.347676    0.273739  0.2842 -0.2202  0.3923  0.1988  0.3084  0.3215  0.4100  0.2090  0.2603  0.2528  0.1477  0.1175  0.1863  0.0402  0.0575  0.0913  0.0882  0.1364  0.0451  0.0899
   4  1.9932E-04    0.299440    0.281010  0.2859 -0.2167  0.3955  0.1978  0.3136  0.3256  0.4127  0.2130  0.2783  0.2543  0.1505  0.1172  0.1928  0.0363  0.0536  0.0913  0.0859  0.1400  0.0430  0.0895
   5  7.2823E-05    0.273703    0.280078  0.2859 -0.2145  0.3969  0.1995  0.3124  0.3264  0.4123  0.2148  0.2802  0.2541  0.1522  0.1170  0.1973  0.0346  0.0507  0.0904  0.0838  0.1440  0.0410  0.0891
   6  3.9719E-05    0.257145    0.276845  0.2855 -0.2132  0.3976  0.2017  0.3104  0.3265  0.4115  0.2155  0.2784  0.2536  0.1529  0.1170  0.2004  0.0339  0.0487  0.0894  0.0822  0.1476  0.0394  0.0886
   7  2.5745E-05    0.244882    0.273556  0.2852 -0.2123  0.3980  0.2037  0.3085  0.3265  0.4108  0.2158  0.2761  0.2532  0.1533  0.1169  0.2028  0.0337  0.0472  0.0884  0.0809  0.1507  0.0381  0.0881
   8  1.7755E-05    0.235074    0.270886  0.2849 -0.2117  0.3982  0.2053  0.3071  0.3263  0.4102  0.2160  0.2740  0.2528  0.1534  0.1169  0.2045  0.0335  0.0462  0.0875  0.0799  0.1532  0.0371  0.0877
   9  1.2614E-05    0.227105    0.268679  0.2847 -0.2112  0.3984  0.2065  0.3060  0.3261  0.4097  0.2161  0.2723  0.2524  0.1533  0.1170  0.2060  0.0334  0.0454  0.0868  0.0790  0.1554  0.0363  0.0874
  10  9.1540E-06    0.220123    0.265975  0.2846 -0.2107  0.3986  0.2072  0.3050  0.3259  0.4091  0.2163  0.2705  0.2521  0.1532  0.1170  0.2074  0.0333  0.0446  0.0862  0.0782  0.1575  0.0355  0.0871
  11  6.8907E-06    0.214159    0.263808  0.2845 -0.2103  0.3988  0.2077  0.3042  0.3257  0.4086  0.2165  0.2691  0.2517  0.1531  0.1170  0.2085  0.0332  0.0440  0.0856  0.0775  0.1593  0.0349  0.0868
