 K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fst8     Fst9    Fst10     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7     Fis8     Fis9    Fis10
10   7   1       0   1.0000 26:24:13 -4.40425360801E+05 -4.40425360801E+05  0.05627 -0.05268 -0.00822 -0.05106 -0.03088 -0.05313  0.03865  0.05015  0.17685 -0.07524 -0.17127 -0.15929 -0.08754 -0.10735 -0.11649 -0.13491 -0.14144 -0.17159 -0.16798 -0.10128
10   7   1     100   2.9126 26:24:13 -4.39588509078E+05 -4.39439343748E+05  0.05627 -0.05268 -0.00822 -0.05106 -0.03088 -0.05313  0.03865  0.05015  0.17685 -0.07524 -0.17127 -0.15929 -0.08754 -0.10735 -0.11649 -0.13491 -0.14144 -0.17159 -0.16798 -0.10128
10   7   1     200  30.2439 26:24:13 -4.06899716461E+05 -4.06899716461E+05 -0.00822 -0.05268  0.17685  0.05015 -0.07524  0.03865 -0.03088  0.05627 -0.05313 -0.05106 -0.08754 -0.15929 -0.16798 -0.17159 -0.10128 -0.14144 -0.11649 -0.17127 -0.13491 -0.10735
10   7   1     400  36.7901 26:24:13 -3.79043259959E+05 -3.79043259959E+05 -0.00822 -0.07524  0.05015  0.17685  0.05627  0.03865 -0.05313 -0.03088 -0.05106 -0.05268 -0.08754 -0.10128 -0.17159 -0.16798 -0.17127 -0.14144 -0.13491 -0.11649 -0.10735 -0.15929
10   7   1     800  36.2733 26:24:13 -3.72889010474E+05 -3.69989244656E+05 -0.00822 -0.05268 -0.05313  0.17685  0.05627  0.05015  0.03865 -0.03088 -0.07524 -0.05106 -0.08754 -0.15929 -0.13491 -0.16798 -0.17127 -0.17159 -0.14144 -0.11649 -0.10128 -0.10735
10   7   1    1600  36.3863 26:24:13 -3.71482810857E+05 -3.69899095623E+05 -0.00822 -0.05313  0.05627  0.17685  0.03865 -0.03088  0.05015 -0.07524 -0.05106 -0.05268 -0.08754 -0.13491 -0.17127 -0.16798 -0.14144 -0.11649 -0.17159 -0.10128 -0.10735 -0.15929
10   7   1    3200  42.7145 26:24:13 -3.70334412757E+05 -3.69899095623E+05  0.03865 -0.00822 -0.05313  0.05627 -0.07524  0.17685 -0.05106 -0.03088  0.05015 -0.05268 -0.14144 -0.08754 -0.13491 -0.17127 -0.10128 -0.16798 -0.10735 -0.11649 -0.17159 -0.15929
10   7   2    6400  34.6105 26:24:13 -3.64379728873E+05 -3.63085993314E+05 -0.05313  0.17685 -0.07524 -0.00822  0.05627 -0.03088  0.05015  0.03865 -0.05268 -0.05106 -0.13491 -0.16798 -0.10128 -0.08754 -0.17127 -0.11649 -0.17159 -0.14144 -0.15929 -0.10735
10   7   2   10000  33.8414 28:24:13 -3.67668940473E+05 -3.60723520467E+05 -0.05313 -0.03088 -0.00822  0.17685  0.05015 -0.05106 -0.07524  0.05627  0.03865 -0.05268 -0.13491 -0.11649 -0.08754 -0.16798 -0.17159 -0.10735 -0.10128 -0.17127 -0.14144 -0.15929
10   7   2   12800  33.6158 30:24:13 -3.64167689444E+05 -3.60723520467E+05  1.00000  0.41028  0.33348  0.60213 -0.02439 -0.02143  1.00000  0.37115  0.35372 -0.01864  0.00000 -0.11758 -0.21871 -0.90634 -0.92122 -0.83989  0.00000 -0.37417 -0.12821 -0.93062
