K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fis1     Fis2
2   4   1       0   1.0000 27:13:12 -4.18344958124E+05 -4.18344958124E+05 -0.03398  0.03177 -0.10774 -0.14794
2   4   1     100   1.0000 27:13:12 -4.18278233618E+05 -4.18278233618E+05 -0.03398  0.03177 -0.10774 -0.14794
2   4   1     200  36.0000 27:13:12 -3.78302270715E+05 -3.78302270715E+05  0.03177 -0.03398 -0.14794 -0.10774
2   4   1     400  20.5000 27:13:12 -3.60235783139E+05 -3.56058456076E+05  0.03177 -0.03398 -0.14794 -0.10774
2   4   1     800  17.2500 27:13:12 -3.71156806263E+05 -3.55343702881E+05  0.03177 -0.03398 -0.14794 -0.10774
2   4   1    1600  43.0000 27:13:12 -4.08727562703E+05 -3.55343702881E+05  0.04114 -0.04082 -0.12861 -0.12859
2   4   3    3200  14.2857 29:13:12 -3.80991790951E+05 -3.55343702881E+05  0.14002 -0.11964 -0.14292 -0.13797
2   4   3    5000  35.3261 30:13:12 -3.95520369144E+05 -3.55343702881E+05 -0.10464  0.33194 -0.44281 -0.15353
2   4   3    6400  33.1481 30:13:12 -3.67941004722E+05 -3.53963271449E+05  0.34271 -0.07634 -0.14705 -0.54189
2   4   4   10000  39.5599 32:13:12 -3.59909834259E+05 -3.53963271449E+05  0.35876 -0.03082 -0.14836 -0.67249
2   4   5   12800  14.3973 32:13:12 -3.84183989651E+05 -3.53963271449E+05  0.34178 -0.08609 -0.15174 -0.50384
2   4   8   25600   0.0000 33:13:12 -3.53963271449E+05 -3.53963271449E+05  0.37081  0.04045 -0.14726 -0.88937
2   4 200   28199   0.0000 35:13:12 -3.53963271449E+05 -3.53963271449E+05  0.37081  0.04045 -0.14726 -0.88937
