K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fis1     Fis2     Fis3
3   7   1       0   1.0000 23:20:12 -4.22408923954E+05 -4.22408923954E+05  0.03989  0.00204 -0.04663 -0.16094 -0.12157 -0.09946
3   7   1     100   2.9412 23:20:12 -4.10287783313E+05 -4.10287783313E+05  0.03989  0.00204 -0.04663 -0.16094 -0.12157 -0.09946
3   7   1     200   9.5694 23:20:12 -3.75115458353E+05 -3.75115458353E+05  0.03989 -0.04663  0.00204 -0.16094 -0.09946 -0.12157
3   7   1     400  12.3256 23:20:12 -3.56454207499E+05 -3.56147131573E+05 -0.04663  0.03989  0.00204 -0.09946 -0.16094 -0.12157
3   7   1     800  24.1993 24:20:12 -3.64645258999E+05 -3.56147131573E+05 -0.04663  0.03989  0.00204 -0.09946 -0.16094 -0.12157
3   7   1    1600  36.7012 24:20:12 -3.58120174973E+05 -3.56147131573E+05 -0.04663  0.03989  0.00204 -0.09946 -0.16094 -0.12157
3   7   1    3200  34.4434 24:20:12 -3.59584796791E+05 -3.51588629330E+05  0.31913  0.33763 -0.04385 -0.16613 -0.14144 -0.88937
3   7   1    6400  34.8751 24:20:12 -3.58689884315E+05 -3.47451147505E+05  0.31870  0.37423 -0.04478 -0.19810 -0.16405 -0.88937
3   7   2   12800  29.4371 24:20:12 -3.54213638469E+05 -3.47451147505E+05  0.33172  0.32276 -0.04159 -0.16879 -0.16022 -0.88937
3   7   4   25000  20.4950 31:20:12 -3.49758951426E+05 -3.47152643961E+05  0.35721  0.32108 -0.04324 -0.13438 -0.20820 -0.88937
3   7   4   25600  20.2256 31:20:12 -3.51048313769E+05 -3.47152643961E+05  0.35721  0.32108 -0.04324 -0.13438 -0.20820 -0.88937
3   7   6   50000  14.3392 33:20:12 -3.49131543685E+05 -3.45340267615E+05  0.39459  0.32034 -0.04593 -0.19871 -0.20505 -0.88937
3   7   6   51200  14.0422 33:20:12 -3.49592008493E+05 -3.45340267615E+05  0.39459  0.32034 -0.04593 -0.19871 -0.20505 -0.88937
3   7  10   90000   5.5157 35:20:12 -3.45232348062E+05 -3.44610595092E+05  0.39243  0.32391 -0.04443 -0.18600 -0.22583 -0.88937
3   7  12  102400   4.1274 35:20:12 -3.45291839801E+05 -3.44533000167E+05  0.39951  0.32310 -0.04529 -0.20050 -0.21887 -0.88937
3   7  13  110235   3.5000 36:20:12 -3.44697441303E+05 -3.44533000167E+05  0.40519  0.32397 -0.04557 -0.21211 -0.22085 -0.88937
3   7  14  120407   4.0000 36:20:12 -3.44898278460E+05 -3.44533000167E+05  0.40637  0.32274 -0.04590 -0.20839 -0.22015 -0.88937
3   7  15  129244   3.3000 37:20:12 -3.44580889364E+05 -3.44533000167E+05  0.40494  0.32376 -0.04558 -0.21151 -0.22054 -0.88937
3   7  15  130000   3.2884 37:20:12 -3.44793394329E+05 -3.44533000167E+05  0.40369  0.32384 -0.04548 -0.20258 -0.22385 -0.88937
3   7  18  158640   2.1000 38:20:12 -3.44633820444E+05 -3.44533000167E+05  0.40799  0.32255 -0.04607 -0.21226 -0.21982 -0.88937
3   7  18  165000   2.3202 39:20:12 -3.44533000167E+05 -3.44533000167E+05  0.40401  0.32463 -0.04529 -0.20937 -0.22393 -0.88937
3   7  19  167571   1.7000 39:20:12 -3.44533000167E+05 -3.44533000167E+05  0.40978  0.32209 -0.04636 -0.21234 -0.21900 -0.88937
3   7  19  175000   1.9774 45:20:12 -3.44533000167E+05 -3.44533000167E+05  0.40167  0.32535 -0.04494 -0.20783 -0.22508 -0.88937
3   7  21  186728   1.8000 46:20:12 -3.44548030476E+05 -3.44533000167E+05  0.40625  0.32371 -0.04566 -0.21242 -0.22150 -0.88937
3   7  21  195000   1.0682 47:20:12 -3.44533000167E+05 -3.44533000167E+05  0.40833  0.32267 -0.04604 -0.21276 -0.22006 -0.88937
3   7 200  204603   0.0000 47:20:12 -3.44533000167E+05 -3.44533000167E+05  0.40625  0.32371 -0.04566 -0.21242 -0.22150 -0.88937
