Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3   QPop1   QPop2   QPop3
   1  2.8138E-02    0.242115    0.114470  0.3203 -0.0844  0.4032  0.5006  0.1396  0.3598
   2  1.4567E-03    0.188500    0.143278  0.3326 -0.0599  0.4367  0.5048  0.1239  0.3712
   3  3.3327E-04    0.182878    0.163554  0.3358 -0.0586  0.4477  0.5020  0.1237  0.3743
   4  1.0228E-04    0.185474    0.173857  0.3379 -0.0584  0.4530  0.4978  0.1239  0.3783
   5  4.5093E-05    0.188403    0.179617  0.3395 -0.0582  0.4558  0.4943  0.1240  0.3817
   6  2.3163E-05    0.190556    0.183378  0.3407 -0.0580  0.4574  0.4913  0.1241  0.3846
   7  1.3107E-05    0.192140    0.186011  0.3417 -0.0579  0.4583  0.4888  0.1242  0.3870
   8  7.7327E-06    0.193532    0.187835  0.3425 -0.0577  0.4589  0.4868  0.1242  0.3890
   9  4.4306E-06    0.194501    0.189214  0.3430 -0.0576  0.4593  0.4852  0.1242  0.3905
  10  2.3923E-06    0.195129    0.190220  0.3435 -0.0576  0.4596  0.4841  0.1243  0.3917
  11  1.1064E-06    0.195471    0.190925  0.3438 -0.0575  0.4597  0.4833  0.1243  0.3924
  12  4.7983E-07    0.195726    0.191381  0.3440 -0.0575  0.4598  0.4828  0.1243  0.3930
  13  2.2221E-07    0.195944    0.191671  0.3442 -0.0575  0.4598  0.4824  0.1243  0.3933
  14  1.3919E-07    0.196130    0.191884  0.3443 -0.0574  0.4599  0.4821  0.1243  0.3936
  15  1.0489E-07    0.196273    0.192072  0.3443 -0.0574  0.4599  0.4819  0.1243  0.3938
  16  7.6590E-08    0.196392    0.192226  0.3444 -0.0574  0.4598  0.4817  0.1243  0.3940
  17  5.8026E-08    0.196485    0.192353  0.3444 -0.0574  0.4598  0.4815  0.1243  0.3942
  18  4.5818E-08    0.196552    0.192460  0.3445 -0.0574  0.4598  0.4813  0.1243  0.3944
  19  3.6361E-08    0.196602    0.192544  0.3445 -0.0574  0.4598  0.4812  0.1243  0.3945
  20  3.1872E-08    0.196628    0.192619  0.3445 -0.0573  0.4597  0.4811  0.1243  0.3946
  21  2.7180E-08    0.196642    0.192679  0.3445 -0.0573  0.4597  0.4810  0.1243  0.3947
