K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fis1     Fis2     Fis3     Fis4
4   2   1       0   1.0000 51:23:12 -4.23780708254E+05 -4.23780708254E+05 -0.11844  0.07877  0.01233  0.03159 -0.13875 -0.12440 -0.13684 -0.11679
4   2   1     100   1.0000 51:23:12 -4.17094374062E+05 -4.17094374062E+05 -0.11844  0.07877  0.01233  0.03159 -0.13875 -0.12440 -0.13684 -0.11679
4   2   1     200  30.0000 51:23:12 -3.71324755797E+05 -3.71144468761E+05  0.03159  0.01233 -0.11844  0.07877 -0.11679 -0.13684 -0.13875 -0.12440
4   2   1     400  36.2500 51:23:12 -3.56989702068E+05 -3.56732539161E+05  0.03159 -0.11844  0.01233  0.07877 -0.11679 -0.13875 -0.13684 -0.12440
4   2   1     800  35.8750 51:23:12 -3.53944030567E+05 -3.52891863013E+05  0.01233  0.03159 -0.11844  0.07877 -0.13684 -0.11679 -0.13875 -0.12440
4   2   1    1600  37.2500 51:23:12 -3.56757245293E+05 -3.51144713033E+05 -0.11844  0.03159  0.01233  0.07877 -0.13875 -0.11679 -0.13684 -0.12440
4   2   1    3200  39.9375 51:23:12 -3.55260001889E+05 -3.51144713033E+05  0.32858  0.28561  0.29135 -0.10729 -0.15418 -0.19010 -0.18892 -0.88937
4   2   3    6400  42.9003 54:23:12 -3.55500928638E+05 -3.51144713033E+05  0.37093  0.29007 -0.10805  0.28425 -0.21444 -0.17602 -0.88937 -0.19555
4   2   3   10000  39.7231 57:23:12 -3.60949834172E+05 -3.50495687887E+05  0.31807  0.32761  1.00000 -0.04125 -0.14000 -0.21654  0.00000 -0.88444
4   2   3   12800  35.7689 58:23:12 -3.60850510689E+05 -3.50495687887E+05  0.39042  0.06755  0.07052  0.07365 -0.14726 -0.86605 -0.85441 -0.94223
4   2   4   15000  35.0256 01:24:12 -3.53984553808E+05 -3.47024440992E+05  0.07052  0.39042  0.07365  0.06755 -0.85441 -0.14726 -0.94223 -0.86605
4   2   4   20000  31.8175 04:24:12 -3.55870229510E+05 -3.47024440992E+05  0.34255  0.34181  0.27428 -0.11717 -0.20685 -0.25404 -0.17723 -0.88937
4   2   5   25600  24.4566 05:24:12 -3.55437357856E+05 -3.47024440992E+05  0.28243  0.33028 -0.09701  0.43065 -0.19242 -0.17945 -0.88937 -0.55358
4   2   6   40000  23.6793 06:24:12 -3.50964702424E+05 -3.45661487424E+05 -0.09528  0.43155  0.29286  0.32727 -0.88937 -0.55358 -0.23540 -0.15626
4   2   8   51200  15.5280 06:24:12 -3.50608948863E+05 -3.45477600691E+05  0.39310  0.32198 -0.04503  1.00000 -0.18854 -0.21593 -0.88729  0.00000
4   2   9   70000  12.3588 08:24:12 -3.47187076638E+05 -3.43970306486E+05  0.38312  0.28531 -0.10470  0.39637 -0.21665 -0.22302 -0.88937 -0.47352
4   2  11  102400   5.9945 10:24:12 -3.44270789870E+05 -3.43603270930E+05  0.39280  0.28413 -0.10644  0.39542 -0.23774 -0.21813 -0.88937 -0.47352
4   2  11  105000   5.8120 10:24:12 -3.44557334992E+05 -3.43603270930E+05  0.38178  0.28473 -0.10507  0.39617 -0.21257 -0.22084 -0.88937 -0.47352
4   2  12  114516   4.5000 10:24:12 -3.44471308446E+05 -3.43603270930E+05  0.38011  0.28536 -0.10456  0.39644 -0.21815 -0.21911 -0.88937 -0.47352
4   2  13  123278   2.8000 11:24:12 -3.43972679287E+05 -3.43603270930E+05  0.38945  0.28559 -0.10566  0.39584 -0.23216 -0.22118 -0.88937 -0.47352
4   2  13  135000   4.0408 16:24:12 -3.43924855790E+05 -3.43603270930E+05  0.39361  0.28376 -0.10687  0.39518 -0.23701 -0.21685 -0.88937 -0.47352
4   2  14  138535   2.8000 18:24:12 -3.44450265460E+05 -3.43603270930E+05  0.38104  0.28779 -0.10369  0.39692 -0.22247 -0.22534 -0.88937 -0.47352
4   2  14  140000   3.2762 18:24:12 -3.44381003710E+05 -3.43603270930E+05  0.38104  0.28779 -0.10369  0.39692 -0.22247 -0.22534 -0.88937 -0.47352
4   2  15  153951   2.0000 19:24:12 -3.44244423729E+05 -3.43603270930E+05  0.39520  0.28464 -0.10660  0.39533 -0.23300 -0.22368 -0.88937 -0.47352
4   2  15  160000   2.5421 20:24:12 -3.43717512762E+05 -3.43603270930E+05  0.39835  0.28392 -0.10726  0.39497 -0.23695 -0.22205 -0.88937 -0.47352
4   2  17  185555   2.6000 22:24:12 -3.43641162690E+05 -3.43603270930E+05  0.39554  0.28443 -0.10649  0.39539 -0.23217 -0.22385 -0.88937 -0.47352
4   2  17  190000   2.0761 22:24:12 -3.43767714018E+05 -3.43603270930E+05  0.39648  0.28500 -0.10661  0.39532 -0.23647 -0.22393 -0.88937 -0.47352
4   2 200  200376   0.0000 23:24:12 -3.43603270930E+05 -3.43603270930E+05  0.40182  0.28202 -0.10808  0.39452 -0.23973 -0.21939 -0.88937 -0.47352
