Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4   QPop1   QPop2   QPop3   QPop4
   1  1.4678E-02    0.674313    0.101705  0.1925 -0.2784  0.2155  0.1036  0.2983  0.2133  0.2645  0.2239
   2  1.6952E-02    0.485357    0.197170  0.2800 -0.1502  0.3547  0.2451  0.3821  0.1295  0.3169  0.1715
   3  3.4887E-03    0.395713    0.212184  0.2967 -0.1301  0.3966  0.2640  0.4033  0.1275  0.3281  0.1410
   4  1.1849E-03    0.341011    0.226026  0.3030 -0.1264  0.4111  0.2844  0.4196  0.1265  0.3304  0.1236
   5  4.8999E-04    0.312267    0.234217  0.3039 -0.1273  0.4149  0.3208  0.4348  0.1262  0.3262  0.1128
   6  1.0332E-03    0.285040    0.229200  0.3051 -0.1263  0.4176  0.3695  0.4460  0.1230  0.3234  0.1076
   7  4.0771E-04    0.261447    0.224317  0.3067 -0.1231  0.4201  0.3842  0.4583  0.1219  0.3219  0.0979
   8  3.8290E-04    0.237837    0.216038  0.3115 -0.1136  0.4257  0.3635  0.4705  0.1198  0.3248  0.0849
   9  3.7153E-04    0.214245    0.206644  0.3156 -0.1038  0.4312  0.3392  0.4814  0.1183  0.3325  0.0678
  10  2.0989E-04    0.198121    0.197712  0.3192 -0.0955  0.4357  0.3148  0.4879  0.1179  0.3409  0.0532
  11  9.6868E-05    0.189388    0.192942  0.3218 -0.0903  0.4385  0.2993  0.4900  0.1178  0.3479  0.0443
  12  4.3381E-05    0.185853    0.191585  0.3242 -0.0865  0.4405  0.2879  0.4892  0.1174  0.3535  0.0399
  13  2.5940E-05    0.184735    0.191751  0.3255 -0.0852  0.4412  0.2857  0.4873  0.1171  0.3580  0.0377
  14  1.4665E-05    0.185120    0.192861  0.3265 -0.0846  0.4415  0.2860  0.4851  0.1170  0.3615  0.0364
  15  9.5539E-06    0.186041    0.194175  0.3274 -0.0841  0.4417  0.2867  0.4830  0.1170  0.3643  0.0357
  16  6.3253E-06    0.187057    0.195436  0.3283 -0.0837  0.4419  0.2875  0.4811  0.1170  0.3666  0.0353
  17  4.1229E-06    0.187981    0.196512  0.3290 -0.0834  0.4420  0.2882  0.4796  0.1170  0.3684  0.0350
  18  2.6424E-06    0.188743    0.197407  0.3296 -0.0831  0.4421  0.2889  0.4783  0.1170  0.3699  0.0349
  19  1.6728E-06    0.189385    0.198107  0.3302 -0.0828  0.4422  0.2895  0.4773  0.1169  0.3711  0.0347
  20  1.0787E-06    0.189880    0.198692  0.3306 -0.0826  0.4423  0.2901  0.4765  0.1170  0.3720  0.0346
  21  6.5266E-07    0.190292    0.199117  0.3310 -0.0824  0.4423  0.2906  0.4759  0.1170  0.3727  0.0345
  22  4.3052E-07    0.190596    0.199468  0.3313 -0.0822  0.4424  0.2910  0.4754  0.1170  0.3732  0.0344
  23  2.8277E-07    0.190886    0.199710  0.3315 -0.0821  0.4424  0.2915  0.4750  0.1170  0.3736  0.0344
  24  2.1994E-07    0.191124    0.199932  0.3317 -0.0819  0.4424  0.2918  0.4747  0.1170  0.3740  0.0343
  25  1.7370E-07    0.191350    0.200103  0.3319 -0.0818  0.4424  0.2922  0.4744  0.1169  0.3744  0.0343
  26  1.4650E-07    0.191536    0.200267  0.3320 -0.0817  0.4424  0.2925  0.4742  0.1169  0.3747  0.0342
  27  1.1942E-07    0.191701    0.200410  0.3321 -0.0816  0.4425  0.2928  0.4740  0.1169  0.3749  0.0342
  28  1.0111E-07    0.191839    0.200541  0.3322 -0.0815  0.4425  0.2930  0.4738  0.1169  0.3752  0.0342
  29  8.3425E-08    0.191964    0.200651  0.3323 -0.0814  0.4425  0.2932  0.4736  0.1169  0.3754  0.0341
  30  8.5815E-08    0.192024    0.200794  0.3324 -0.0814  0.4425  0.2934  0.4734  0.1169  0.3756  0.0341
  31  8.3807E-08    0.192055    0.200938  0.3325 -0.0813  0.4425  0.2936  0.4733  0.1169  0.3757  0.0341
  32  5.6496E-08    0.192121    0.201029  0.3326 -0.0812  0.4425  0.2938  0.4731  0.1169  0.3759  0.0340
  33  5.8505E-08    0.192155    0.201130  0.3326 -0.0812  0.4425  0.2939  0.4730  0.1169  0.3760  0.0340
  34  4.3425E-08    0.192215    0.201189  0.3327 -0.0811  0.4425  0.2941  0.4729  0.1169  0.3761  0.0340
  35  5.1657E-08    0.192240    0.201265  0.3327 -0.0811  0.4425  0.2942  0.4728  0.1170  0.3762  0.0340
  36  4.9092E-08    0.192255    0.201336  0.3328 -0.0811  0.4425  0.2943  0.4728  0.1170  0.3763  0.0340
  37  3.3218E-08    0.192295    0.201373  0.3328 -0.0810  0.4425  0.2944  0.4727  0.1170  0.3764  0.0339
  38  3.6659E-08    0.192312    0.201421  0.3328 -0.0810  0.4425  0.2945  0.4726  0.1170  0.3765  0.0339
  39  6.7860E-08    0.192242    0.201538  0.3329 -0.0810  0.4425  0.2946  0.4726  0.1170  0.3766  0.0339
  40  3.6679E-08    0.192248    0.201578  0.3329 -0.0809  0.4424  0.2947  0.4725  0.1170  0.3766  0.0339
  41  3.5109E-08    0.192248    0.201617  0.3329 -0.0809  0.4424  0.2948  0.4725  0.1170  0.3767  0.0339
  42  6.5168E-08    0.192163    0.201729  0.3329 -0.0809  0.4424  0.2948  0.4724  0.1170  0.3767  0.0338
  43  2.5224E-08    0.192198    0.201725  0.3329 -0.0809  0.4424  0.2949  0.4724  0.1170  0.3768  0.0338
