Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5   QPop1   QPop2   QPop3   QPop4   QPop5
   1  1.3350E-02    0.716998    0.110388  0.1926 -0.3051  0.2314  0.1118  0.1388  0.2502  0.1714  0.2238  0.1721  0.1826
   2  9.6220E-03    0.558282    0.220796  0.2570 -0.1858  0.3463  0.2067  0.2223  0.3098  0.1300  0.2703  0.1311  0.1588
   3  3.5425E-03    0.458470    0.236262  0.2780 -0.1670  0.3847  0.2268  0.2567  0.3317  0.1258  0.2934  0.1081  0.1411
   4  2.9724E-03    0.375293    0.252687  0.2866 -0.1635  0.3944  0.2610  0.3112  0.3435  0.1252  0.2982  0.0924  0.1407
   5  1.3906E-03    0.324552    0.258574  0.2914 -0.1610  0.3976  0.3216  0.3457  0.3496  0.1232  0.3031  0.0911  0.1331
   6  5.6655E-04    0.288475    0.259358  0.2968 -0.1540  0.4011  0.3371  0.3637  0.3593  0.1213  0.3068  0.0861  0.1265
   7  3.8712E-04    0.258143    0.256361  0.3020 -0.1442  0.4062  0.3260  0.3731  0.3708  0.1188  0.3147  0.0746  0.1210
   8  2.2083E-04    0.237257    0.248076  0.3058 -0.1356  0.4106  0.3060  0.3779  0.3800  0.1183  0.3250  0.0604  0.1163
   9  1.2560E-04    0.223184    0.241267  0.3089 -0.1290  0.4142  0.2849  0.3807  0.3853  0.1180  0.3346  0.0501  0.1120
  10  6.8730E-05    0.213955    0.237292  0.3113 -0.1251  0.4163  0.2720  0.3819  0.3873  0.1175  0.3427  0.0441  0.1084
  11  3.3600E-05    0.209115    0.235439  0.3129 -0.1236  0.4172  0.2691  0.3819  0.3875  0.1173  0.3489  0.0410  0.1053
  12  1.9599E-05    0.206596    0.234734  0.3143 -0.1227  0.4178  0.2689  0.3817  0.3868  0.1173  0.3537  0.0393  0.1028
  13  1.2047E-05    0.205405    0.234437  0.3156 -0.1222  0.4182  0.2694  0.3816  0.3858  0.1173  0.3575  0.0384  0.1010
  14  7.4195E-06    0.204775    0.234278  0.3168 -0.1217  0.4185  0.2702  0.3815  0.3848  0.1173  0.3605  0.0379  0.0995
  15  4.7411E-06    0.204538    0.234127  0.3179 -0.1214  0.4187  0.2709  0.3814  0.3839  0.1173  0.3628  0.0376  0.0984
  16  2.9909E-06    0.204422    0.234012  0.3188 -0.1211  0.4189  0.2716  0.3814  0.3832  0.1173  0.3646  0.0374  0.0975
  17  1.9462E-06    0.204381    0.233927  0.3195 -0.1208  0.4190  0.2723  0.3814  0.3826  0.1173  0.3661  0.0372  0.0968
  18  1.2139E-06    0.204408    0.233907  0.3201 -0.1206  0.4191  0.2729  0.3814  0.3821  0.1173  0.3672  0.0371  0.0963
  19  7.7330E-07    0.204444    0.233904  0.3206 -0.1205  0.4192  0.2735  0.3814  0.3818  0.1173  0.3680  0.0370  0.0959
  20  5.0035E-07    0.204479    0.233908  0.3210 -0.1203  0.4192  0.2740  0.3815  0.3815  0.1173  0.3687  0.0369  0.0956
  21  3.3967E-07    0.204582    0.233908  0.3213 -0.1202  0.4193  0.2744  0.3815  0.3812  0.1173  0.3692  0.0369  0.0953
  22  1.0506E-06    0.204825    0.233916  0.3216 -0.1201  0.4193  0.2748  0.3815  0.3812  0.1173  0.3696  0.0368  0.0951
  23  3.0584E-07    0.204940    0.233912  0.3218 -0.1200  0.4193  0.2752  0.3816  0.3810  0.1173  0.3700  0.0368  0.0949
  24  2.3848E-07    0.205054    0.233922  0.3220 -0.1199  0.4193  0.2756  0.3816  0.3809  0.1173  0.3703  0.0367  0.0948
  25  1.2779E-07    0.205114    0.233960  0.3222 -0.1198  0.4193  0.2759  0.3816  0.3807  0.1173  0.3705  0.0367  0.0947
  26  9.8587E-08    0.205157    0.234003  0.3223 -0.1197  0.4193  0.2762  0.3816  0.3807  0.1173  0.3708  0.0367  0.0946
  27  9.5738E-08    0.205157    0.234068  0.3224 -0.1197  0.4193  0.2765  0.3817  0.3806  0.1173  0.3710  0.0366  0.0945
  28  7.5067E-08    0.205194    0.234087  0.3225 -0.1196  0.4193  0.2767  0.3817  0.3805  0.1173  0.3712  0.0366  0.0944
  29  7.7110E-08    0.205176    0.234139  0.3226 -0.1196  0.4193  0.2769  0.3817  0.3804  0.1173  0.3713  0.0366  0.0943
  30  6.0796E-08    0.205190    0.234154  0.3227 -0.1195  0.4193  0.2772  0.3817  0.3804  0.1173  0.3715  0.0366  0.0943
  31  6.6933E-08    0.205178    0.234183  0.3228 -0.1195  0.4193  0.2774  0.3817  0.3803  0.1173  0.3716  0.0365  0.0942
  32  5.4222E-08    0.205198    0.234177  0.3228 -0.1194  0.4193  0.2775  0.3817  0.3803  0.1173  0.3718  0.0365  0.0941
  33  5.3729E-08    0.205229    0.234157  0.3229 -0.1194  0.4193  0.2777  0.3817  0.3802  0.1173  0.3719  0.0365  0.0941
  34  8.4544E-08    0.205275    0.234120  0.3229 -0.1193  0.4193  0.2779  0.3817  0.3802  0.1173  0.3720  0.0365  0.0940
  35  1.2517E-07    0.205304    0.234100  0.3230 -0.1193  0.4193  0.2780  0.3818  0.3801  0.1173  0.3721  0.0365  0.0940
  36  1.3167E-07    0.205377    0.234043  0.3230 -0.1193  0.4193  0.2782  0.3818  0.3801  0.1173  0.3723  0.0365  0.0939
  37  1.1495E-07    0.205439    0.233995  0.3230 -0.1192  0.4193  0.2783  0.3818  0.3800  0.1173  0.3724  0.0365  0.0939
  38  5.8668E-08    0.205441    0.233989  0.3231 -0.1192  0.4193  0.2784  0.3817  0.3800  0.1173  0.3725  0.0364  0.0938
  39  5.3554E-08    0.205427    0.233992  0.3231 -0.1192  0.4193  0.2785  0.3817  0.3800  0.1173  0.3726  0.0364  0.0937
  40  5.8152E-08    0.205397    0.234008  0.3231 -0.1192  0.4193  0.2786  0.3817  0.3799  0.1173  0.3726  0.0364  0.0937
  41  4.4575E-08    0.205376    0.234011  0.3232 -0.1191  0.4193  0.2787  0.3817  0.3799  0.1173  0.3727  0.0364  0.0936
  42  4.9090E-08    0.205337    0.234029  0.3232 -0.1191  0.4193  0.2788  0.3817  0.3799  0.1173  0.3728  0.0364  0.0936
  43  3.6250E-08    0.205339    0.234010  0.3232 -0.1191  0.4193  0.2789  0.3817  0.3799  0.1173  0.3728  0.0364  0.0935
  44  5.3764E-08    0.205273    0.234049  0.3232 -0.1191  0.4193  0.2790  0.3817  0.3799  0.1173  0.3729  0.0364  0.0935
  45  3.5065E-08    0.205269    0.234034  0.3232 -0.1191  0.4193  0.2791  0.3817  0.3800  0.1173  0.3729  0.0364  0.0935
  46  4.5737E-08    0.205229    0.234049  0.3233 -0.1191  0.4193  0.2791  0.3817  0.3800  0.1173  0.3729  0.0364  0.0934
  47  4.0746E-08    0.205197    0.234058  0.3233 -0.1190  0.4193  0.2792  0.3817  0.3800  0.1173  0.3730  0.0364  0.0934
  48  6.8234E-08    0.205079    0.234139  0.3233 -0.1190  0.4193  0.2793  0.3817  0.3800  0.1174  0.3730  0.0363  0.0933
  49  3.8598E-08    0.205063    0.234134  0.3233 -0.1190  0.4193  0.2793  0.3817  0.3800  0.1174  0.3730  0.0363  0.0933
  50  4.9127E-08    0.205021    0.234151  0.3233 -0.1190  0.4193  0.2794  0.3817  0.3800  0.1174  0.3731  0.0363  0.0933
  51  5.6182E-08    0.204935    0.234205  0.3233 -0.1190  0.4193  0.2794  0.3817  0.3800  0.1174  0.3731  0.0363  0.0932
