K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fis1     Fis2     Fis3     Fis4     Fis5
5   6   1       0   1.0000 57:32:12 -4.28666809585E+05 -4.28666809585E+05 -0.01462  0.06916 -0.05421 -0.01535  0.01183 -0.10486 -0.07530 -0.17239 -0.12751 -0.15318
5   6   1     100   1.9802 57:32:12 -4.25755013760E+05 -4.25755013760E+05 -0.01462  0.06916 -0.05421 -0.01535  0.01183 -0.10486 -0.07530 -0.17239 -0.12751 -0.15318
5   6   1     200  32.6733 57:32:12 -3.96880705749E+05 -3.96880705749E+05  0.06916  0.01183 -0.01462 -0.05421 -0.01535 -0.07530 -0.15318 -0.10486 -0.17239 -0.12751
5   6   1     400  45.2736 57:32:12 -3.62572899745E+05 -3.62572899745E+05  0.01183 -0.01535 -0.01462  0.06916 -0.05421 -0.15318 -0.12751 -0.10486 -0.07530 -0.17239
5   6   1     800  46.8828 57:32:12 -3.59069267469E+05 -3.57816526662E+05  0.06916  0.01183 -0.01535 -0.05421 -0.01462 -0.07530 -0.15318 -0.12751 -0.17239 -0.10486
5   6   1    1600  47.0662 57:32:12 -3.57486232238E+05 -3.53725935453E+05  0.06916  0.01183 -0.01535 -0.05421 -0.01462 -0.07530 -0.15318 -0.12751 -0.17239 -0.10486
5   6   1    3200  46.5022 57:32:12 -3.61409458812E+05 -3.53596592997E+05  0.01183 -0.01535  0.06916 -0.05421 -0.01462 -0.15318 -0.12751 -0.07530 -0.17239 -0.10486
5   6   2    6400  39.3377 57:32:12 -3.58110648447E+05 -3.50999803958E+05  0.26157  0.40564  0.30989 -0.13861  0.36492 -0.21835 -0.54674 -0.21184 -0.88937 -0.20046
5   6   2   12800  37.2187 02:33:12 -3.57547096324E+05 -3.50130155625E+05  0.25587  0.27863  0.25110 -0.14835  0.50574 -0.27533 -0.13484 -0.19710 -0.88937 -0.88116
5   6   2   15000  37.7125 04:33:12 -3.56955008834E+05 -3.48676324408E+05  0.25387  0.25513  0.36289 -0.15229  0.26218 -0.21476 -0.20376 -0.22818 -0.88937 -0.23779
5   6   3   25000  31.9511 11:33:12 -3.60936816137E+05 -3.48676324408E+05  0.35986  0.37878  1.00000  0.04003  0.04157 -0.18930 -0.13747  0.00000 -0.91694 -0.78054
5   6   3   25600  32.3713 11:33:12 -3.59485602893E+05 -3.48676324408E+05  0.35986  0.04003  0.37878  0.04157  1.00000 -0.18930 -0.91694 -0.13747 -0.78054  0.00000
5   6   5   50000  21.9675 13:33:12 -3.54787326688E+05 -3.45709018500E+05  0.32152  0.25266 -0.15124  0.27950  0.56857 -0.16668 -0.24445 -0.88937 -0.23328 -0.81434
5   6   5   51200  22.4935 13:33:12 -3.53367646017E+05 -3.45709018500E+05  0.32152  0.25266 -0.15124  0.27950  0.56857 -0.16668 -0.24445 -0.88937 -0.23328 -0.81434
5   6   6   70000  17.9802 15:33:12 -3.51922692913E+05 -3.44775195494E+05  0.52421  0.22999  0.47157 -0.19448  0.28190 -0.87135 -0.22204 -0.67779 -0.88937 -0.17441
5   6   8  100000   7.7022 17:33:12 -3.45606878807E+05 -3.44209006463E+05  0.41183  0.22780  0.53810 -0.18735  0.35120 -0.23916 -0.20647 -0.90634 -0.88937 -0.47352
5   6   8  102400   7.6648 17:33:12 -3.48318739456E+05 -3.44209006463E+05  0.41183  0.22780  0.53810 -0.18735  0.35120 -0.23916 -0.20647 -0.90634 -0.88937 -0.47352
5   6   9  108791   9.8000 17:33:12 -3.45276604703E+05 -3.44209006463E+05  0.34322  0.23907  0.54252 -0.17598  0.35742 -0.20260 -0.21716 -0.90634 -0.88937 -0.47352
5   6  10  130000   2.8369 19:33:12 -3.43992026053E+05 -3.43992026053E+05  0.34837  0.24001  0.54220 -0.17682  0.35696 -0.22032 -0.21411 -0.90634 -0.88937 -0.47352
5   6  10  130131   2.9000 19:33:12 -3.44667586352E+05 -3.43992026053E+05  0.34837  0.24001  0.54220 -0.17682  0.35696 -0.22032 -0.21411 -0.90634 -0.88937 -0.47352
5   6  10  140000   4.5183 21:33:12 -3.44217607591E+05 -3.43992026053E+05  0.38512  0.23345  0.54011 -0.18220  0.35402 -0.22584 -0.21859 -0.90634 -0.88937 -0.47352
5   6  10  145000   4.3534 26:33:12 -3.44828594925E+05 -3.43992026053E+05  0.36606  0.23631  0.54125 -0.17926  0.35563 -0.21656 -0.21970 -0.90634 -0.88937 -0.47352
5   6  11  149492   3.7000 27:33:12 -3.44173746009E+05 -3.43992026053E+05  0.34876  0.23868  0.54241 -0.17627  0.35726 -0.18316 -0.22890 -0.90634 -0.88937 -0.47352
5   6  11  150000   3.3750 28:33:12 -3.44300802467E+05 -3.43992026053E+05  0.34876  0.23868  0.54241 -0.17627  0.35726 -0.18316 -0.22890 -0.90634 -0.88937 -0.47352
5   6  11  155000   3.5165 32:33:12 -3.45018052998E+05 -3.43992026053E+05  0.36418  0.23759  0.54174 -0.17800  0.38861 -0.21972 -0.22080 -0.90634 -0.88937 -0.55358
5   6  12  157996   3.0000 33:33:12 -3.44217607591E+05 -3.43992026053E+05  0.38856  0.23259  0.53975 -0.18312  0.35351 -0.23447 -0.21483 -0.90634 -0.88937 -0.47352
5   6  12  165000   3.1421 34:33:12 -3.44540495901E+05 -3.43992026053E+05  0.35155  0.24022  0.54235 -0.17644  0.35717 -0.19475 -0.22902 -0.90634 -0.88937 -0.47352
5   6  13  177227   3.1000 34:33:12 -3.44435659552E+05 -3.43992026053E+05  0.37281  0.23581  0.54096 -0.18000  0.35522 -0.21303 -0.22232 -0.90634 -0.88937 -0.47352
5   6  14  185905   2.8000 35:33:12 -3.44505486199E+05 -3.43992026053E+05  0.37000  0.23684  0.54115 -0.17951  0.35549 -0.22056 -0.22213 -0.90634 -0.88937 -0.47352
5   6  15  205000   2.4390 36:33:12 -3.44320603227E+05 -3.43992026053E+05  0.36567  0.23813  0.54152 -0.17855  0.35601 -0.21979 -0.22321 -0.90634 -0.88937 -0.47352
5   6  15  205328   2.6000 36:33:12 -3.44188936792E+05 -3.43992026053E+05  0.36567  0.23813  0.54152 -0.17855  0.35601 -0.21979 -0.22321 -0.90634 -0.88937 -0.47352
5   6  16  214102   2.7000 36:33:12 -3.44297349854E+05 -3.43992026053E+05  0.37018  0.23720  0.54120 -0.17939  0.35555 -0.21873 -0.22327 -0.90634 -0.88937 -0.47352
5   6  18  242566   1.7000 37:33:12 -3.44151191849E+05 -3.43992026053E+05  0.36623  0.23846  0.54149 -0.17865  0.35596 -0.22074 -0.22393 -0.90634 -0.88937 -0.47352
5   6  18  250000   1.5052 38:33:12 -3.43992026053E+05 -3.43992026053E+05  0.36623  0.23846  0.54149 -0.17865  0.35596 -0.22074 -0.22393 -0.90634 -0.88937 -0.47352
5   6  19  262322   0.7000 38:33:12 -3.44107699620E+05 -3.43992026053E+05  0.35559  0.24085  0.54219 -0.17684  0.35695 -0.21054 -0.22731 -0.90634 -0.88937 -0.47352
5   6  20  271288   1.2000 39:33:12 -3.44007525510E+05 -3.43992026053E+05  0.37098  0.23709  0.54112 -0.17958  0.35545 -0.22579 -0.22150 -0.90634 -0.88937 -0.47352
5   6  20  285000   1.1227 40:33:12 -3.44007525510E+05 -3.43992026053E+05  0.37098  0.23709  0.54112 -0.17958  0.35545 -0.22579 -0.22150 -0.90634 -0.88937 -0.47352
5   6  21  291215   1.6000 40:33:12 -3.44132216446E+05 -3.43992026053E+05  0.37098  0.23709  0.54112 -0.17958  0.35545 -0.22579 -0.22150 -0.90634 -0.88937 -0.47352
5   6 200  299178   0.0000 40:33:12 -3.43992026053E+05 -3.43992026053E+05  0.36623  0.23846  0.54149 -0.17865  0.35596 -0.22074 -0.22393 -0.90634 -0.88937 -0.47352
