Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6
   1  9.6550E-03    0.762636    0.105198  0.1592 -0.3190  0.2038  0.1023  0.1393  0.1835  0.1790  0.1463  0.1830  0.1424  0.1520  0.1973
   2  6.4574E-03    0.631387    0.234399  0.2366 -0.2153  0.3291  0.1821  0.2248  0.2209  0.2087  0.1287  0.2060  0.1109  0.1334  0.2122
   3  3.9870E-03    0.528327    0.246234  0.2677 -0.2025  0.3816  0.2086  0.2963  0.2400  0.2385  0.1264  0.2236  0.0895  0.1210  0.2010
   4  2.6792E-03    0.433416    0.263819  0.2789 -0.2001  0.3969  0.2499  0.3777  0.2593  0.2538  0.1256  0.2206  0.0764  0.1188  0.2048
   5  1.5028E-03    0.360982    0.281082  0.2857 -0.1930  0.4044  0.2820  0.4219  0.2761  0.2608  0.1225  0.2173  0.0729  0.1141  0.2124
   6  4.1600E-04    0.316903    0.292668  0.2880 -0.1881  0.4077  0.2978  0.4387  0.2851  0.2668  0.1206  0.2190  0.0647  0.1094  0.2195
   7  1.2517E-04    0.293721    0.296705  0.2885 -0.1856  0.4090  0.3003  0.4442  0.2894  0.2700  0.1203  0.2217  0.0589  0.1060  0.2232
   8  5.9110E-05    0.279760    0.298992  0.2887 -0.1841  0.4096  0.2968  0.4459  0.2919  0.2715  0.1200  0.2241  0.0560  0.1035  0.2249
   9  3.4420E-05    0.270670    0.300556  0.2890 -0.1828  0.4099  0.2902  0.4464  0.2938  0.2724  0.1196  0.2261  0.0547  0.1018  0.2254
  10  2.0472E-05    0.264220    0.301811  0.2888 -0.1827  0.4097  0.2882  0.4462  0.2948  0.2729  0.1193  0.2274  0.0542  0.1005  0.2256
  11  1.0775E-05    0.260057    0.302846  0.2885 -0.1829  0.4094  0.2873  0.4458  0.2955  0.2732  0.1193  0.2285  0.0540  0.0996  0.2255
  12  6.6211E-06    0.257237    0.303643  0.2884 -0.1830  0.4091  0.2863  0.4454  0.2961  0.2734  0.1193  0.2293  0.0538  0.0990  0.2252
  13  4.5208E-06    0.255151    0.304279  0.2882 -0.1830  0.4088  0.2853  0.4452  0.2966  0.2736  0.1193  0.2299  0.0538  0.0985  0.2248
  14  3.1106E-06    0.253576    0.304773  0.2881 -0.1831  0.4086  0.2843  0.4449  0.2971  0.2738  0.1193  0.2304  0.0538  0.0982  0.2245
  15  2.2352E-06    0.252406    0.305124  0.2880 -0.1832  0.4084  0.2833  0.4447  0.2974  0.2739  0.1193  0.2308  0.0539  0.0979  0.2242
  16  1.6928E-06    0.251486    0.305391  0.2879 -0.1833  0.4082  0.2824  0.4446  0.2977  0.2741  0.1193  0.2310  0.0540  0.0977  0.2239
  17  1.3149E-06    0.250687    0.305643  0.2878 -0.1833  0.4081  0.2815  0.4444  0.2980  0.2742  0.1193  0.2312  0.0541  0.0975  0.2237
  18  9.5029E-07    0.249959    0.305880  0.2877 -0.1834  0.4079  0.2807  0.4443  0.2982  0.2743  0.1193  0.2313  0.0542  0.0974  0.2235
  19  6.6369E-07    0.249285    0.306121  0.2876 -0.1835  0.4078  0.2799  0.4442  0.2983  0.2743  0.1194  0.2314  0.0543  0.0973  0.2234
  20  3.8613E-07    0.248937    0.306183  0.2875 -0.1835  0.4076  0.2791  0.4441  0.2984  0.2743  0.1194  0.2314  0.0544  0.0972  0.2233
  21  3.3635E-07    0.248580    0.306285  0.2875 -0.1836  0.4075  0.2784  0.4441  0.2985  0.2743  0.1194  0.2313  0.0545  0.0972  0.2233
  22  2.9787E-07    0.248307    0.306348  0.2874 -0.1837  0.4074  0.2777  0.4440  0.2986  0.2743  0.1194  0.2313  0.0546  0.0972  0.2232
  23  3.2174E-07    0.248069    0.306385  0.2873 -0.1837  0.4072  0.2770  0.4439  0.2986  0.2743  0.1194  0.2313  0.0547  0.0971  0.2231
  24  2.4389E-07    0.247887    0.306409  0.2872 -0.1838  0.4071  0.2764  0.4439  0.2987  0.2743  0.1195  0.2312  0.0548  0.0971  0.2230
  25  2.9768E-07    0.247599    0.306520  0.2872 -0.1838  0.4070  0.2758  0.4438  0.2987  0.2743  0.1195  0.2312  0.0549  0.0971  0.2230
  26  2.3171E-07    0.247466    0.306519  0.2871 -0.1839  0.4069  0.2753  0.4438  0.2987  0.2744  0.1195  0.2311  0.0550  0.0971  0.2229
  27  2.0601E-07    0.247295    0.306561  0.2870 -0.1840  0.4068  0.2748  0.4437  0.2987  0.2744  0.1195  0.2311  0.0551  0.0971  0.2228
  28  1.7155E-07    0.247109    0.306629  0.2870 -0.1840  0.4067  0.2744  0.4437  0.2987  0.2744  0.1196  0.2311  0.0552  0.0971  0.2227
  29  1.4852E-07    0.246974    0.306673  0.2870 -0.1840  0.4066  0.2740  0.4437  0.2987  0.2744  0.1196  0.2310  0.0553  0.0971  0.2227
  30  1.0496E-07    0.246888    0.306719  0.2869 -0.1841  0.4065  0.2737  0.4436  0.2987  0.2744  0.1196  0.2310  0.0553  0.0971  0.2226
  31  1.6506E-07    0.246615    0.306879  0.2869 -0.1841  0.4065  0.2735  0.4436  0.2987  0.2744  0.1197  0.2310  0.0554  0.0971  0.2225
  32  5.4185E-08    0.246625    0.306881  0.2869 -0.1841  0.4064  0.2733  0.4436  0.2988  0.2744  0.1197  0.2310  0.0554  0.0971  0.2224
  33  1.0040E-07    0.246531    0.306928  0.2868 -0.1841  0.4063  0.2732  0.4436  0.2988  0.2744  0.1197  0.2310  0.0554  0.0971  0.2224
  34  7.9761E-08    0.246473    0.306968  0.2868 -0.1841  0.4063  0.2731  0.4436  0.2988  0.2744  0.1197  0.2310  0.0555  0.0971  0.2223
  35  8.7978E-08    0.246425    0.306983  0.2868 -0.1842  0.4062  0.2730  0.4435  0.2988  0.2744  0.1197  0.2310  0.0555  0.0971  0.2223
  36  6.2803E-08    0.246360    0.307059  0.2867 -0.1842  0.4062  0.2729  0.4435  0.2988  0.2744  0.1198  0.2310  0.0556  0.0971  0.2222
  37  7.5780E-08    0.246251    0.307163  0.2867 -0.1842  0.4061  0.2728  0.4435  0.2988  0.2744  0.1198  0.2310  0.0556  0.0971  0.2221
