K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6
6   6   1       0   1.0000 58:39:12 -4.27725094714E+05 -4.27725094714E+05 -0.06645  0.07563  0.17461 -0.07654 -0.11449  0.01765 -0.14722 -0.12287 -0.16573 -0.12897 -0.12201 -0.09876
6   6   1     100   1.0000 58:39:12 -4.22933709348E+05 -4.22933709348E+05 -0.06645  0.07563  0.17461 -0.07654 -0.11449  0.01765 -0.14722 -0.12287 -0.16573 -0.12897 -0.12201 -0.09876
6   6   1     200  36.5000 58:39:12 -3.84979860044E+05 -3.83931029948E+05  0.17461  0.01765 -0.07654  0.07563 -0.11449 -0.06645 -0.16573 -0.09876 -0.12897 -0.12287 -0.12201 -0.14722
6   6   1     400  42.0000 58:39:12 -3.68927746921E+05 -3.65117997537E+05  0.17461  0.01765 -0.11449  0.07563 -0.06645 -0.07654 -0.16573 -0.09876 -0.12201 -0.12287 -0.14722 -0.12897
6   6   1     800  41.3750 58:39:12 -3.60920238556E+05 -3.59928810733E+05 -0.11449  0.01765  0.07563 -0.06645 -0.07654  0.17461 -0.12201 -0.09876 -0.12287 -0.14722 -0.12897 -0.16573
6   6   1    1600  35.9375 58:39:12 -3.53659285788E+05 -3.52382309305E+05 -0.11449  0.01765  0.07563 -0.07654 -0.06645  0.17461 -0.12201 -0.09876 -0.12287 -0.12897 -0.14722 -0.16573
6   6   1    3200  37.0312 58:39:12 -3.56505605742E+05 -3.52382309305E+05 -0.11449  0.01765  0.07563 -0.06645  0.17461 -0.07654 -0.12201 -0.09876 -0.12287 -0.14722 -0.16573 -0.12897
6   6   1    6400  36.1562 58:39:12 -3.58634680091E+05 -3.52382309305E+05  0.33992  0.39492  0.49114 -0.00366 -0.00870  1.00000 -0.17714 -0.21474 -0.37274 -0.84654 -0.92971  0.00000
6   6   1   12800  33.7969 00:40:12 -3.54474367643E+05 -3.48985263102E+05  0.59306  0.31934 -0.04416  0.34625 -0.04680  0.42840 -0.90634 -0.17933 -0.87262 -0.16780 -0.89310 -0.47352
6   6   2   15000  27.9379 03:40:12 -3.49910063092E+05 -3.48985263102E+05  0.36507  0.35741 -0.03101  0.40611 -0.02799  0.43727 -0.20390 -0.23037 -0.91798 -0.30117 -0.84654 -0.47352
6   6   2   20000  31.5403 05:40:12 -3.57787993495E+05 -3.48985263102E+05  0.32964  0.43024  0.40918 -0.03022  0.55752 -0.02542 -0.21094 -0.38632 -0.19230 -0.87658 -0.88116 -0.90738
6   6   2   25600  29.2567 05:40:12 -3.54641975689E+05 -3.47963152514E+05  0.39980  0.31388  0.54325 -0.05300 -0.05549  0.54630 -0.21264 -0.18665 -0.66158 -0.88604 -0.89044 -0.88116
6   6   3   40000  19.1713 07:40:12 -3.53596373544E+05 -3.47176143277E+05  0.31922  0.24206  0.54448 -0.17096  1.00000  0.49600 -0.16349 -0.23433 -0.90634 -0.88937  0.00000 -0.88116
6   6   4   51200  13.2028 07:40:12 -3.48301802410E+05 -3.47176143277E+05  0.33794  0.24336  0.54362  1.00000 -0.17317  0.38760 -0.20013 -0.22724 -0.90634  0.00000 -0.88937 -0.54674
6   6   5   75000  13.5560 09:40:12 -3.47876158396E+05 -3.45487081412E+05  0.30357  0.21383  0.52690 -0.21613  0.46286  0.33548 -0.18979 -0.22439 -0.90634 -0.88937 -0.67994 -0.47352
6   6   6  102400   4.9171 10:40:12 -3.46993401878E+05 -3.45370939382E+05  0.34925  0.20989  0.39267  0.52626 -0.21780  0.33457 -0.20862 -0.23379 -0.43686 -0.90634 -0.88937 -0.47352
6   6   6  110000   5.4695 11:40:12 -3.47626885108E+05 -3.45370939382E+05  0.33881  0.21329  0.52698 -0.21594  0.33558  0.39360 -0.21218 -0.23854 -0.90634 -0.88937 -0.47352 -0.43686
6   6   8  136572   3.6000 12:40:12 -3.45484964168E+05 -3.45154502975E+05  0.33532  0.21319  0.39365  0.52703 -0.21582  0.33565 -0.19901 -0.24114 -0.43686 -0.90634 -0.88937 -0.47352
