Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7
   1  6.5950E-03    0.799904    0.067083  0.1820 -0.3105  0.2127  0.0880  0.1195  0.1224  0.1299  0.1959  0.1125  0.1664  0.1238  0.1328  0.1345  0.1341
   2  6.7914E-03    0.655044    0.246121  0.2259 -0.2332  0.3202  0.1479  0.1678  0.1717  0.1999  0.2434  0.1261  0.1962  0.0924  0.1110  0.1153  0.1156
   3  3.0044E-03    0.553336    0.267367  0.2496 -0.2212  0.3694  0.1479  0.1908  0.2111  0.2657  0.2811  0.1236  0.2167  0.0733  0.0957  0.1046  0.1049
   4  3.6119E-03    0.442775    0.278006  0.2598 -0.2147  0.3863  0.1307  0.2552  0.2837  0.3622  0.3027  0.1234  0.2175  0.0559  0.0890  0.1079  0.1035
   5  2.2056E-03    0.352152    0.284953  0.2584 -0.2172  0.3893  0.2271  0.3041  0.3163  0.4062  0.3084  0.1237  0.2163  0.0524  0.0910  0.1071  0.1012
   6  1.0468E-03    0.295794    0.284671  0.2591 -0.2147  0.3922  0.3013  0.3192  0.3276  0.4180  0.3128  0.1222  0.2182  0.0562  0.0905  0.1042  0.0960
   7  3.5855E-04    0.259904    0.282606  0.2652 -0.2029  0.3989  0.2759  0.3270  0.3366  0.4244  0.3192  0.1194  0.2236  0.0531  0.0899  0.1023  0.0924
   8  1.2846E-04    0.237378    0.279124  0.2690 -0.1947  0.4035  0.2508  0.3295  0.3408  0.4267  0.3250  0.1181  0.2324  0.0448  0.0890  0.1005  0.0903
   9  5.6202E-05    0.225042    0.274967  0.2717 -0.1897  0.4062  0.2357  0.3301  0.3428  0.4272  0.3282  0.1177  0.2403  0.0390  0.0877  0.0986  0.0885
  10  2.7131E-05    0.217654    0.271809  0.2740 -0.1865  0.4080  0.2257  0.3303  0.3440  0.4272  0.3300  0.1175  0.2462  0.0363  0.0862  0.0969  0.0870
  11  1.5520E-05    0.212678    0.269106  0.2754 -0.1853  0.4086  0.2245  0.3297  0.3441  0.4264  0.3310  0.1171  0.2506  0.0353  0.0849  0.0954  0.0857
  12  8.1349E-06    0.209556    0.267069  0.2766 -0.1846  0.4089  0.2253  0.3289  0.3440  0.4256  0.3317  0.1169  0.2540  0.0347  0.0837  0.0943  0.0847
  13  5.1236E-06    0.207398    0.265284  0.2776 -0.1841  0.4091  0.2259  0.3284  0.3439  0.4249  0.3323  0.1169  0.2567  0.0344  0.0826  0.0933  0.0838
  14  3.4234E-06    0.205875    0.263572  0.2785 -0.1836  0.4093  0.2263  0.3279  0.3439  0.4243  0.3328  0.1169  0.2589  0.0341  0.0817  0.0926  0.0830
  15  2.3438E-06    0.204745    0.261984  0.2792 -0.1832  0.4096  0.2267  0.3275  0.3438  0.4238  0.3332  0.1169  0.2606  0.0340  0.0809  0.0920  0.0824
  16  1.6342E-06    0.203803    0.260560  0.2799 -0.1828  0.4097  0.2269  0.3272  0.3438  0.4234  0.3337  0.1169  0.2621  0.0338  0.0803  0.0915  0.0818
  17  1.1484E-06    0.202963    0.259320  0.2804 -0.1825  0.4099  0.2271  0.3269  0.3438  0.4231  0.3341  0.1169  0.2633  0.0337  0.0797  0.0911  0.0813
