K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7
7   7   1       0   1.0000 42:49:12 -4.29358831413E+05 -4.29358831413E+05  0.00784 -0.05456  0.10641 -0.17383 -0.08314  0.08448  0.15854 -0.10466 -0.09261 -0.17882 -0.12022 -0.19279 -0.08962 -0.18448
7   7   1     100   2.9412 42:49:12 -4.28444280429E+05 -4.28444280429E+05  0.00784 -0.05456 -0.08314 -0.17383  0.15854  0.08448  0.10641 -0.10466 -0.09261 -0.19279 -0.12022 -0.18448 -0.08962 -0.17882
7   7   1     200  42.5743 42:49:12 -4.00516873977E+05 -4.00068444505E+05  0.15854  0.08448 -0.05456 -0.08314  0.10641  0.00784 -0.17383 -0.18448 -0.08962 -0.09261 -0.19279 -0.17882 -0.10466 -0.12022
7   7   1     400  56.2189 42:49:12 -3.76866939847E+05 -3.76866939847E+05 -0.08314  0.15854  0.10641 -0.17383  0.08448  0.00784 -0.05456 -0.19279 -0.18448 -0.17882 -0.12022 -0.08962 -0.10466 -0.09261
7   7   1     800  47.8803 42:49:12 -3.60542577447E+05 -3.59666659006E+05 -0.08314  0.10641  0.15854  0.00784 -0.05456 -0.17383  0.08448 -0.19279 -0.17882 -0.18448 -0.10466 -0.09261 -0.12022 -0.08962
7   7   1    1600  42.2597 42:49:12 -3.66902920638E+05 -3.59666659006E+05  0.10641  0.15854 -0.08314 -0.17383 -0.05456  0.08448  0.00784 -0.17882 -0.18448 -0.19279 -0.12022 -0.09261 -0.08962 -0.10466
7   7   2    3200  40.6897 42:49:12 -3.61168733457E+05 -3.59666659006E+05  0.15854  0.10641  0.00784 -0.05456  0.08448 -0.17383 -0.08314 -0.18448 -0.17882 -0.10466 -0.09261 -0.08962 -0.12022 -0.19279
7   7   2    6400  32.5215 43:49:12 -3.59338741862E+05 -3.56002090397E+05  0.38024  0.34877  0.00186  1.00000  0.00367  1.00000  0.41518 -0.18144 -0.17533 -0.89019  0.00000 -0.88392  0.00000 -0.34559
7   7   2   10000  32.0028 47:49:12 -3.60018119483E+05 -3.56002090397E+05  0.38024  0.34877  0.00186  1.00000  1.00000  0.41518  0.00367 -0.18144 -0.17533 -0.89019  0.00000  0.00000 -0.34559 -0.88392
7   7   2   12800  32.2144 49:49:12 -3.61632730728E+05 -3.56002090397E+05  0.41774  0.38130  0.04336  0.04549  0.03402  1.00000  0.47701 -0.17390 -0.22399 -0.93640 -0.86662 -0.90462  0.00000 -0.47352
7   7   2   15000  31.8528 49:49:12 -3.62518060909E+05 -3.56002090397E+05  0.41774  0.38130  0.04336  0.04549  0.47701  0.03402  1.00000 -0.17390 -0.22399 -0.93640 -0.86662 -0.47352 -0.90462  0.00000
7   7   3   25600  29.9891 50:49:12 -3.57976713738E+05 -3.55162463648E+05  0.52494  1.00000  1.00000 -0.10372  0.33606  0.28212  1.00000 -0.88116  0.00000  0.00000 -0.88937 -0.20684 -0.17100  0.00000
7   7   3   40000  26.9671 51:49:12 -3.59808628543E+05 -3.54020630142E+05  0.33932  0.29224 -0.09769  1.00000  1.00000  0.52754  1.00000 -0.18952 -0.22223 -0.88937  0.00000  0.00000 -0.88116  0.00000
7   7   4   50000  20.7514 53:49:12 -3.57553868866E+05 -3.54020630142E+05  0.33349  0.30014  1.00000 -0.09536  1.00000  0.52854  1.00000 -0.20400 -0.21469  0.00000 -0.88937  0.00000 -0.88116  0.00000
7   7   4   51200  21.3437 53:49:12 -3.58339854022E+05 -3.54020630142E+05  0.35354  0.29104 -0.09992  1.00000  1.00000  1.00000  0.39898 -0.20527 -0.20393 -0.88937  0.00000  0.00000  0.00000 -0.47352
7   7   5   70000  16.9574 55:49:12 -3.53938186233E+05 -3.53334288474E+05  0.31850  0.55754  1.00000  0.23968 -0.17761  0.18981  0.35486 -0.21220 -0.81434  0.00000 -0.21943 -0.89200 -0.12556 -0.47352
7   7   5   95000  15.1606 57:49:12 -3.50094032382E+05 -3.48012368755E+05  0.30962  0.19949  0.51910 -0.23620  0.39205  0.54663  0.32451 -0.20618 -0.24553 -0.90634 -0.88937 -0.36320 -0.83914 -0.47352
7   7   5  102400  15.0617 57:49:12 -3.51068153141E+05 -3.47760245372E+05  0.29324  0.22680  0.53149 -0.20307  0.39514  1.00000  0.37560 -0.19318 -0.23563 -0.90203 -0.88937 -0.39855  0.00000 -0.55358
