Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8
   1  5.5055E-03    0.822332    0.085283  0.1498 -0.3190  0.1969  0.0804  0.1124  0.1179  0.1236  0.1497  0.1427  0.1103  0.1424  0.1081  0.1168  0.1197  0.1180  0.1420
   2  4.4827E-03    0.707044    0.255582  0.2120 -0.2483  0.3108  0.1276  0.1510  0.1604  0.1855  0.1689  0.1720  0.1266  0.1651  0.0837  0.1017  0.1084  0.1049  0.1375
   3  3.2142E-03    0.609784    0.274181  0.2478 -0.2372  0.3688  0.1251  0.1744  0.2109  0.2599  0.1688  0.2075  0.1272  0.1918  0.0672  0.0885  0.1017  0.0978  0.1182
   4  3.3266E-03    0.494482    0.295498  0.2600 -0.2319  0.3858  0.1121  0.2428  0.2813  0.3571  0.1711  0.2265  0.1271  0.1963  0.0528  0.0855  0.1072  0.1011  0.1035
   5  1.7277E-03    0.401604    0.317092  0.2642 -0.2269  0.3908  0.1148  0.2993  0.3170  0.4051  0.1868  0.2338  0.1266  0.1937  0.0429  0.0924  0.1098  0.1015  0.0994
   6  8.5843E-04    0.347061    0.324285  0.2607 -0.2312  0.3900  0.2125  0.3132  0.3245  0.4163  0.1961  0.2330  0.1267  0.1949  0.0441  0.0938  0.1075  0.0983  0.1017
   7  8.8491E-04    0.308836    0.317413  0.2579 -0.2342  0.3876  0.3023  0.3140  0.3254  0.4160  0.2015  0.2315  0.1264  0.1935  0.0523  0.0921  0.1044  0.0936  0.1062
   8  2.5735E-04    0.282039    0.313660  0.2608 -0.2277  0.3899  0.2833  0.3180  0.3300  0.4193  0.2093  0.2308  0.1245  0.1931  0.0545  0.0913  0.1030  0.0909  0.1120
   9  1.3474E-04    0.261629    0.313268  0.2628 -0.2228  0.3919  0.2624  0.3202  0.3327  0.4213  0.2135  0.2300  0.1220  0.1955  0.0535  0.0907  0.1019  0.0894  0.1171
  10  4.0674E-05    0.249965    0.311392  0.2634 -0.2206  0.3927  0.2525  0.3206  0.3336  0.4217  0.2148  0.2292  0.1214  0.1983  0.0507  0.0900  0.1008  0.0884  0.1211
  11  2.5338E-05    0.241343    0.309520  0.2635 -0.2198  0.3928  0.2493  0.3204  0.3337  0.4214  0.2150  0.2282  0.1209  0.2006  0.0493  0.0893  0.1000  0.0876  0.1242
  12  1.4255E-05    0.235310    0.308084  0.2634 -0.2195  0.3927  0.2488  0.3201  0.3336  0.4210  0.2148  0.2272  0.1206  0.2022  0.0485  0.0887  0.0992  0.0869  0.1267
  13  8.7572E-06    0.230884    0.307071  0.2635 -0.2193  0.3926  0.2485  0.3198  0.3335  0.4206  0.2147  0.2263  0.1205  0.2034  0.0480  0.0881  0.0986  0.0863  0.1287
  14  5.6517E-06    0.227590    0.306263  0.2636 -0.2191  0.3926  0.2481  0.3196  0.3334  0.4203  0.2146  0.2256  0.1204  0.2044  0.0476  0.0876  0.0980  0.0859  0.1304
  15  3.7137E-06    0.225038    0.305589  0.2637 -0.2188  0.3926  0.2476  0.3194  0.3333  0.4199  0.2147  0.2251  0.1203  0.2051  0.0474  0.0872  0.0976  0.0854  0.1319
  16  2.4932E-06    0.222965    0.305070  0.2639 -0.2187  0.3926  0.2472  0.3192  0.3333  0.4197  0.2148  0.2247  0.1201  0.2056  0.0472  0.0869  0.0973  0.0851  0.1331
  17  1.7162E-06    0.221225    0.304712  0.2640 -0.2185  0.3926  0.2468  0.3191  0.3332  0.4195  0.2149  0.2244  0.1201  0.2060  0.0470  0.0866  0.0970  0.0848  0.1342
  18  1.2073E-06    0.219842    0.304386  0.2642 -0.2183  0.3926  0.2464  0.3190  0.3332  0.4193  0.2150  0.2243  0.1199  0.2062  0.0469  0.0863  0.0967  0.0845  0.1351
  19  9.0130E-07    0.218634    0.304087  0.2643 -0.2181  0.3927  0.2460  0.3189  0.3331  0.4191  0.2151  0.2242  0.1198  0.2065  0.0467  0.0861  0.0965  0.0843  0.1360
  20  6.7031E-07    0.217631    0.303721  0.2645 -0.2179  0.3928  0.2456  0.3189  0.3331  0.4189  0.2152  0.2241  0.1197  0.2066  0.0466  0.0859  0.0963  0.0841  0.1368
  21  5.2970E-06    0.216583    0.302825  0.2647 -0.2175  0.3930  0.2441  0.3187  0.3330  0.4185  0.2155  0.2243  0.1196  0.2068  0.0461  0.0856  0.0960  0.0837  0.1378
  22  1.9915E-06    0.215582    0.302195  0.2649 -0.2172  0.3931  0.2435  0.3186  0.3329  0.4182  0.2156  0.2243  0.1195  0.2070  0.0459  0.0854  0.0958  0.0834  0.1387
  23  1.2216E-06    0.214743    0.301552  0.2650 -0.2170  0.3932  0.2431  0.3184  0.3329  0.4180  0.2158  0.2243  0.1194  0.2072  0.0456  0.0851  0.0956  0.0831  0.1396
  24  9.0012E-07    0.213917    0.300975  0.2651 -0.2168  0.3933  0.2428  0.3183  0.3328  0.4178  0.2159  0.2243  0.1193  0.2074  0.0455  0.0849  0.0954  0.0828  0.1404
  25  5.2441E-06    0.212908    0.299977  0.2654 -0.2163  0.3936  0.2414  0.3181  0.3327  0.4175  0.2162  0.2245  0.1192  0.2076  0.0450  0.0845  0.0951  0.0826  0.1415
  26  1.8971E-06    0.212109    0.299137  0.2656 -0.2160  0.3937  0.2409  0.3179  0.3326  0.4173  0.2164  0.2246  0.1191  0.2078  0.0447  0.0842  0.0949  0.0823  0.1424
  27  1.0874E-06    0.211391    0.298493  0.2657 -0.2158  0.3939  0.2407  0.3177  0.3325  0.4171  0.2165  0.2246  0.1191  0.2080  0.0444  0.0840  0.0947  0.0821  0.1431
  28  7.6603E-07    0.210860    0.297799  0.2659 -0.2155  0.3940  0.2405  0.3176  0.3325  0.4169  0.2165  0.2246  0.1190  0.2082  0.0443  0.0837  0.0945  0.0819  0.1439
  29  5.9744E-07    0.210370    0.297143  0.2661 -0.2153  0.3942  0.2403  0.3175  0.3324  0.4167  0.2166  0.2246  0.1189  0.2084  0.0441  0.0835  0.0943  0.0817  0.1445
  30  5.7446E-07    0.209799    0.296485  0.2662 -0.2150  0.3944  0.2399  0.3174  0.3324  0.4165  0.2167  0.2246  0.1188  0.2085  0.0439  0.0833  0.0941  0.0815  0.1452
  31  5.2544E-07    0.209159    0.295927  0.2664 -0.2147  0.3946  0.2396  0.3173  0.3323  0.4164  0.2168  0.2246  0.1188  0.2087  0.0437  0.0831  0.0940  0.0813  0.1459
  32  4.4561E-07    0.208737    0.295230  0.2666 -0.2144  0.3947  0.2394  0.3172  0.3323  0.4162  0.2169  0.2246  0.1187  0.2088  0.0435  0.0829  0.0938  0.0811  0.1465
  33  4.5140E-07    0.208214    0.294594  0.2668 -0.2141  0.3949  0.2391  0.3171  0.3323  0.4160  0.2170  0.2246  0.1186  0.2089  0.0434  0.0827  0.0936  0.0810  0.1472
  34  4.2941E-07    0.207690    0.293949  0.2669 -0.2139  0.3951  0.2388  0.3170  0.3322  0.4159  0.2170  0.2246  0.1185  0.2091  0.0432  0.0825  0.0935  0.0808  0.1478
  35  4.4301E-07    0.207139    0.293287  0.2671 -0.2135  0.3953  0.2384  0.3169  0.3322  0.4157  0.2172  0.2247  0.1185  0.2092  0.0429  0.0823  0.0933  0.0806  0.1485
  36  4.2445E-07    0.206598    0.292634  0.2673 -0.2132  0.3955  0.2380  0.3168  0.3322  0.4155  0.2173  0.2247  0.1184  0.2093  0.0428  0.0821  0.0932  0.0804  0.1492
  37  4.1630E-07    0.206127    0.291897  0.2675 -0.2129  0.3957  0.2376  0.3166  0.3322  0.4154  0.2174  0.2247  0.1183  0.2094  0.0425  0.0819  0.0930  0.0803  0.1498
  38  3.9775E-07    0.205638    0.291197  0.2677 -0.2126  0.3959  0.2373  0.3165  0.3321  0.4152  0.2175  0.2247  0.1182  0.2095  0.0423  0.0818  0.0929  0.0801  0.1505
  39  5.2933E-07    0.205045    0.290441  0.2679 -0.2122  0.3962  0.2365  0.3165  0.3321  0.4150  0.2177  0.2248  0.1181  0.2096  0.0421  0.0816  0.0927  0.0799  0.1512
  40  4.1717E-07    0.204410    0.289803  0.2681 -0.2119  0.3964  0.2362  0.3163  0.3321  0.4148  0.2179  0.2248  0.1181  0.2097  0.0418  0.0814  0.0925  0.0797  0.1519
  41  3.9046E-07    0.203999    0.288965  0.2683 -0.2115  0.3966  0.2357  0.3162  0.3321  0.4146  0.2181  0.2249  0.1180  0.2099  0.0416  0.0812  0.0924  0.0795  0.1526
  42  4.1957E-07    0.203503    0.288167  0.2685 -0.2111  0.3968  0.2351  0.3161  0.3320  0.4145  0.2182  0.2250  0.1179  0.2099  0.0414  0.0810  0.0922  0.0793  0.1532
  43  3.9701E-07    0.202861    0.287534  0.2687 -0.2108  0.3970  0.2347  0.3160  0.3320  0.4143  0.2184  0.2250  0.1179  0.2100  0.0412  0.0808  0.0920  0.0792  0.1539
  44  3.6174E-07    0.202344    0.286711  0.2689 -0.2104  0.3973  0.2342  0.3159  0.3320  0.4141  0.2185  0.2251  0.1178  0.2101  0.0409  0.0806  0.0919  0.0790  0.1546
  45  4.1993E-07    0.201739    0.285869  0.2691 -0.2101  0.3975  0.2336  0.3158  0.3319  0.4139  0.2187  0.2252  0.1178  0.2102  0.0407  0.0804  0.0917  0.0788  0.1553
  46  3.4819E-07    0.201188    0.285129  0.2693 -0.2097  0.3977  0.2332  0.3157  0.3319  0.4138  0.2189  0.2252  0.1178  0.2103  0.0405  0.0802  0.0915  0.0786  0.1559
  47  3.7500E-07    0.200534    0.284301  0.2695 -0.2093  0.3979  0.2327  0.3155  0.3319  0.4136  0.2190  0.2253  0.1177  0.2104  0.0402  0.0800  0.0913  0.0784  0.1567
  48  3.4682E-07    0.199950    0.283476  0.2697 -0.2090  0.3981  0.2322  0.3154  0.3318  0.4134  0.2192  0.2254  0.1177  0.2105  0.0400  0.0798  0.0912  0.0782  0.1573
  49  1.6307E-06    0.199239    0.282452  0.2699 -0.2085  0.3984  0.2311  0.3153  0.3319  0.4131  0.2194  0.2255  0.1176  0.2108  0.0396  0.0795  0.0910  0.0780  0.1580
  50  9.1161E-07    0.198685    0.281659  0.2701 -0.2081  0.3987  0.2305  0.3152  0.3319  0.4129  0.2196  0.2255  0.1176  0.2111  0.0393  0.0793  0.0909  0.0777  0.1586
  51  2.9742E-07    0.198251    0.280848  0.2703 -0.2078  0.3989  0.2300  0.3151  0.3318  0.4128  0.2198  0.2255  0.1175  0.2112  0.0391  0.0791  0.0907  0.0776  0.1592
