K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fst8     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7     Fis8
8   6   1       0   1.0000 27:58:12 -4.31543478050E+05 -4.31543478050E+05 -0.22417  0.16816 -0.10054  0.04729  0.14998  0.07692  0.06557 -0.15869 -0.13299 -0.19532 -0.13046 -0.08480 -0.16976 -0.15220 -0.11168 -0.09792
8   6   1     100   1.9802 27:58:12 -4.22470819017E+05 -4.22470819017E+05 -0.22417  0.16816 -0.10054  0.04729  0.14998  0.07692  0.06557 -0.15869 -0.13299 -0.19532 -0.13046 -0.08480 -0.16976 -0.15220 -0.11168 -0.09792
8   6   1     200  32.8358 27:58:12 -3.93089504103E+05 -3.93089504103E+05 -0.22417  0.07692  0.16816  0.06557 -0.10054 -0.15869  0.14998  0.04729 -0.13299 -0.15220 -0.19532 -0.11168 -0.13046 -0.09792 -0.16976 -0.08480
8   6   1     400  40.8978 28:58:12 -3.67445621546E+05 -3.67445621546E+05  0.14998  0.16816  0.07692  0.06557  0.04729 -0.22417 -0.15869 -0.10054 -0.16976 -0.19532 -0.15220 -0.11168 -0.08480 -0.13299 -0.09792 -0.13046
8   6   1     800  32.5843 28:58:12 -3.68093690346E+05 -3.65402269494E+05  0.16816  0.07692  0.04729  0.14998 -0.22417 -0.15869  0.06557 -0.10054 -0.19532 -0.15220 -0.08480 -0.16976 -0.13299 -0.09792 -0.11168 -0.13046
8   6   1    1600  37.3517 28:58:12 -3.68643374784E+05 -3.65393108282E+05  0.16816  0.06557  0.07692 -0.22417  0.04729  0.14998 -0.15869 -0.10054 -0.19532 -0.11168 -0.15220 -0.13299 -0.08480 -0.16976 -0.09792 -0.13046
8   6   1    3200  40.4249 28:58:12 -3.65931972070E+05 -3.60315785339E+05  0.16816  0.04729  0.07692 -0.22417 -0.10054 -0.15869  0.14998  0.06557 -0.19532 -0.08480 -0.15220 -0.13299 -0.13046 -0.09792 -0.16976 -0.11168
8   6   2    6400  45.4256 31:58:12 -3.63957395700E+05 -3.60315785339E+05  0.07692  0.16816  0.04729  0.14998 -0.15869 -0.10054 -0.22417  0.06557 -0.15220 -0.19532 -0.08480 -0.16976 -0.09792 -0.13046 -0.13299 -0.11168
8   6   3   10000  29.6549 34:58:12 -3.62872028737E+05 -3.57394442958E+05 -0.10223  0.41394  0.29106  0.48843  0.52552 -0.09427  0.27817  0.44278 -0.91930 -0.21917 -0.15971 -0.22818 -0.88116 -0.70917 -0.22032 -0.61761
8   6   3   30000  28.9966 38:58:12 -3.63121445618E+05 -3.56988661911E+05  0.42400  0.27007 -0.12110  1.00000  1.00000  1.00000  0.51746  1.00000 -0.21915 -0.19092 -0.88937  0.00000  0.00000  0.00000 -0.88116  0.00000
8   6   4   35000  22.3808 42:58:12 -3.63022262031E+05 -3.56988661911E+05  0.44989  0.27038 -0.12183  1.00000  1.00000  1.00000  0.38701  1.00000 -0.23331 -0.19699 -0.88937  0.00000  0.00000  0.00000 -0.47352  0.00000
8   6   4   40000  24.5596 45:58:12 -3.58827879382E+05 -3.56988661911E+05  0.44989  0.27038  1.00000  1.00000 -0.12183  1.00000  0.38701  1.00000 -0.23331 -0.19699  0.00000  0.00000 -0.88937  0.00000 -0.47352  0.00000
8   6   4   45000  25.8706 48:58:12 -3.61543696775E+05 -3.56946268864E+05  0.28253  0.32503  1.00000  1.00000  1.00000  1.00000 -0.10562  0.38559 -0.22401 -0.19931  0.00000  0.00000  0.00000  0.00000 -0.92877 -0.19683
