Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8    Fst9   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8   QPop9
   1  4.1094E-03    0.844471    0.069976  0.1530 -0.3111  0.1916  0.0670  0.1037  0.1112  0.1162  0.1523  0.0414  0.1342  0.0953  0.1269  0.0969  0.1054  0.1087  0.1065  0.1319  0.0943
   2  4.4364E-03    0.727796    0.251864  0.2176 -0.2491  0.3121  0.1087  0.1409  0.1559  0.1794  0.1721  0.0709  0.1715  0.1188  0.1497  0.0745  0.0921  0.0999  0.0955  0.1293  0.0687
   3  3.0644E-03    0.625366    0.276019  0.2525 -0.2363  0.3740  0.1048  0.1685  0.2184  0.2638  0.1736  0.0562  0.2126  0.1195  0.1767  0.0593  0.0805  0.0964  0.0904  0.1102  0.0543
   4  2.9810E-03    0.506236    0.303141  0.2646 -0.2265  0.3924  0.0906  0.2462  0.2906  0.3660  0.1774  0.0328  0.2336  0.1197  0.1827  0.0463  0.0795  0.1037  0.0966  0.0950  0.0429
   5  1.5056E-03    0.412739    0.328629  0.2705 -0.2172  0.3985  0.0909  0.3068  0.3258  0.4129  0.1956  0.0223  0.2412  0.1191  0.1815  0.0374  0.0880  0.1082  0.0987  0.0905  0.0354
   6  6.8547E-04    0.358438    0.338193  0.2693 -0.2177  0.3986  0.1838  0.3228  0.3340  0.4247  0.2077  0.0176  0.2409  0.1191  0.1833  0.0382  0.0913  0.1067  0.0964  0.0926  0.0315
   7  7.6056E-04    0.320750    0.332158  0.2710 -0.2136  0.3994  0.2712  0.3280  0.3383  0.4284  0.2178 -0.0086  0.2391  0.1183  0.1829  0.0472  0.0909  0.1040  0.0929  0.0968  0.0280
   8  4.2895E-04    0.289810    0.328306  0.2758 -0.2045  0.4029  0.2645  0.3340  0.3440  0.4334  0.2278 -0.0109  0.2380  0.1153  0.1829  0.0530  0.0907  0.1025  0.0908  0.1025  0.0244
   9  8.4344E-05    0.272413    0.328104  0.2762 -0.2024  0.4034  0.2606  0.3350  0.3451  0.4342  0.2305  0.0157  0.2365  0.1143  0.1846  0.0528  0.0904  0.1013  0.0897  0.1069  0.0234
  10  5.0519E-05    0.261734    0.326271  0.2779 -0.1992  0.4046  0.2595  0.3360  0.3470  0.4347  0.2340  0.0301  0.2356  0.1138  0.1860  0.0513  0.0897  0.1007  0.0885  0.1115  0.0228
  11  2.4506E-05    0.254425    0.325233  0.2790 -0.1970  0.4056  0.2608  0.3366  0.3481  0.4350  0.2363  0.0464  0.2344  0.1135  0.1872  0.0504  0.0890  0.1001  0.0877  0.1151  0.0225
  12  1.5825E-05    0.248965    0.324607  0.2800 -0.1952  0.4065  0.2621  0.3373  0.3491  0.4353  0.2384  0.0615  0.2333  0.1134  0.1881  0.0499  0.0884  0.0995  0.0871  0.1180  0.0223
  13  1.4925E-05    0.244522    0.323884  0.2811 -0.1934  0.4073  0.2618  0.3378  0.3498  0.4354  0.2406  0.0759  0.2325  0.1132  0.1889  0.0492  0.0879  0.0990  0.0864  0.1209  0.0221
  14  8.5288E-06    0.241034    0.323350  0.2819 -0.1921  0.4080  0.2623  0.3382  0.3503  0.4355  0.2426  0.0885  0.2316  0.1131  0.1895  0.0487  0.0873  0.0985  0.0858  0.1233  0.0221
  15  5.8909E-06    0.238288    0.322885  0.2827 -0.1908  0.4087  0.2629  0.3386  0.3509  0.4356  0.2444  0.0986  0.2309  0.1129  0.1902  0.0484  0.0869  0.0981  0.0854  0.1254  0.0219
  16  4.2455E-06    0.236057    0.322438  0.2835 -0.1896  0.4093  0.2634  0.3389  0.3513  0.4357  0.2460  0.1065  0.2302  0.1128  0.1907  0.0481  0.0865  0.0977  0.0850  0.1273  0.0218
  17  3.2149E-06    0.234116    0.322021  0.2842 -0.1885  0.4100  0.2638  0.3391  0.3517  0.4358  0.2474  0.1124  0.2297  0.1126  0.1911  0.0478  0.0861  0.0973  0.0846  0.1290  0.0217
  18  2.4478E-06    0.232495    0.321629  0.2849 -0.1874  0.4106  0.2643  0.3395  0.3521  0.4360  0.2487  0.1160  0.2292  0.1125  0.1916  0.0475  0.0858  0.0970  0.0843  0.1306  0.0215
  19  1.9217E-06    0.231094    0.321098  0.2855 -0.1863  0.4112  0.2646  0.3397  0.3524  0.4361  0.2499  0.1191  0.2288  0.1124  0.1920  0.0472  0.0856  0.0967  0.0840  0.1320  0.0213
  20  1.5236E-06    0.229991    0.320416  0.2861 -0.1853  0.4117  0.2649  0.3398  0.3527  0.4362  0.2509  0.1209  0.2285  0.1123  0.1923  0.0470  0.0853  0.0965  0.0837  0.1334  0.0211
  21  1.3835E-06    0.228690    0.319897  0.2867 -0.1844  0.4123  0.2650  0.3400  0.3529  0.4362  0.2518  0.1216  0.2282  0.1122  0.1926  0.0467  0.0850  0.0962  0.0834  0.1346  0.0209
  22  1.1823E-06    0.227742    0.319096  0.2872 -0.1835  0.4128  0.2649  0.3401  0.3531  0.4362  0.2527  0.1218  0.2280  0.1121  0.1930  0.0463  0.0847  0.0960  0.0831  0.1359  0.0208
  23  1.0115E-06    0.226839    0.318292  0.2877 -0.1825  0.4133  0.2649  0.3402  0.3533  0.4362  0.2534  0.1206  0.2279  0.1119  0.1933  0.0461  0.0845  0.0957  0.0829  0.1371  0.0206
  24  9.0158E-07    0.225941    0.317470  0.2883 -0.1816  0.4138  0.2650  0.3403  0.3535  0.4363  0.2541  0.1186  0.2278  0.1118  0.1936  0.0458  0.0842  0.0955  0.0826  0.1383  0.0204
  25  8.3083E-07    0.224999    0.316648  0.2888 -0.1807  0.4143  0.2650  0.3404  0.3537  0.4363  0.2547  0.1159  0.2277  0.1117  0.1939  0.0455  0.0840  0.0952  0.0824  0.1394  0.0202
  26  3.9299E-06    0.223910    0.315565  0.2891 -0.1801  0.4146  0.2639  0.3401  0.3537  0.4359  0.2553  0.1166  0.2277  0.1117  0.1941  0.0449  0.0836  0.0950  0.0820  0.1407  0.0202
  27  1.7728E-06    0.223026    0.314437  0.2895 -0.1793  0.4150  0.2636  0.3400  0.3537  0.4357  0.2558  0.1147  0.2277  0.1116  0.1944  0.0446  0.0833  0.0947  0.0817  0.1420  0.0201
  28  1.4124E-06    0.222371    0.313266  0.2900 -0.1784  0.4155  0.2632  0.3401  0.3538  0.4357  0.2564  0.1112  0.2276  0.1114  0.1948  0.0442  0.0831  0.0945  0.0814  0.1431  0.0199
  29  3.1311E-06    0.221361    0.311974  0.2903 -0.1777  0.4159  0.2623  0.3398  0.3538  0.4355  0.2568  0.1100  0.2276  0.1114  0.1951  0.0436  0.0827  0.0942  0.0811  0.1444  0.0199
  30  1.6579E-06    0.220439    0.310709  0.2907 -0.1768  0.4163  0.2620  0.3397  0.3538  0.4353  0.2573  0.1069  0.2275  0.1113  0.1955  0.0433  0.0823  0.0938  0.0809  0.1456  0.0198
  31  1.2911E-06    0.219685    0.309299  0.2912 -0.1759  0.4168  0.2618  0.3397  0.3539  0.4353  0.2578  0.1022  0.2274  0.1112  0.1959  0.0430  0.0820  0.0936  0.0806  0.1468  0.0196
  32  1.2179E-06    0.218696    0.307971  0.2917 -0.1748  0.4173  0.2616  0.3397  0.3541  0.4353  0.2582  0.0964  0.2272  0.1112  0.1963  0.0426  0.0816  0.0933  0.0803  0.1481  0.0194
  33  1.1057E-06    0.217789    0.306497  0.2923 -0.1737  0.4179  0.2614  0.3398  0.3544  0.4353  0.2587  0.0897  0.2272  0.1111  0.1967  0.0423  0.0813  0.0930  0.0801  0.1493  0.0191
  34  1.0148E-06    0.216808    0.305029  0.2930 -0.1725  0.4185  0.2612  0.3399  0.3546  0.4353  0.2591  0.0822  0.2270  0.1110  0.1972  0.0420  0.0810  0.0927  0.0798  0.1505  0.0188
  35  9.3933E-07    0.215880    0.303622  0.2937 -0.1711  0.4192  0.2611  0.3401  0.3550  0.4355  0.2595  0.0733  0.2270  0.1110  0.1977  0.0417  0.0807  0.0924  0.0795  0.1516  0.0185
  36  8.8584E-07    0.214842    0.302055  0.2944 -0.1697  0.4198  0.2609  0.3403  0.3553  0.4356  0.2599  0.0644  0.2270  0.1109  0.1981  0.0414  0.0803  0.0921  0.0793  0.1527  0.0181
  37  8.3533E-07    0.213834    0.300524  0.2952 -0.1683  0.4205  0.2607  0.3406  0.3557  0.4357  0.2603  0.0552  0.2269  0.1109  0.1986  0.0411  0.0800  0.0918  0.0790  0.1539  0.0178
