K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fst8     Fst9     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7     Fis8     Fis9
9   6   1       0   1.0000 04:10:13 -4.38203624148E+05 -4.38203624148E+05 -0.03210 -0.01950  0.17283  0.17399 -0.13323 -0.04126 -0.05078  0.03506 -0.13083 -0.11281 -0.08847 -0.20871 -0.12785 -0.13851 -0.11967 -0.11166 -0.09195 -0.13804
9   6   1     100   1.9417 04:10:13 -4.37479021950E+05 -4.37479021950E+05 -0.03210 -0.01950  0.17283  0.17399 -0.13323 -0.04126 -0.05078  0.03506 -0.13083 -0.11281 -0.08847 -0.20871 -0.12785 -0.13851 -0.11967 -0.11166 -0.09195 -0.13804
9   6   1     200  41.8719 04:10:13 -3.96346607640E+05 -3.96346607640E+05  0.17399  0.17283 -0.13323 -0.05078 -0.03210 -0.01950 -0.04126  0.03506 -0.13083 -0.12785 -0.20871 -0.13851 -0.11166 -0.11281 -0.08847 -0.11967 -0.09195 -0.13804
9   6   1     400  50.6203 04:10:13 -3.84059568194E+05 -3.83130528059E+05  0.17399  0.17283 -0.13083 -0.03210 -0.13323 -0.01950  0.03506 -0.04126 -0.05078 -0.12785 -0.20871 -0.13804 -0.11281 -0.13851 -0.08847 -0.09195 -0.11967 -0.11166
9   6   1     800  52.4284 04:10:13 -3.77408550495E+05 -3.73249548454E+05  0.17283  0.17399 -0.13083  0.03506 -0.13323 -0.03210 -0.01950 -0.05078 -0.04126 -0.20871 -0.12785 -0.13804 -0.09195 -0.13851 -0.11281 -0.08847 -0.11166 -0.11967
9   6   1    1600  49.8440 04:10:13 -3.70139191108E+05 -3.69646586596E+05  0.17283  0.03506 -0.13083 -0.01950 -0.05078 -0.13323 -0.03210 -0.04126  0.17399 -0.20871 -0.09195 -0.13804 -0.08847 -0.11166 -0.13851 -0.11281 -0.11967 -0.12785
9   6   1    3200  50.0468 04:10:13 -3.74882803021E+05 -3.69556115966E+05  0.03506 -0.01950  0.17399 -0.04126  0.17283 -0.05078 -0.13083 -0.03210 -0.13323 -0.09195 -0.08847 -0.12785 -0.11967 -0.20871 -0.11166 -0.13804 -0.11281 -0.13851
9   6   1    6400  47.1810 04:10:13 -3.68547437054E+05 -3.64251888461E+05 -0.01950  0.03506  0.17283 -0.04126 -0.03210 -0.05078 -0.13323  0.17399 -0.13083 -0.08847 -0.09195 -0.20871 -0.11967 -0.11281 -0.11166 -0.13851 -0.12785 -0.13804
9   6   4   15000  26.2463 10:10:13 -3.68924359497E+05 -3.60356754529E+05  0.50506  0.30618 -0.07939  1.00000 -0.07993  0.53403  1.00000  0.35951  0.30571 -0.56441 -0.24963 -0.90466  0.00000 -0.90672 -0.88116  0.00000 -0.18741 -0.15045
9   6   4   30000  29.9579 16:10:13 -3.68408263327E+05 -3.58470586559E+05  0.35205  0.28258  1.00000  1.00000 -0.10376  1.00000  0.52494  1.00000  1.00000 -0.19464 -0.21323  0.00000  0.00000 -0.88729  0.00000 -0.88116  0.00000  0.00000
9   6   5   45000  22.2662 23:10:13 -3.61677610590E+05 -3.58470586559E+05  1.00000 -0.10194  0.34845  1.00000  0.28447  1.00000  0.52571  1.00000  1.00000  0.00000 -0.88937 -0.18171  0.00000 -0.22849  0.00000 -0.88116  0.00000  0.00000
9   6   5   60000  21.7664 29:10:13 -3.61387009561E+05 -3.55703345063E+05  0.32880  0.18558  0.51182 -0.25490  0.53762  0.18723  1.00000  1.00000  0.45904 -0.23050 -0.22026 -0.90634 -0.88937 -0.75530 -0.08574  0.00000  0.00000 -0.86690
9   6   6   85000  13.3312 31:10:13 -3.56297041127E+05 -3.52211666907E+05  0.26327  0.31997  0.18483  0.50722 -0.26673  0.35899  0.37267  0.35470  0.45478 -0.20760 -0.33862 -0.24987 -0.90634 -0.88937 -0.42215 -0.45840 -0.56726 -0.88116
9   6   6  120000  14.0053 33:10:13 -3.55645411718E+05 -3.51466443720E+05  0.33301  0.15845  0.49783  0.49947 -0.28665  0.36724  0.43171  0.22622  0.44621 -0.23283 -0.29430 -0.72747 -0.90634 -0.88937 -0.36320 -0.67994 -0.22664 -0.88116
9   6   7  131515  14.1000 33:10:13 -3.52988392599E+05 -3.51466443720E+05  0.33012 -0.25037  0.29328  0.51359  0.18698  0.35356  0.37642  1.00000  0.31677 -0.47108 -0.88937 -0.20571 -0.90634 -0.26658 -0.37518 -0.43686  0.00000 -0.47352
9   6   7  160000  11.0458 35:10:13 -3.52923361325E+05 -3.51348254335E+05  0.29511  0.18131  0.44276  0.50920 -0.26164  0.36157  0.35729  1.00000  0.45697 -0.20034 -0.23290 -0.67994 -0.90634 -0.88937 -0.42215 -0.56726  0.00000 -0.88116
9   6   8  165978  18.2000 35:10:13 -3.54044769114E+05 -3.51348254335E+05  0.29511  0.18131  0.50920 -0.26164  0.35729  0.36157  0.44276  1.00000  0.45697 -0.20034 -0.23290 -0.90634 -0.88937 -0.56726 -0.42215 -0.67994  0.00000 -0.88116
9   6   8  195000  11.1021 37:10:13 -3.51812693717E+05 -3.50777088744E+05  0.29887  1.00000  0.20185  1.00000  0.39362  0.51809 -0.23879  0.35955  0.32310 -0.20313  0.00000 -0.26674  0.00000 -0.47343 -0.90634 -0.88937 -0.37518 -0.47352
9   6   9  230000   8.8505 39:10:13 -3.52536752967E+05 -3.50517468468E+05  0.31868  0.48073  0.17392  0.22021  0.36546  0.50503 -0.27237  0.36030  0.30475 -0.21522 -0.91966 -0.26862 -0.19113 -0.43686 -0.90634 -0.88937 -0.39855 -0.47352
9   6  10  237978   8.1000 39:10:13 -3.51975633686E+05 -3.50517468468E+05  0.34409  0.23832  0.18094  0.51078 -0.25757  0.36773  0.32736  1.00000  0.31283 -0.22213 -0.22635 -0.29879 -0.90634 -0.88937 -0.39855 -0.39103  0.00000 -0.47352
9   6  10  255000   8.1201 41:10:13 -3.52931567626E+05 -3.50085109166E+05  0.32984  0.17775  0.37146  0.50971 -0.26033  0.36635  0.22520  1.00000  0.31132 -0.22335 -0.32558 -0.43686 -0.90634 -0.88937 -0.39855 -0.24604  0.00000 -0.47352
9   6  11  277604  12.4000 42:10:13 -3.51661585861E+05 -3.50085109166E+05  0.35696  0.22960  0.17407  0.50897 -0.26223  0.34743  0.44250  1.00000  0.31029 -0.24066 -0.26734 -0.25287 -0.90634 -0.88937 -0.37518 -0.67994  0.00000 -0.47352
9   6  11  290000   9.2038 43:10:13 -3.51168747697E+05 -3.50085109166E+05  0.38831  0.24103  0.17934  0.36996  0.50854 -0.26333  0.36484  0.30969  1.00000 -0.25015 -0.23413 -0.28375 -0.43686 -0.90634 -0.88937 -0.39855 -0.47352  0.00000
9   6  12  294043   6.6000 43:10:13 -3.50395657317E+05 -3.50085109166E+05  0.33567  0.22743  0.16928  0.36341  0.50344 -0.27646  0.34007  0.30251  0.52164 -0.22770 -0.23562 -0.35307 -0.43686 -0.90634 -0.88937 -0.37518 -0.47352 -0.81434
9   6  12  320000   6.6164 45:10:13 -3.52019849558E+05 -3.50052908868E+05  0.36258  0.18134  0.23371  0.50843 -0.26352  0.36469  0.44188  0.30952  1.00000 -0.24395 -0.29078 -0.22631 -0.90634 -0.90159 -0.39855 -0.67994 -0.47352  0.00000
9   6  13  330044   3.7000 45:10:13 -3.50226456361E+05 -3.50052908868E+05  0.37726  0.21489  0.15673  0.35311  0.49540  0.52053 -0.29712  0.36210  0.29122 -0.25723 -0.22236 -0.31027 -0.43686 -0.90634 -0.77946 -0.88937 -0.36320 -0.47352
9   6  13  350000   4.0816 47:10:13 -3.50503128150E+05 -3.50049255693E+05  0.38139  0.19519  0.16242  0.35191  0.49447  0.51965 -0.29952  0.34665  0.28991 -0.25861 -0.23900 -0.31497 -0.43686 -0.90634 -0.77946 -0.88937 -0.39855 -0.47352
9   6  15  379833   1.7000 48:10:13 -3.50192786877E+05 -3.50049255693E+05  0.35867  0.21267  0.16437  0.35607  0.49771  0.52272 -0.29119  0.35083  0.44425 -0.24847 -0.22697 -0.31912 -0.43686 -0.90634 -0.77946 -0.88937 -0.39855 -0.88116
9   6  15  385000   2.5380 49:10:13 -3.50635232066E+05 -3.50049255693E+05  0.35867  0.21267  0.16437  0.35607  0.49771 -0.29119  0.35083  0.52272  0.44425 -0.24847 -0.22697 -0.31912 -0.43686 -0.90634 -0.88937 -0.39855 -0.77946 -0.88116
9   6  15  420000   2.8687 51:10:13 -3.49227619837E+05 -3.49221233455E+05  0.37063  0.25326  0.17385  0.25893  0.36341  0.50344 -0.27646  0.35824  0.30251 -0.24390 -0.20134 -0.33012 -0.32801 -0.43686 -0.90634 -0.88937 -0.39855 -0.47352
9   6  16  448038   1.4000 52:10:13 -3.49376598602E+05 -3.49216120097E+05  0.36421  0.25346  0.17299  0.25913  0.36358  0.50357 -0.27612  0.35841  0.30270 -0.24161 -0.20134 -0.33451 -0.32801 -0.43686 -0.90634 -0.88937 -0.39855 -0.47352
9   6  16  455000   1.2997 53:10:13 -3.49432666386E+05 -3.49216120097E+05  0.37621  0.25305  0.17469  0.25873  0.36323  0.50330 -0.27682  0.35806  0.30232 -0.24435 -0.20134 -0.32566 -0.32801 -0.43686 -0.90634 -0.88937 -0.39855 -0.47352
9   6  17  485000   1.4678 55:10:13 -3.49318348094E+05 -3.49216120097E+05  0.37063  0.25326  0.17385  0.25893  0.36341  0.50344 -0.27646  0.35824  0.30251 -0.24390 -0.20134 -0.33012 -0.32801 -0.43686 -0.90634 -0.88937 -0.39855 -0.47352
9   6  18  496788   0.6000 55:10:13 -3.49216120097E+05 -3.49216120097E+05  0.36421  0.25346  0.17299  0.25913  0.36358  0.50357 -0.27612  0.35841  0.30270 -0.24161 -0.20134 -0.33451 -0.32801 -0.43686 -0.90634 -0.88937 -0.39855 -0.47352
9   6  19  519745   1.1000 57:10:13 -3.49422298590E+05 -3.49216120097E+05  0.36473  0.25407  0.17366  0.26544  0.36410  0.50397 -0.27508  0.34079  0.30326 -0.24161 -0.20134 -0.33451 -0.33721 -0.43686 -0.90634 -0.88937 -0.37518 -0.47352
9   6  19  520000   1.1583 57:10:13 -3.49216120097E+05 -3.49216120097E+05  0.36473  0.25407  0.17366  0.26544  0.36410  0.50397 -0.27508  0.34079  0.30326 -0.24161 -0.20134 -0.33451 -0.33721 -0.43686 -0.90634 -0.88937 -0.37518 -0.47352
9   6  20  546221   0.8000 58:10:13 -3.49227619837E+05 -3.49216120097E+05  0.36421  0.25346  0.17299  0.25913  0.36358  0.50357 -0.27612  0.35841  0.30270 -0.24161 -0.20134 -0.33451 -0.32801 -0.43686 -0.90634 -0.88937 -0.39855 -0.47352
9   6  20  550000   0.7768 59:10:13 -3.49221233455E+05 -3.49216120097E+05  0.36421  0.25346  0.17299  0.25913  0.36358  0.50357 -0.27612  0.35841  0.30270 -0.24161 -0.20134 -0.33451 -0.32801 -0.43686 -0.90634 -0.88937 -0.39855 -0.47352
9   6  21  572409   0.9000 00:11:13 -3.49221233455E+05 -3.49216120097E+05  0.37063  0.25326  0.17385  0.25893  0.36341  0.50344 -0.27646  0.35824  0.30251 -0.24390 -0.20134 -0.33012 -0.32801 -0.43686 -0.90634 -0.88937 -0.39855 -0.47352
