Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8    Fst9   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8   QPop9
   1  4.0982E-03    0.844695    0.068351  0.1514 -0.3093  0.1887  0.0690  0.0943  0.1109  0.1172  0.1523  0.0873  0.1331  0.0948  0.1253  0.0968  0.1026  0.1082  0.1066  0.1316  0.1010
   2  4.4797E-03    0.727628    0.259069  0.2097 -0.2566  0.3028  0.1109  0.1240  0.1467  0.1750  0.1645  0.1160  0.1663  0.1263  0.1451  0.0744  0.0857  0.0976  0.0947  0.1271  0.0828
   3  3.0054E-03    0.629300    0.280577  0.2457 -0.2451  0.3671  0.1080  0.1303  0.2023  0.2558  0.1641  0.1093  0.2081  0.1268  0.1729  0.0604  0.0725  0.0931  0.0900  0.1077  0.0686
   4  2.8339E-03    0.515098    0.307225  0.2567 -0.2386  0.3855  0.0944  0.1812  0.2772  0.3572  0.1656  0.1081  0.2315  0.1262  0.1803  0.0479  0.0661  0.1009  0.0962  0.0930  0.0579
   5  1.4130E-03    0.425677    0.334294  0.2593 -0.2341  0.3893  0.0899  0.2660  0.3119  0.4033  0.1794  0.1266  0.2398  0.1261  0.1802  0.0393  0.0706  0.1054  0.0987  0.0884  0.0516
   6  8.7777E-04    0.368909    0.341943  0.2581 -0.2345  0.3896  0.1478  0.3101  0.3227  0.4159  0.1927  0.1816  0.2405  0.1258  0.1824  0.0367  0.0730  0.1054  0.0963  0.0904  0.0494
   7  7.1337E-04    0.329310    0.336730  0.2544 -0.2381  0.3865  0.2339  0.3244  0.3234  0.4166  0.1991  0.2459  0.2390  0.1257  0.1830  0.0400  0.0693  0.1037  0.0933  0.0949  0.0510
   8  8.6178E-04    0.296160    0.326471  0.2527 -0.2390  0.3841  0.2948  0.3293  0.3224  0.4149  0.2019  0.2829  0.2369  0.1252  0.1820  0.0503  0.0641  0.1009  0.0902  0.0995  0.0508
   9  2.1960E-04    0.273679    0.322829  0.2559 -0.2328  0.3863  0.2583  0.3360  0.3265  0.4171  0.2077  0.3081  0.2364  0.1232  0.1822  0.0532  0.0610  0.1002  0.0882  0.1052  0.0504
  10  8.9128E-05    0.257692    0.322526  0.2570 -0.2299  0.3873  0.2428  0.3391  0.3280  0.4179  0.2096  0.3206  0.2357  0.1208  0.1842  0.0533  0.0592  0.0995  0.0872  0.1101  0.0499
  11  2.6855E-05    0.249841    0.320703  0.2570 -0.2292  0.3874  0.2415  0.3401  0.3281  0.4177  0.2095  0.3261  0.2346  0.1204  0.1864  0.0518  0.0580  0.0989  0.0865  0.1140  0.0494
  12  1.6680E-05    0.244272    0.319356  0.2571 -0.2287  0.3876  0.2415  0.3402  0.3280  0.4174  0.2093  0.3286  0.2336  0.1201  0.1881  0.0508  0.0572  0.0983  0.0860  0.1171  0.0488
  13  1.6868E-05    0.239984    0.317835  0.2576 -0.2280  0.3879  0.2404  0.3398  0.3281  0.4170  0.2097  0.3286  0.2330  0.1199  0.1895  0.0497  0.0565  0.0978  0.0854  0.1201  0.0481
  14  9.0399E-06    0.236653    0.316745  0.2579 -0.2274  0.3882  0.2401  0.3393  0.3281  0.4167  0.2100  0.3284  0.2323  0.1197  0.1907  0.0491  0.0559  0.0973  0.0849  0.1225  0.0475
  15  5.7810E-06    0.234034    0.315902  0.2583 -0.2269  0.3886  0.2400  0.3387  0.3281  0.4165  0.2103  0.3278  0.2317  0.1196  0.1917  0.0486  0.0554  0.0969  0.0845  0.1246  0.0470
  16  3.9075E-06    0.231941    0.315244  0.2586 -0.2264  0.3889  0.2399  0.3382  0.3281  0.4162  0.2106  0.3271  0.2311  0.1194  0.1926  0.0483  0.0550  0.0965  0.0841  0.1264  0.0466
  17  2.7577E-06    0.230202    0.314668  0.2590 -0.2260  0.3892  0.2397  0.3376  0.3281  0.4160  0.2109  0.3263  0.2307  0.1193  0.1933  0.0479  0.0547  0.0962  0.0838  0.1279  0.0462
  18  1.9814E-06    0.228710    0.314159  0.2594 -0.2255  0.3895  0.2395  0.3370  0.3281  0.4158  0.2111  0.3254  0.2304  0.1191  0.1939  0.0477  0.0544  0.0959  0.0834  0.1293  0.0459
  19  1.5784E-06    0.227413    0.313574  0.2598 -0.2250  0.3899  0.2389  0.3364  0.3282  0.4157  0.2115  0.3244  0.2302  0.1190  0.1944  0.0473  0.0541  0.0956  0.0831  0.1306  0.0456
  20  1.1632E-06    0.226320    0.313039  0.2602 -0.2245  0.3902  0.2386  0.3358  0.3282  0.4155  0.2118  0.3234  0.2300  0.1188  0.1949  0.0471  0.0539  0.0954  0.0829  0.1318  0.0453
  21  9.0337E-07    0.225433    0.312450  0.2605 -0.2240  0.3905  0.2382  0.3351  0.3283  0.4153  0.2120  0.3224  0.2299  0.1187  0.1953  0.0468  0.0536  0.0952  0.0826  0.1328  0.0450
  22  8.6948E-07    0.224521    0.311846  0.2609 -0.2235  0.3909  0.2377  0.3345  0.3283  0.4152  0.2124  0.3213  0.2298  0.1186  0.1957  0.0465  0.0534  0.0949  0.0824  0.1339  0.0448
  23  5.9512E-06    0.223461    0.310782  0.2614 -0.2228  0.3913  0.2365  0.3333  0.3284  0.4149  0.2130  0.3197  0.2300  0.1185  0.1960  0.0460  0.0531  0.0947  0.0820  0.1352  0.0445
  24  2.4631E-06    0.222452    0.309860  0.2618 -0.2222  0.3916  0.2359  0.3324  0.3284  0.4147  0.2134  0.3183  0.2300  0.1183  0.1964  0.0456  0.0527  0.0945  0.0817  0.1364  0.0442
  25  1.5592E-06    0.221509    0.309025  0.2622 -0.2216  0.3920  0.2356  0.3316  0.3284  0.4145  0.2138  0.3170  0.2300  0.1182  0.1968  0.0453  0.0525  0.0943  0.0815  0.1376  0.0439
  26  5.0379E-06    0.220328    0.307784  0.2627 -0.2208  0.3925  0.2345  0.3304  0.3285  0.4143  0.2144  0.3149  0.2302  0.1182  0.1972  0.0447  0.0521  0.0940  0.0812  0.1390  0.0435
  27  2.1243E-06    0.219394    0.306697  0.2631 -0.2201  0.3929  0.2341  0.3295  0.3285  0.4142  0.2148  0.3132  0.2302  0.1181  0.1976  0.0444  0.0518  0.0937  0.0809  0.1402  0.0431
  28  1.3896E-06    0.218553    0.305638  0.2635 -0.2194  0.3933  0.2336  0.3286  0.3285  0.4141  0.2152  0.3117  0.2302  0.1179  0.1981  0.0440  0.0515  0.0934  0.0807  0.1414  0.0428
  29  1.0387E-06    0.217786    0.304607  0.2639 -0.2188  0.3937  0.2333  0.3278  0.3286  0.4139  0.2155  0.3103  0.2301  0.1179  0.1986  0.0437  0.0512  0.0932  0.0805  0.1425  0.0425
  30  8.8194E-07    0.217092    0.303498  0.2643 -0.2181  0.3941  0.2330  0.3271  0.3286  0.4137  0.2159  0.3088  0.2300  0.1178  0.1990  0.0434  0.0509  0.0929  0.0802  0.1435  0.0422
  31  8.6844E-07    0.216246    0.302418  0.2647 -0.2175  0.3945  0.2325  0.3263  0.3287  0.4136  0.2162  0.3074  0.2299  0.1177  0.1995  0.0431  0.0507  0.0926  0.0800  0.1447  0.0419
  32  7.6769E-07    0.215422    0.301327  0.2651 -0.2168  0.3949  0.2322  0.3255  0.3287  0.4134  0.2166  0.3059  0.2298  0.1176  0.1999  0.0428  0.0504  0.0924  0.0797  0.1457  0.0416
  33  7.1254E-07    0.214668    0.300145  0.2655 -0.2161  0.3953  0.2318  0.3247  0.3288  0.4132  0.2169  0.3044  0.2297  0.1176  0.2003  0.0425  0.0501  0.0921  0.0795  0.1467  0.0414
  34  6.6981E-07    0.214005    0.298983  0.2659 -0.2154  0.3957  0.2314  0.3240  0.3288  0.4130  0.2173  0.3030  0.2297  0.1175  0.2007  0.0422  0.0499  0.0919  0.0793  0.1477  0.0411
  35  6.4687E-07    0.213160    0.297773  0.2664 -0.2147  0.3961  0.2310  0.3232  0.3289  0.4129  0.2176  0.3015  0.2296  0.1174  0.2012  0.0419  0.0496  0.0916  0.0790  0.1488  0.0408
  36  6.5091E-07    0.212273    0.296515  0.2668 -0.2140  0.3966  0.2304  0.3224  0.3290  0.4127  0.2180  0.3000  0.2296  0.1174  0.2016  0.0415  0.0494  0.0914  0.0788  0.1498  0.0405
  37  6.0956E-07    0.211414    0.295296  0.2672 -0.2132  0.3970  0.2299  0.3216  0.3291  0.4125  0.2184  0.2985  0.2295  0.1173  0.2021  0.0412  0.0491  0.0911  0.0786  0.1509  0.0402
